W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,AVG,WHIP,BABIP,LOB%,FIP,E-F,K-BB%,Age,MaxAge,Season,PlayerName,Team,UPID,xMLBAMID,UPURL,teamid,FullTeamName,download_timestamp
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.2,7.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,10.800000257492071,10.800000257492071,1.0,0.0,0.28571429,0.28571429,0.0,1.2000000286102301,0.0,1.0,7.077519679069521,-7.077519679069521,0.0,22.0,22.0,2026,Jude Abbadessa,TULN,sa3025689,,/players/jude-abbadessa/sa3025689/stats/pitching,273,Tulane University ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,27.0,9.0,3.0,0.0,0.6,0.2,0.25,2.0,1.0,1.0,1.4731609344482424,-1.4731609344482424,0.4,,,2026,Brandon Adams,UNF,sa3025748,,/players/brandon-adams/sa3025748/stats/pitching,180,University of North Florida ,2026-02-16T17:25:50.682125
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.2,0.0,9.0,0.0,0.47368421,0.0,0.15789474,0.6,0.3,1.0,0.24107561111450204,-0.24107561111450204,0.47368421,22.0,22.0,2026,Zane Adams,ALA,sa3025773,,/players/zane-adams/sa3025773/stats/pitching,4,University of Alabama Tuscaloosa ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,21.0,1.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,5.0,11.25,13.5,0.83333333,0.0,0.23809524,0.28571429,0.07142857,1.75,0.11111111,0.75,8.73265905380249,-8.73265905380249,-0.04761905,21.0,21.0,2026,Jonathan Adelmann,BUCK,sa3025776,,/players/jonathan-adelmann/sa3025776/stats/pitching,32,Bucknell University ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.74999979883433,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,2.9731609791517246,-2.9731609791517246,0.25,23.0,23.0,2026,Justus Agosto,UNA,sa3025800,,/players/justus-agosto/sa3025800/stats/pitching,190,University of North Alabama ,2026-02-16T17:25:50.682125
1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,5.0,0.0,0.27777778,0.0,0.16666667,0.6,0.23076923,1.0,2.758942794799805,-2.758942794799805,0.27777778,,,2026,Garrett Ahern,GCU,sa3025811,,/players/garrett-ahern/sa3025811/stats/pitching,92,Grand Canyon University ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.1,16.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,6.230769002225986,2.076923000741995,3.0,0.0,0.1875,0.0625,0.2,0.9230768892186646,0.25,1.0,2.5681886633472324,-2.5681886633472324,0.125,,,2026,Jaden Alba,ASU,sa3025835,,/players/jaden-alba/sa3025835/stats/pitching,11,Arizona State University ,2026-02-16T17:25:50.682125
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,9.0,3.0,3.0,0.0,0.27272727,0.09090909,0.2,1.0,0.28571429,1.0,5.534187984466553,-5.534187984466553,0.18181818,,,2026,Matt Alduino,QUIN,sa3025869,,/players/matt-alduino/sa3025869/stats/pitching,212,Quinnipiac University ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,5.0,0.0,0.55555556,0.0,0.11111111,0.3333333333333333,0.25,1.0,3.2008546511332194,-3.2008546511332194,0.55555556,23.0,23.0,2026,Hector Alejandro,SHU,sa3025870,,/players/hector-alejandro/sa3025870/stats/pitching,219,Sacred Heart University ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,18.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,13.5,4.5,3.0,0.0,0.33333333,0.11111111,0.2,1.25,0.33333333,1.0,5.784187984466553,-5.784187984466553,0.22222222,,,2026,Ben Alekson,FAIR,sa3025872,,/players/ben-alekson/sa3025872/stats/pitching,72,Fairfield University ,2026-02-16T17:25:50.682125
