Round,Pick,Name,Pos,School,School_Class,Signed,Bonus
14,430,Clay Edmondson,P,UNC Asheville,4YR SR,Y,100000
14,431,Jonathan Gonzalez,P,Stetson,4YR GR,Y,50000
14,432,Anthony Silva,SS,TCU,4YR JR,Y,150000
14,433,James Smith IV,P,University of Memphis,4YR JR,N,
14,434,Brennan Stuprich,P,Southeastern Louisiana University,4YR GR,Y,150000
14,435,Davis Chastain,P,U Georgia,4YR JR,Y,147500
15,436,Caedmon Parker,P,TCU,4YR JR,Y,150000
15,437,Dylan Crooks,P,Oklahoma,4YR SR,Y,175000
15,438,Josh Hogue,3B,NC State,4YR JR,Y,150000
15,439,Mikey Cascino,P,A3 Academy,HS SR,Y,165000
15,440,Diego Rosa,C,International Baseball Academy,HS SR,Y,125000
15,441,Jacob Walsh,1B,Oregon,4YR SR,Y,150000
15,442,Jake Casey,OF,Kent State,4YR SR,Y,150000
15,443,McLane Moody,P,Northside Senior HS,HS SR,Y,460600
15,444,Andrew Shaffner,P,NC State,4YR JR,Y,240000
15,445,Luke Hanson,SS,Virginia,4YR JR,Y,150000
15,446,Damian Bravo,OF,Texas Tech,4YR JR,Y,150000
15,447,Alex Wallace,P,McLennan CC,JC J2,Y,150000
15,448,Skylar King,OF,West Virginia,4YR JR,Y,150000
15,449,Reed Moring,P,UC Santa Barbara,4YR JR,Y,100000
15,450,Trevor Haskins,SS,Stanford,4YR SR,Y,100000
15,451,Noah Edders,P,Troy University,4YR SR,Y,100000
15,452,Brayden Corn,OF,Western Carolina U,4YR JR,Y,150000
15,453,Hayden Murphy,P,Auburn,4YR JR,Y,150000
15,454,KK Clark,P,Pearl River CC,JC J2,Y,150000
15,455,Dominic Cadiz,3B,Notre Dame HS,HS SR,N,
15,456,DJ Newman,TWP,Bowling Green,4YR JR,Y,202500
15,457,Dallas Macias,OF,Oregon State,4YR JR,Y,150000
15,458,Connor Rasmussen,SS,Tulane,4YR JR,Y,150000
15,459,Charlie Christensen,P,U Central Arkansas,4YR JR,Y,150000
15,460,Ryan Reed,P,Pittsburgh,4YR JR,Y,150000
15,461,Jacob Pruitt,P,Mississippi State,4YR JR,Y,150000
15,462,Evan Chrest,P,Florida State,4YR JR,Y,150000
15,463,Conner Ware,P,LSU,4YR JR,Y,150000
15,464,Jack Cebert,P,Texas Tech,4YR SR,Y,150000
15,465,Matt Lanzendorfer,P,Virginia,4YR GR,Y,147500
16,466,Kaleb Freeman,C,Georgia State,4YR SR,Y,150000
16,467,Seth Clausen,P,Minnesota,4YR SR,Y,50000
16,468,RJ Shunck,P,Toledo,4YR JR,Y,100000
16,469,Gage Harrelson,OF,Florida State,4YR JR,Y,150000
16,470,Jackson Phipps,P,Jacksonville State,4YR 5S,Y,100000
16,471,Levi Huesman,P,Vanderbilt,4YR JR,Y,150000
16,472,Jaxson West,C,Florida State,4YR JR,Y,150000
16,473,Eddie King Jr.,OF,Louisville,4YR SR,Y,125000
16,474,Maison Martinez,P,Florida State,4YR JR,Y,147500
16,475,Jaxon Grossman,P,Salt Lake CC,JC J2,N,
16,476,Garrett Langrell,P,Creighton U,4YR GR,Y,50000
16,477,Riley Stanford,OF,Georgia Tech,4YR JR,Y,150000
16,478,Jason Gilman,P,Kean University,4YR GR,Y,150000
16,479,Jonathan Stevens,P,U Alabama,4YR SO,Y,172400
16,480,Alex Breckheimer,P,Kansas,4YR JR,Y,200000
16,481,Riely Hunsaker,P,Lamar,4YR SR,Y,45000
16,482,Casey Hintz,P,Arizona,4YR JR,Y,150000
16,483,Collin Rothermel,P,Jacksonville University,4YR SR,Y,100000
16,484,Denton Biller,P,Johnson County CC,JC J1,Y,151000
16,485,Parker Coil,P,Arkansas,4YR JR,N,
16,486,Chase Call,OF,University of California - Irvine,4YR SR,Y,20000
16,487,Nico Wagner,P,West Valley College,JC J2,Y,150000
16,488,Randy Ramnarace,P,University of New Haven,4YR JR,Y,150000
16,489,Joe Ruzicka,P,Belmont University,4YR SR,Y,150000
16,490,Cardell Thibodeaux,OF,Southern,4YR JR,Y,150000
16,491,Logan Dawson,SS,Eastern HS,HS SR,Y,242500
16,492,Luke Fernandez,P,Wallace State CC,JC J3,Y,100000
16,493,Zack Mack,P,Loyola Marymount University,4YR SR,Y,150000
16,494,Jackson Lovich,SS,Missouri,4YR JR,Y,150000
16,495,AJ Soldra,OF,Seton Hall,4YR SO,Y,147500
17,496,Derek Cerda,OF,Kansas,4YR JR,Y,150000
17,497,Derrick Smith,P,NC State,4YR JR,Y,100000
17,498,Xavier Cardenas III,P,San Diego State,4YR JR,Y,100000
17,499,Cole Raymond,P,Avon Old Farms School,HS SR,Y,150000
17,500,Jared Davis,SS,Virginia Tech,4YR JR,Y,100000
17,501,Bryce Molinaro,3B,Penn State,4YR JR,N,
17,502,Jordan Rich,OF,American Heritage School,HS SR,Y,150000
17,503,Carter Gwost,OF,Little Falls HS,HS SR,Y,497500
17,504,Dylan King,C,Central Florida,4YR SR,Y,150000
17,505,Noah Franklin,C,TNXL Academy,HS SR,Y,275000
17,506,Luke Mensik,P,Lincoln-Way Central HS,HS SR,Y,482500
17,507,Brody Donay,C,Florida,4YR JR,Y,150000
17,508,Patrick Galle,P,Ole Miss,4YR SO,Y,150000
17,509,JP Smith II,3B,Sacramento State,4YR JR,Y,75000
17,510,Cameron Nickens,OF,Austin Peay,4YR SR,Y,50000
17,511,Logan Poteet,C,UNC Charlotte,4YR JR,Y,180000
17,512,Anthony Karoly,P,Nova Southeastern,4YR JR,Y,50000
17,513,Joel Sarver,P,UNC Charlotte,4YR 5S,Y,75000
17,514,Braeden Sloan,P,TCU,4YR JR,Y,150000
17,515,Luke Roupe,P,Grace Christian School,HS SR,Y,225000
17,516,Grayson Saunier,P,Texas,4YR JR,Y,150000
17,517,Brody Fowler,P,North Greenville U,4YR JR,Y,150000
17,518,Luke Nowak,OF,University of Illinois at Chicago,4YR SR,Y,100000
17,519,Joey Wimpelberg,P,College of Central Florida,JC J2,Y,197500
17,520,Tyler Schmitt,P,Illinois,4YR JR,Y,150000
17,521,Richie Cortese,P,Lander University,4YR SR,Y,150000
17,522,Cannon Peebles,C,Tennessee,4YR JR,Y,150000
17,523,Sam Robertson,SS,Northwest Shoals CC,JC J2,Y,150000
17,524,Ryan Osinski,P,Virginia,4YR JR,Y,150000
17,525,Sam Horn,P,Missouri,4YR JR,Y,497500
18,526,Landen Payne,P,Southern Mississippi,4YR SR,Y,150000
18,527,Tyrelle Chadwick,P,Illinois State,4YR JR,Y,125000
18,528,Hayden Cuthbertson,P,Miami (OH),4YR JR,Y,100000
18,529,Angelo Smith,P,Central Florida,4YR JR,Y,150000
18,530,Jay Dill,P,Troy University,4YR SR,Y,100000
18,531,Owen Puk,P,Florida International,4YR SR,Y,150000
18,532,Will Cresswell,C,Washington State,4YR SR,Y,100000
18,533,Canon Reeder,OF,Oregon State,4YR JR,Y,150000
18,534,Ethan Moore,SS,Oak Park and River Forest HS,HS SR,N,
18,535,Julius Sanchez,P,Illinois,4YR JR,Y,150000
18,536,Cooper McGrath,P,Northeastern,4YR GR,Y,10000
18,537,Brayden Jones,P,Ole Miss,4YR GR,Y,75000
18,538,Cade Fisher,P,Auburn,4YR JR,Y,150000
18,539,Matthew Dalquist,P,UC San Diego,4YR SR,Y,150000
18,540,Dylan Driessen,P,South Dakota State,4YR JR,Y,125000
18,541,Connor Knox,P,George Mason,4YR JR,Y,140000
18,542,Griffin Stieg,P,Virginia Tech,4YR JR,N,
18,543,Raul Garayzar,P,Arizona,4YR SR,Y,100000
18,544,Cole Johnson,OF,Oconee County HS,HS SR,N,
18,545,Rylan Mills,C,Oran HS,HS SR,Y,247500
18,546,Landon Arroyos,SS,Grayson HS,HS SR,Y,252500
18,547,Aiven Cabral,P,Northeastern,4YR JR,Y,100000
18,548,Grayson Boles,P,St. Augustine HS,HS SR,Y,500000
18,549,Ethan Rogers,P,Lone Jack HS,HS SR,N,
18,550,Landry Jurecka,P,Queens University of Charlotte,4YR SR,Y,75000
18,551,Matthew Potok,P,Coastal Carolina,4YR SR,Y,150000
18,552,Zane Petty,P,Texas Tech,4YR JR,Y,100000
18,553,Dillon Stiltner,P,Trinity Christian School,HS SR,Y,222690
18,554,Justin West,P,Louisville,4YR JR,Y,150000
18,555,Finn Edwards,P,Iowa Western CC,JC J1,N,
19,556,Nick Weyrich,P,Marshall,4YR SR,Y,10000
19,557,Easton Marks,P,Florida International,4YR JR,Y,150000
19,558,Peyton Fosher,P,Nevada,4YR SR,Y,100000
19,559,Ivan Tatis,SS,Georgia Premier Academy,HS SR,Y,100000
19,560,Itsuki Takemoto,P,Hawaii,4YR SO,Y,125000
19,561,Mason Pike,P,Puyallup HS,HS SR,N,
19,562,Luke Kovach,P,Cal Poly,4YR SR,Y,150000
19,563,Brandon Cain,P,Oklahoma,4YR JR,Y,100000
19,564,Myles Upchurch,P,St. Albans HS,HS SR,N,
19,565,Cory Geinzer,P,Col of Central Florida,JC J1,Y,225000
19,566,Braydon Risley,P,Grayson College,JC J2,Y,100000
19,567,Blake Morgan,P,Old Dominion,4YR SR,Y,50000
19,568,Fabian Bonilla,OF,Christian Military Academy,HS SR,Y,150000
19,569,Matthew Becker,P,South Carolina,4YR SR,Y,25000
19,570,Liam Best,P,Appalachian State,4YR SR,Y,100000
19,571,Caleb Barnett,3B,Mountain Brook HS,HS SR,N,
19,572,Cam Appenzeller,P,Glenwood HS,HS SR,N,
19,573,Jacob Parker,OF,Purvis HS,HS SR,N,
19,574,Jimmy Anderson,SS,Heartland CC,JC J1,N,
19,575,Chase Bentley,P,IMG Academy,HS SR,Y,757500
19,576,Joey McLaughlin,OF,Harrah HS,HS SR,N,
19,577,Ryan Heppner,P,U British Columbia,4YR JR,Y,100000
19,578,Dylan Wood,P,Franklin HS,HS SR,N,
19,579,Meridian Leffew,SS,Gaston Christian School,HS SR,Y,164500
19,580,Jonathan Vastine,SS,Vanderbilt,4YR SR,Y,50000
19,581,Robert Phelps,SS,Reinhardt University,4YR JR,Y,75000
19,582,Derek Munoz,P,Miami Christian School,HS SR,Y,150000
19,583,Joe Scarborough,P,Jacksonville State,4YR JR,Y,150000
19,584,Hayden Morris,P,Blinn College,JC J1,N,
19,585,Anson Aroz,C,Oregon,4YR SR,Y,147500
20,586,Andrew Sentlinger,P,Virginia Tech,4YR JR,Y,150000
20,587,Ethan Cole,P,Augustana U,4YR JR,Y,150000
20,588,Cannon Pickell,P,Western Carolina,4YR 5S,Y,5000
20,589,Sam Tookoian,P,Ole Miss,4YR JR,Y,50000
20,590,Kade Brown,P,Sacramento State,4YR JR,Y,125000
20,591,Juan Cruz,1B,Alabama State University,4YR JR,Y,150000
20,592,Ty Peeples,OF,Franklin County HS,HS SR,N,
20,593,Nick Frusco,P,Miller Place HS,HS SR,N,
20,594,Leamsi Montanez,C,Leadership Christian Academy,HS SR,N,
20,595,Jamaurion McQueen,OF,Brandon HS,HS SR,Y,280000
20,596,Elijah McNeal,SS,Dublin HS,HS SR,N,
20,597,Ike Young,P,Monticello HS,HS SR,N,
20,598,Garrison Sumner,P,Brigham Young U,4YR JR,N,
20,599,Michael Hilker,P,U Arizona,4YR JR,Y,125000
20,600,Chase Heath,C,U Central Missouri,4YR SR,Y,5000
20,601,Freddy Rodriguez,P,U Hawaii,4YR JR,Y,50000
20,602,Estevan Moreno,SS,Notre Dame,4YR JR,Y,150000
20,603,Ethin Bingaman,P,Corona HS,HS SR,N,
20,604,Connor Gehr,P,Meridian CC,JC J1,Y,230500
20,605,Ma'Kale Holden,P,Thompson HS,HS SR,Y,410000
20,606,Curtis Hebert,SS,University of Portland,4YR JR,Y,150000
20,607,Hayden Friese,OF,Western Carolina,4YR JR,Y,100000
20,608,Kamden Edge,P,Northern Oklahoma JC,JC J1,Y,150000
20,609,Kameron Douglas,P,Alabama St U,4YR JR,Y,150000
20,610,Luke Cantwell,1B,Pittsburgh,4YR SR,Y,50000
20,611,Landon Schaefer,SS,Fayetteville Sr HS,HS SR,N,
20,612,Vaughn Neckar,P,Vista Murrieta HS,HS SR,N,
20,613,Garrett Stratton,P,Rice,4YR JR,Y,150000
20,614,Bryce Martin-Grudzielanek,SS,USC,4YR SR,Y,150000
20,615,Shane Brinham,P,Handsworth SS,HS JR,N,
