Round,Pick,Name,Pos,School,School_Class,Signed,Bonus
4,133,Peter Kussow,P,Arrowhead Union HS,HS SR,Y,897500
4,134,Pico Kohn,P,Mississippi State,4YR SR,Y,547800
4,135,Aidan West,SS,Long Reach HS,HS SR,Y,1272500
4C,136,Dixon Williams,2B,East Carolina,4YR JR,Y,497500
5,137,Gabe Davis,P,Oklahoma State,4YR JR,Y,587500
5,138,Cameron Nelson,OF,Wake Forest,4YR SO,Y,600000
5,139,Chris Arroyo,1B,Virginia,4YR JR,Y,521400
5,140,CJ Gray,P,A.L. Brown HS,HS SR,Y,1247500
5,141,Zane Taylor,P,UNC Wilmington,4YR SR,Y,513900
5,142,Coy James,SS,Davie HS,HS SR,Y,2500000
5,143,Tim Piasentin,3B,Foothills Composite HS,HS SR,Y,747500
5,144,Adonys Guzman,C,Arizona,4YR JR,Y,496500
5,145,Eli Pitts,OF,North Atlanta HS,HS SR,Y,572500
5,146,Ben Abeldt,P,TCU,4YR JR,Y,450000
5,147,James Quinn-Irons,OF,George Mason,4YR JR,Y,481900
5,148,Christian Foutch,P,Arkansas,4YR JR,Y,400000
5,149,Matt Barr,P,SUNY Niagara CC,JC J1,Y,762500
5,150,Ethan Young,P,East Carolina,4YR JR,Y,630000
5,151,Kade Snell,OF,Alabama,4YR GR,Y,200000
5,152,Korbyn Dickerson,OF,Indiana,4YR JR,Y,461100
5,153,Nathan Hall,OF,South Carolina,4YR JR,Y,456400
5,154,Jaiden Lo Re,SS,Corona Del Sol HS,HS SR,Y,562500
5,155,Sean Episcope,P,Princeton,4YR SO,Y,335500
5,156,Nick Potter,P,Wichita State,4YR JR,Y,336600
5,157,Conor Essenburg,OF,Lincoln-Way West HS,HS SR,Y,1197500
5,158,Aiden Jimenez,P,Arkansas,4YR JR,Y,431900
5,159,Ryan Hall,P,North Gwinnett HS,HS SR,Y,997500
5,160,Ty Harvey,C,Inspiration Academy,HS SR,Y,1500000
5,161,Gabe Craig,P,Baylor,4YR GR,Y,197500
5,162,Riley Nelson,1B,Vanderbilt,4YR JR,Y,350000
5,163,Peyton Prescott,P,Florida State,4YR SO,Y,197500
5,164,Core Jackson,SS,Utah,4YR SR,Y,147500
5,165,Davion Hickson,P,Rice,4YR JR,Y,404800
6,166,Colby Shelton,SS,Florida,4YR JR,Y,447500
6,167,Matt Klein,C,Louisville,4YR JR,Y,425000
6,168,Joey Volini,P,Florida State,4YR SR,Y,297750
6,169,Luke LaCourse,P,Bay City Western HS,HS SR,Y,512500
6,170,Grant Richardson,P,Grand Canyon University,4YR JR,Y,400000
6,171,Boston Smith,C,Wright State,4YR SR,Y,50000
6,172,Eric Snow,SS,Auburn,4YR JR,Y,381100
6,173,Jack Anker,P,Fresno State,4YR JR,Y,347500
6,174,Braden Osbolt,P,Kennesaw State,4YR JR,Y,297500
6,175,Jack Wheeler,3B,Morris HS,HS SR,Y,525000
6,176,Jordan Gottesman,P,Northeastern,4YR 5S,Y,197500
6,177,Aidan Haugh,P,North Carolina,4YR SR,Y,157500
6,178,Leighton Finley,P,Georgia,4YR JR,Y,364800
6,179,Bruin Agbayani,SS,Saint Louis School,HS SR,Y,380600
6,180,Matthew Miura,OF,Hawaii,4YR JR,Y,358700
6,181,Josiah Hartshorn,OF,Orange Lutheran HS,HS SR,Y,2000000
6,182,Lucas Kelly,P,Arizona State,4YR JR,Y,325000
6,183,Sawyer Hawks,P,Vanderbilt,4YR SR,Y,250000
6,184,Caden Hunter,P,USC,4YR JR,Y,344600
6,185,Daniel Dickinson,SS,LSU,4YR JR,Y,325000
6,186,Gabel Pentecost,P,Taylor University,4YR JR,Y,297500
6,187,Landon Beidelschies,P,Arkansas,4YR JR,Y,297500
6,188,Tyriq Kemp,SS,Baylor,4YR SR,Y,147500
6,189,Grayson Grinsell,P,Oregon,4YR JR,Y,297500
6,190,Jaxon Dalena,P,Shippensburg University,4YR 5S,Y,10000
6,191,James Tallon,P,Duke,4YR JR,Y,325300
6,192,Nelson Keljo,P,Oregon State,4YR JR,Y,325100
6,193,Nathan Hall,P,University of Central Missouri,4YR JR,Y,297500
6,194,Rory Fox,P,Notre Dame,4YR JR,Y,411100
6,195,Mason Ligenza,OF,Tamaqua Area HS,HS SR,N,
7,196,Anthony DePino,3B,University of Rhode Island,4YR SR,Y,147500
7,197,Antoine Jean,P,Houston,4YR GR,Y,200000
7,198,Jake Clemente,P,Florida,4YR JR,Y,500000
7,199,Lucas Mahlstedt,P,Clemson,4YR SR,Y,47500
7,200,Logan Sauve,C,West Virginia,4YR JR,Y,304200
7,201,Julian Tonghini,P,Arizona,4YR SR,Y,10000
7,202,Dylan Watts,P,Auburn,4YR JR,Y,197500
7,203,Brent Iredale,3B,Arkansas,4YR JR,Y,294900
7,204,Justin Henschel,P,Florida Gulf Coast University,4YR JR,Y,222500
7,205,Paxton Kling,OF,Penn State,4YR JR,Y,375000
7,206,Cam Maldonado,OF,Northeastern,4YR JR,Y,287400
7,207,Jacob Kuhn,P,Midland College,JC J1,Y,262500
7,208,Myles Patton,P,Texas A&M,4YR JR,Y,285200
7,209,Jacob McCombs,OF,University of California - Irvine,4YR SO,Y,280400
7,210,Payton Graham,P,Gonzaga,4YR JR,Y,280800
7,211,Pierce Coppola,P,Florida,4YR SR,Y,278500
7,212,Colton Shaw,P,Yale,4YR SR,Y,100000
7,213,Joe Ariola,P,Wake Forest,4YR JR,Y,250000
7,214,Hunter Allen,P,Ashland University,4YR SR,Y,147500
7,215,Josiah Ragsdale,OF,Boston College,4YR JR,Y,237500
7,216,Jase Mitchell,C,Cape Henlopen HS,HS SR,Y,797500
7,217,Zach Royse,P,UTSA,4YR JR,Y,197500
7,218,Bryson Dudley,P,Texas State,4YR JR,Y,261000
7,219,Cale Wetwiska,P,Northern Oklahoma College-Enid,JC J2,Y,647500
7,220,Kerrington Cross,3B,Cincinnati,4YR 5S,Y,20000
7,221,Matthew Fisher,P,Memorial HS,HS SR,Y,1250000
7,222,Will McCausland,P,Ole Miss,4YR JR,Y,235000
7,223,Cam Tilly,P,Auburn,4YR SO,Y,397500
7,224,Richie Bonomolo Jr.,OF,Alabama,4YR JR,Y,222500
7,225,Mason Estrada,P,MIT,4YR SO,Y,447500
8,226,Blaine Wynk,P,Ohio State,4YR JR,Y,246200
8,227,Tanner Thach,1B,UNC Wilmington,4YR JR,Y,325000
8,228,Emilio Barreras,SS,Grand Canyon University,4YR JR,Y,122500
8,229,Isaiah Jackson,OF,Arizona State,4YR JR,Y,297500
8,230,Corey Braun,P,South Florida,4YR SR,Y,200000
8,231,Riley Maddox,P,Ole Miss,4YR SR,Y,10000
8,232,Danny Thompson Jr.,P,UNC Greensboro,4YR 5S,Y,5000
8,233,Josh Tate,OF,Georgia Southern,4YR JR,Y,234300
8,234,Kyle McCoy,P,Maryland,4YR JR,Y,232700
8,235,Evan Siary,P,Mississippi State,4YR JR,Y,300000
8,236,Ben Bybee,P,Arkansas,4YR JR,Y,229500
8,237,Aidan Cremarosa,P,Fresno State,4YR JR,Y,182500
8,238,Dylan Brown,P,Old Dominion,4YR JR,Y,229000
8,239,Ryan Sprock,3B,Elon University,4YR JR,Y,225300
8,240,Ryan Weingartner,SS,Penn State,4YR JR,Y,226500
8,241,Jake Knapp,P,North Carolina,4YR GR,Y,175000
8,242,Danny Macchiarola,P,Holy Cross,4YR JR,Y,175000
8,243,Jack Martinez,P,Arizona State,4YR SR,Y,167326
8,244,Kailen Hamson,P,University of the Cumberlands,4YR SR,Y,97500
8,245,Hayden Vucinovich,P,Bloomington Jefferson HS,HS SR,Y,150000
8,246,Kyle Walker,2B,Arizona State,4YR JR,Y,152500
8,247,Carter Lovasz,P,William & Mary,4YR SR,Y,7500
8,248,Brooks Bryan,C,Troy University,4YR JR,Y,197500
8,249,Nick Dumesnil,OF,California Baptist University,4YR JR,Y,214300
8,250,Jamie Hitt,P,Oklahoma,4YR 5S,Y,10000
8,251,Brian Walters,P,Miami,4YR SR,Y,309400
8,252,Anthony Martinez,1B,University of California - Irvine,4YR JR,Y,214200
8,253,Camden Lohman,P,Ft. Zumwalt North HS,HS SR,Y,797500
8,254,Mac Heuer,P,Texas Tech,4YR SO,Y,400000
8,255,Jack O'Connor,P,Virginia,4YR JR,Y,158775
9,256,Riley Eikhoff,P,Coastal Carolina,4YR GR,Y,7500
9,257,Zach Rogacki,C,SUNY Binghamton,4YR SR,Y,50000
9,258,Kaiden Wilson,P,Texas A&M,4YR SO,Y,697500
9,259,Slate Alford,3B,Georgia,4YR SR,Y,17500
9,260,Daniel Bucciero,3B,Fordham,4YR JR,Y,208100
9,261,Wyatt Henseler,3B,Texas A&M,4YR 5S,Y,10000
9,262,Karson Ligon,P,Mississippi State,4YR SR,Y,125000
9,263,Jared Jones,1B,LSU,4YR JR,Y,203600
9,264,Kien Vu,OF,Arizona State,4YR JR,Y,172500
9,265,Owen Proksch,P,Duke,4YR JR,Y,200000
9,266,Reid Worley,P,Cherokee HS,HS SR,Y,747500
9,267,Mason Nichols,P,Ole Miss,4YR SR,Y,37500
9,268,Jacob Mayers,P,LSU,4YR JR,Y,190000
9,269,Justin Mitrovich,P,Elon University,4YR JR,Y,172500
9,270,Michael Dattalo,3B,Dallas Baptist,4YR JR,Y,202200
9,271,Colton Book,P,Saint Joseph's,4YR JR,Y,100000
