Rank,Name,Conference,G,W-L,AB,H,BA
148,Sacramento St.,WAC,58,32-26,1984,554,0.279
149,LMU (CA),West Coast,58,29-29,1995,557,0.279
150,UIC,Missouri Valley,55,22-33,1859,519,0.279
151,Saint Peter's,Metro Atlantic,48,Nov-37,1625,453,0.279
152,Youngstown St.,Horizon League,57,15-42,1887,526,0.279
153,Army West Point,Patriot League,50,25-25,1644,458,0.279
154,UC San Diego,Big West,51,26-25,1759,490,0.279
155,Northwestern St.,Southland,56,35-21,1874,522,0.279
156,Central Ark.,Atlantic Sun,55,20-35,1867,520,0.279
157,Northern Colo.,Summit League,51,18-33,1778,495,0.278
158,Alabama,SEC,59,41-18,1956,544,0.278
159,Oklahoma,SEC,60,38-22,1971,548,0.278
160,Mercer,Southern Conference,60,35-25,2018,561,0.278
161,Clemson,ACC,63,45-18,2047,569,0.278
162,Kansas St.,Big 12,58,32-26,1941,539,0.278
163,Tennessee Tech,Ohio Valley,57,37-20,1913,530,0.277
164,App State,Sun Belt,54,23-31,1838,509,0.277
165,Indiana St.,Missouri Valley,55,24-31,1842,510,0.277
166,East Carolina,American Athletic,62,35-27,2066,572,0.277
167,South Alabama,Sun Belt,51,23-28,1688,467,0.277
168,Kennesaw St.,Conference USA,58,31-27,1963,543,0.277
169,Houston Christian,Southland,57,32-25,1862,515,0.277
170,FIU,Conference USA,58,31-27,1942,536,0.276
171,Prairie View,SWAC,53,17-36,1635,451,0.276
172,Bryant,America East,56,36-19-1,1840,507,0.276
173,Texas,SEC,58,44-14,1980,545,0.275
174,Nebraska,Big Ten,62,33-29,2111,581,0.275
175,Presbyterian,Big South,52,17-35,1730,476,0.275
176,North Florida,Atlantic Sun,56,27-29,1829,503,0.275
177,Central Mich.,Mid-American,55,20-35,1870,514,0.275
178,St. Bonaventure,Atlantic 10,49,20-29,1656,455,0.275
179,Miami (FL),ACC,62,35-27,2072,569,0.275
180,Charlotte,American Athletic,58,36-22,1946,534,0.274
181,Jacksonville St.,Conference USA,62,37-25,2023,555,0.274
182,Sacred Heart,Metro Atlantic,54,28-26,1808,496,0.274
183,Little Rock,Ohio Valley,61,27-34,2090,573,0.274
184,Troy,Sun Belt,60,39-21,1997,547,0.274
185,Maine,America East,51,20-31,1709,468,0.274
186,Ga. Southern,Sun Belt,59,28-31,1962,537,0.274
187,Marshall,Sun Belt,59,33-26,1959,536,0.274
188,FGCU,Atlantic Sun,60,31-29,2025,554,0.274
189,Cornell,Ivy League,34,22-Dec,1177,322,0.274
190,Evansville,Missouri Valley,54,17-37,1814,496,0.273
191,Gonzaga,West Coast,53,26-27,1862,509,0.273
192,South Fla.,American Athletic,56,31-25,1874,512,0.273
193,SIUE,Ohio Valley,54,26-28,1838,502,0.273
194,Mount St. Mary's,Metro Atlantic,51,23-28,1677,457,0.273
195,Lafayette,Patriot League,49,14-35,1557,424,0.272
196,Penn,Ivy League,41,21-20,1435,390,0.272
197,Penn St.,Big Ten,56,33-23,1914,520,0.272
198,LIU,Northeast,58,35-23,1892,514,0.272
199,Western Ill.,Ohio Valley,50,18-32,1675,455,0.272
200,SFA,Southland,49,18-31,1654,449,0.271
201,Towson,Coastal Athletic,56,21-35,1806,490,0.271
202,Omaha,Summit League,50,20-30,1655,449,0.271
203,Western Mich.,Mid-American,51,19-32,1671,453,0.271
204,South Dakota St.,Summit League,52,16-36,1739,471,0.271
205,UNC Asheville,Big South,50,15-35,1659,449,0.271
206,Kentucky,SEC,57,31-26,1841,498,0.271
207,Marist,Metro Atlantic,54,26-28,1853,501,0.27
208,Gardner-Webb,Big South,53,17-36,1788,483,0.27
209,San Jose St.,Mountain West,59,29-30,2000,540,0.27
210,UNCW,Coastal Athletic,58,34-24,1971,532,0.27
211,Delaware,Conference USA,53,28-25,1809,488,0.27
212,Monmouth,Coastal Athletic,54,24-30,1806,487,0.27
