Rank,Name,W,L,T,PCT
,Maryland,29,29,0,0.5
,Coppin St.,24,24,0,0.5
159,Northeastern,28,29,0,0.491
160,Memphis,27,28,0,0.491
,Nicholls,27,28,0,0.491
162,Virginia Tech,26,27,0,0.491
,South Fla.,26,27,0,0.491
164,Gardner-Webb,25,26,0,0.49
165,Pepperdine,24,25,0,0.49
166,UTSA,28,30,0,0.483
167,Monmouth,27,29,1,0.482
168,UAB,27,29,0,0.482
,Kennesaw St.,27,29,0,0.482
,Oregon,27,29,0,0.482
171,Portland,25,27,0,0.481
172,Norfolk St.,24,26,0,0.48
173,Louisiana,28,31,0,0.475
174,Belmont,27,30,0,0.474
175,Western Ky.,26,29,1,0.473
176,Arkansas St.,26,29,0,0.473
,Kentucky,26,29,0,0.473
,Southern Ill.,26,29,0,0.473
179,Seton Hall,25,28,0,0.472
180,Northwestern,24,27,0,0.471
181,Pacific,23,26,0,0.469
182,Wichita St.,28,32,0,0.467
183,Xavier,27,31,0,0.466
,ULM,27,31,0,0.466
185,Eastern Ill.,26,30,0,0.464
186,Southern California,25,29,1,0.464
187,Stetson,27,32,0,0.458
188,Furman,26,31,0,0.456
189,Saint Louis,25,30,0,0.455
190,Evansville,24,29,0,0.453
,Canisius,24,29,0,0.453
,Rhode Island,24,29,0,0.453
193,Columbia,19,23,0,0.452
194,New Mexico,23,28,1,0.452
195,Penn St.,22,27,0,0.449
196,UT Martin,25,31,0,0.446
,La Salle,25,31,0,0.446
198,Delaware St.,20,25,0,0.444
,Murray St.,24,30,0,0.444
,Notre Dame,24,30,0,0.444
201,Florida A&M,27,34,0,0.443
202,North Dakota St.,19,24,0,0.442
203,Rice,26,33,0,0.441
,Manhattan,26,33,0,0.441
205,Yale,18,23,0,0.439
206,USC Upstate,23,30,0,0.434
207,SFA,25,33,0,0.431
,Kansas St.,25,33,0,0.431
209,Lehigh,21,28,0,0.429
,N.C. Central,21,28,0,0.429
,Saint Joseph's,21,28,0,0.429
212,FIU,23,32,0,0.418
,CSUN,23,32,0,0.418
,Southeast Mo. St.,23,32,0,0.418
215,App State,22,31,0,0.415
,Western Ill.,22,31,0,0.415
,UMBC,22,31,0,0.415
218,Holy Cross,22,32,0,0.407
,Tennessee Tech,22,32,0,0.407
220,CSU Bakersfield,24,35,0,0.407
221,Charlotte,21,31,1,0.406
222,Hartford,23,34,0,0.404
223,Hawaii,20,30,0,0.4
,Massachusetts,18,27,0,0.4
225,Western Caro.,21,32,0,0.396
226,Georgetown,22,34,0,0.393
227,Rutgers,20,31,0,0.392
228,Charleston So.,23,36,0,0.39
229,Delaware,21,33,0,0.389
,NJIT,17,27,1,0.389
231,Pittsburgh,21,34,0,0.382
232,UC Davis,19,31,0,0.38
233,LIU,20,33,0,0.377
234,SIUE,19,32,0,0.373
,Wagner,19,32,0,0.373
236,San Jose St.,20,34,0,0.37
,Ohio,20,34,0,0.37
,Texas Southern,20,34,0,0.37
,Purdue,20,34,0,0.37
,Michigan St.,20,34,0,0.37
241,Hofstra,18,31,1,0.37
242,Cornell,14,24,0,0.368
243,Western Mich.,18,31,0,0.367
244,Dartmouth,15,26,0,0.366
245,Lafayette,19,33,0,0.365
246,Sacred Heart,19,34,1,0.361
247,Missouri St.,20,36,0,0.357
,UMass Lowell,20,36,0,0.357
,UC Riverside,20,36,0,0.357
,NIU,20,36,0,0.357
251,Siena,18,33,0,0.353
252,George Mason,19,35,0,0.352
253,Princeton,14,26,0,0.35
254,Houston Christian,18,35,0,0.34
,Prairie View,18,35,0,0.34
256,Lamar University,18,36,0,0.333
257,Savannah St.,13,27,1,0.329
258,Middle Tenn.,18,37,0,0.327
259,Bowling Green,16,33,0,0.327
,Utah,16,33,0,0.327
261,Rider,17,36,0,0.321
,Toledo,17,36,0,0.321
263,Alabama A&M,16,35,0,0.314
264,Niagara,15,33,0,0.313
265,Alcorn,14,31,0,0.311
266,Bethune-Cookman,17,38,0,0.309
267,Brown,12,27,0,0.308
,UNC Asheville,16,36,0,0.308
269,Maine,15,34,0,0.306
270,Mount St. Mary's,15,35,0,0.3
271,Bucknell,14,33,0,0.298
272,VMI,17,41,0,0.293
273,FDU,15,37,1,0.292
274,St. Bonaventure,13,32,0,0.289
275,Valparaiso,14,36,0,0.28
276,Iona,14,38,0,0.269
277,Georgia St.,15,41,0,0.268
,Utah Valley,15,41,0,0.268
279,Towson,14,39,0,0.264
280,Northern Ky.,15,42,0,0.263
281,Northern Colo.,12,35,0,0.255
282,Villanova,13,38,0,0.255
283,Long Beach St.,14,41,0,0.255
284,Seattle U,13,39,0,0.25
285,Youngstown St.,13,41,0,0.241
286,Santa Clara,12,40,0,0.231
287,Oakland,11,37,0,0.229
288,Mississippi Val.,8,27,0,0.229
289,The Citadel,12,43,0,0.218
290,Washington St.,11,42,1,0.213
291,Longwood,11,41,0,0.212
292,Eastern Mich.,11,43,1,0.209
293,Chicago St.,10,41,0,0.196
294,UMES,10,44,0,0.185
295,Ark.-Pine Bluff,8,42,0,0.16
296,Purdue Fort Wayne,7,45,0,0.135
297,Saint Peter's,5,46,0,0.098
