Rank,Name,W,L,T,PCT
1,Oregon St.,55,12,1,0.816
2,Tennessee Tech,53,12,0,0.815
3,Stanford,46,12,0,0.793
4,Stetson,48,13,0,0.787
5,Clemson,47,16,0,0.746
6,Minnesota,44,15,0,0.746
7,Ole Miss,48,17,0,0.738
8,UNC Greensboro,39,15,0,0.722
9,Duke,45,18,0,0.714
10,Southern Miss.,44,18,0,0.71
,East Carolina,44,18,0,0.71
12,Navy,38,16,0,0.704
13,Louisville,45,19,0,0.703
14,St. John's (NY),40,17,0,0.702
,Missouri St.,40,17,0,0.702
16,NC State,42,18,0,0.7
,Florida,49,21,0,0.7
18,Wright St.,39,17,0,0.696
19,Arkansas,48,21,0,0.696
20,Florida St.,43,19,0,0.694
,Coastal Carolina,43,19,0,0.694
22,Texas Tech,45,20,0,0.692
23,Fla. Atlantic,43,19,1,0.69
24,Kent St.,40,18,0,0.69
25,North Carolina,44,20,0,0.688
26,Creighton,34,16,0,0.68
27,Wagner,38,18,0,0.679
28,Indiana,40,19,0,0.678
29,DBU,42,21,0,0.667
,Troy,42,21,0,0.667
31,Louisiana Tech,39,20,0,0.661
,Sam Houston,39,20,0,0.661
33,Jacksonville,40,21,0,0.656
34,Oral Roberts,38,20,0,0.655
,Saint Louis,38,20,0,0.655
36,Col. of Charleston,36,19,0,0.655
37,Jackson St.,34,18,0,0.654
38,Auburn,43,23,0,0.652
39,Georgia,39,21,0,0.65
,San Diego St.,39,21,0,0.65
41,Texas,42,23,0,0.646
42,Fordham,35,19,1,0.645
43,New Mexico St.,40,22,0,0.645
,Texas A&M,40,22,0,0.645
45,Purdue,38,21,0,0.644
,UCLA,38,21,0,0.644
47,Baylor,37,21,0,0.638
48,Miami (OH),35,20,0,0.636
49,Mercer,38,22,0,0.633
50,Northeastern,36,21,0,0.632
51,Butler,34,20,0,0.63
52,UNCW,39,23,0,0.629
53,Bradley,32,19,0,0.627
54,Southeastern La.,37,22,0,0.627
55,UIC,30,18,0,0.625
,UCF,35,21,0,0.625
,UConn,37,22,1,0.625
58,Wichita St.,35,21,1,0.623
59,Iowa,33,20,0,0.623
,Illinois,33,20,0,0.623
61,South Fla.,36,22,1,0.619
62,Canisius,35,22,0,0.614
63,Northwestern St.,38,24,0,0.613
64,Michigan,33,21,0,0.611
,Davidson,33,21,0,0.611
66,Wofford,36,23,0,0.61
,Elon,36,23,0,0.61
68,Missouri,34,22,0,0.607
,Kentucky,34,22,0,0.607
,Arizona,34,22,0,0.607
,High Point,34,22,0,0.607
72,Army West Point,37,24,0,0.607
73,FGCU,32,21,0,0.604
74,Houston,38,25,0,0.603
,Oklahoma,38,25,0,0.603
76,Ohio St.,36,24,0,0.6
77,Seton Hall,30,20,1,0.598
78,Seattle U,34,23,0,0.596
,VCU,34,23,0,0.596
80,UNLV,35,24,0,0.593
81,California,32,22,0,0.593
82,LSU,39,27,0,0.591
83,Cal St. Fullerton,36,25,0,0.59
84,TCU,33,23,0,0.589
85,South Carolina,37,26,0,0.587
,Morehead St.,37,26,0,0.587
,Samford,37,26,0,0.587
88,Charlotte,34,24,0,0.586
89,Sacramento St.,35,25,0,0.583
90,Bryant,32,23,1,0.58
91,Grand Canyon,33,24,0,0.579
,Gonzaga,33,24,0,0.579
93,Alabama St.,30,22,0,0.577
94,Louisiana,34,25,0,0.576
95,Saint Mary's (CA),31,23,0,0.574
96,Washington,35,26,0,0.574
,Campbell,35,26,0,0.574
98,Mississippi St.,39,29,0,0.574
99,UC Irvine,32,24,0,0.571
,Richmond,32,24,0,0.571
,UTSA,32,24,0,0.571
102,Vanderbilt,35,27,0,0.565
103,Indiana St.,31,24,0,0.564
104,N.C. A&T,32,25,0,0.561
,Stony Brook,32,25,0,0.561
,South Alabama,32,25,0,0.561
,Jacksonville St.,32,25,0,0.561
,Central Ark.,32,25,0,0.561
109,Fresno St.,30,24,0,0.556
110,Pepperdine,30,24,1,0.555
111,George Washington,32,26,0,0.552
,Ball St.,32,26,0,0.552
,Liberty,32,26,0,0.552
114,Northern Colo.,29,24,0,0.547
,Nevada,29,24,0,0.547
116,Monmouth,30,25,0,0.545
117,LIU,31,26,0,0.544
118,Oklahoma St.,31,26,1,0.543
119,Marist,27,23,0,0.54
120,N.C. Central,28,24,0,0.538
121,Virginia,29,25,0,0.537
122,A&M-Corpus Christi,30,26,0,0.536
,Ga. Southern,30,26,0,0.536
124,Delaware,31,27,0,0.534
,Georgia Tech,31,27,0,0.534
,Gardner-Webb,31,27,0,0.534
127,Hawaii,27,24,0,0.529
128,ETSU,28,25,0,0.528
129,Pittsburgh,29,26,0,0.527
,UIW,29,26,0,0.527
131,Austin Peay,30,27,0,0.526
,Cal Poly,30,27,0,0.526
133,Harvard,22,20,0,0.524
134,North Dakota St.,26,24,0,0.52
135,Miami (FL),28,26,0,0.519
136,George Mason,29,27,0,0.518
,West Virginia,29,27,0,0.518
,Tennessee,29,27,0,0.518
139,Texas St.,30,28,1,0.517
140,Yale,22,21,0,0.512
141,Little Rock,28,28,0,0.5
,Middle Tenn.,27,27,1,0.5
,Grambling,26,26,0,0.5
,Hofstra,23,23,0,0.5
,Rutgers,25,25,0,0.5
,UC Santa Barbara,27,27,2,0.5
,Cincinnati,28,28,0,0.5
,Santa Clara,26,26,0,0.5
,North Florida,28,28,0,0.5
