Rank,Name,W,L,T,PCT
,Pepperdine,19,30,0,0.388
234,San Francisco,18,29,0,0.383
235,Tennessee Tech,21,34,0,0.382
,Akron,21,34,0,0.382
,George Washington,21,34,0,0.382
,FIU,21,34,0,0.382
,Presbyterian,21,34,0,0.382
240,Nevada,20,33,0,0.377
241,Miami (OH),21,35,0,0.375
,Cal Poly,21,35,0,0.375
243,High Point,20,34,0,0.37
244,Baylor,20,35,0,0.364
,UMass Lowell,20,35,0,0.364
246,Rice,21,37,0,0.362
247,Ark.-Pine Bluff,18,33,0,0.353
248,Prairie View,20,37,0,0.351
249,South Fla.,21,39,0,0.35
250,Monmouth,16,30,0,0.348
251,Minnesota,18,34,0,0.346
,CSU Bakersfield,18,34,0,0.346
,Gonzaga,18,34,0,0.346
254,Youngstown St.,19,36,0,0.345
,Fordham,19,36,0,0.345
,LIU,19,36,0,0.345
257,Towson,19,37,0,0.339
258,Bradley,16,32,0,0.333
259,UMES,18,37,0,0.327
260,UAB,17,36,0,0.321
261,Brown,12,26,0,0.316
262,UC Davis,17,37,0,0.315
,ULM,17,37,0,0.315
264,Holy Cross,16,35,0,0.314
265,Tulane,19,42,0,0.311
266,Marist,16,36,0,0.308
267,Marshall,16,37,0,0.302
268,Alabama A&M,14,34,0,0.292
269,Lafayette,15,37,0,0.288
,Mississippi Val.,15,37,0,0.288
271,Pacific,14,35,0,0.286
,Massachusetts,14,35,0,0.286
273,Villanova,14,37,0,0.275
,North Ala.,14,37,0,0.275
,New Mexico St.,14,37,0,0.275
276,Delaware St.,13,35,0,0.271
277,Cornell,9,26,0,0.257
278,Iona,13,38,0,0.255
279,Siena,14,41,0,0.255
280,Northern Colo.,11,34,0,0.244
281,Purdue Fort Wayne,13,43,0,0.232
282,Western Ill.,12,40,0,0.231
283,Houston Christian,11,37,0,0.229
284,Butler,12,43,0,0.218
285,UAlbany,9,34,1,0.216
286,UC Riverside,11,41,0,0.212
287,Northwestern,10,40,0,0.2
288,NIU,10,43,0,0.189
289,Radford,10,45,0,0.182
290,Saint Peter's,9,41,0,0.18
291,Norfolk St.,9,42,0,0.176
292,St. Bonaventure,8,40,0,0.167
,Alcorn,8,40,0,0.167
294,Hartford,4,33,0,0.108
295,Dartmouth,3,38,0,0.073
,,,,,
,,,,,
      ,,,,,
