Rank,Name,W,L,T,PCT
1,Tennessee,57,9,0,0.864
2,Maryland,48,14,0,0.774
3,Texas St.,47,14,0,0.77
4,Davidson,43,13,0,0.768
5,Virginia Tech,45,14,0,0.763
6,UC Santa Barbara,44,14,0,0.759
7,UConn,50,16,0,0.758
8,Rutgers,44,15,0,0.746
9,Southern Ill.,44,16,0,0.733
10,Oregon St.,48,18,0,0.727
11,Stanford,47,18,0,0.723
12,Wofford,42,16,1,0.72
13,Southern Miss.,47,19,0,0.712
14,Old Dominion,41,17,0,0.707
,Notre Dame,41,17,0,0.707
16,Central Mich.,43,19,0,0.694
17,Mercer,40,18,0,0.69
18,Penn,33,15,0,0.688
,Texas A&M,44,20,0,0.688
20,Arkansas,46,21,0,0.687
,East Carolina,46,21,0,0.687
22,Campbell,41,19,0,0.683
23,Texas,47,22,0,0.681
24,Wake Forest,41,19,1,0.68
25,Ball St.,40,19,0,0.678
26,VCU,42,20,0,0.677
27,Virginia,39,19,0,0.672
28,Ga. Southern,41,20,0,0.672
29,Louisiana Tech,43,21,0,0.672
30,Miami (FL),40,20,0,0.667
31,Louisville,42,21,1,0.664
32,Auburn,43,22,0,0.662
33,Grand Canyon,41,21,0,0.661
34,Belmont,39,20,0,0.661
35,Gonzaga,37,19,0,0.661
36,Coastal Carolina,39,20,1,0.658
37,North Carolina,42,22,0,0.656
,Oklahoma St.,42,22,0,0.656
39,Oral Roberts,38,20,0,0.655
,Eastern Ky.,38,20,0,0.655
,UTSA,38,20,0,0.655
42,Iowa,36,19,0,0.655
43,Oklahoma,45,24,0,0.652
44,San Diego,37,20,0,0.649
,Col. of Charleston,37,20,0,0.649
46,Ole Miss,42,23,0,0.646
47,LSU,40,22,0,0.645
48,Columbia,32,18,0,0.64
49,Texas Tech,39,22,0,0.639
50,Cal Poly,37,21,0,0.638
,LIU,37,21,0,0.638
,Lamar University,37,21,0,0.638
53,Florida,42,24,0,0.636
54,TCU,38,22,0,0.633
55,Creighton,31,18,0,0.633
56,NC State,36,21,0,0.632
57,Marist,29,17,0,0.63
58,Vanderbilt,39,23,0,0.629
59,Southeast Mo. St.,37,22,0,0.627
60,UCLA,40,24,0,0.625
61,Eastern Ill.,33,20,0,0.623
62,Charlotte,36,22,0,0.621
,UNLV,36,22,0,0.621
64,North Dakota St.,31,19,0,0.62
65,Central Conn. St.,29,18,0,0.617
66,Louisiana,37,23,0,0.617
,Liberty,37,23,0,0.617
