Rank,Name,W,L,T,PCT
1,Oregon St.,56,6,0,0.903
2,Louisville,53,12,0,0.815
3,North Carolina,49,14,0,0.778
4,St. John's (NY),42,13,0,0.764
5,Southern Miss.,50,16,0,0.758
6,TCU,50,18,0,0.735
7,Florida,52,19,0,0.732
8,Virginia,43,16,0,0.729
,Oral Roberts,43,16,0,0.729
10,Texas Tech,45,17,0,0.726
11,Stanford,42,16,0,0.724
12,LSU,52,20,0,0.722
13,Michigan,42,17,0,0.712
14,Arkansas,45,19,0,0.703
15,Binghamton,30,13,0,0.698
16,Mercer,39,17,0,0.696
,UIC,39,17,0,0.696
18,South Fla.,42,19,0,0.689
19,Jackson St.,38,17,1,0.688
20,Navy,37,17,0,0.685
21,Wake Forest,43,20,0,0.683
,FGCU,43,20,0,0.683
,Missouri St.,43,20,0,0.683
24,LMU (CA),38,18,0,0.679
25,Long Beach St.,42,20,1,0.675
26,Kent St.,37,18,0,0.673
27,Florida St.,46,23,0,0.667
,Houston,42,21,0,0.667
,Clemson,42,21,0,0.667
,San Diego St.,42,21,0,0.667
,DBU,42,21,0,0.667
32,Tennessee Tech,41,21,0,0.661
33,Coastal Carolina,37,19,1,0.658
34,San Diego,35,18,1,0.657
35,Sam Houston,44,23,0,0.657
36,South Alabama,40,21,0,0.656
37,Yale,34,18,0,0.654
38,Kentucky,43,23,0,0.652
39,Saint Mary's (CA),37,20,0,0.649
,McNeese,37,20,0,0.649
41,UCF,40,22,0,0.645
42,BYU,38,21,0,0.644
,Ga. Southern,38,21,0,0.644
,Arizona,38,21,0,0.644
,Wright St.,38,21,0,0.644
46,Louisiana Tech,36,20,0,0.643
47,Texas A&M,41,23,0,0.641
48,Iowa,39,22,0,0.639
49,Old Dominion,37,21,0,0.638
50,Minnesota,36,21,0,0.632
51,Southeastern La.,37,22,0,0.627
52,Maryland,38,23,0,0.623
53,Fla. Atlantic,35,21,1,0.623
,Louisiana,35,21,1,0.623
55,Gonzaga,33,20,0,0.623
56,Central Conn. St.,36,22,0,0.621
57,Texas,39,24,0,0.619
,Cal St. Fullerton,39,24,0,0.619
59,New Mexico St.,35,22,0,0.614
,VCU,35,22,0,0.614
,Canisius,35,22,0,0.614
,Saint Louis,35,22,0,0.614
63,Nebraska,35,22,1,0.612
64,Morehead St.,36,23,0,0.61
,Missouri,36,23,0,0.61
66,Butler,31,20,0,0.608
67,UNC Greensboro,36,24,0,0.6
,Jacksonville,36,24,0,0.6
69,Mississippi St.,40,27,0,0.597
70,Baylor,34,23,0,0.596
,Delaware,34,23,0,0.596
72,Oklahoma,35,24,0,0.593
73,NC State,36,25,0,0.59
,Bethune-Cookman,36,25,0,0.59
75,Vanderbilt,36,25,1,0.589
76,Auburn,37,26,0,0.587
77,Charlotte,34,24,0,0.586
,Winthrop,34,24,0,0.586
79,Rhode Island,31,22,0,0.585
80,Fresno St.,35,25,0,0.583
,Indiana,34,24,2,0.583
,South Carolina,35,25,0,0.583
83,Liberty,32,23,0,0.582
,Marist,32,23,0,0.582
85,West Virginia,36,26,0,0.581
86,North Florida,33,24,0,0.579
87,Davidson,35,26,0,0.574
88,CSU Bakersfield,32,24,0,0.571
89,Lamar University,33,25,0,0.569
,UConn,33,25,0,0.569
91,Central Ark.,34,26,0,0.567
92,High Point,30,23,0,0.566
93,Fairfield,31,24,0,0.564
94,Dartmouth,22,17,1,0.563
95,Ole Miss,32,25,0,0.561
,William & Mary,32,25,0,0.561
97,Samford,33,26,0,0.559
98,Michigan St.,29,23,0,0.558
99,Xavier,34,27,0,0.557
100,Alabama St.,31,25,0,0.554
,North Dakota St.,31,25,0,0.554
,Troy,31,25,0,0.554
103,Cornell,21,17,0,0.553
104,Hawaii,28,23,0,0.549
105,Seton Hall,29,24,0,0.547
106,UT Arlington,30,25,0,0.545
,Oregon,30,25,0,0.545
108,St. Bonaventure,26,22,0,0.542
,Norfolk St.,26,22,0,0.542
110,Furman,33,28,0,0.541
111,Houston Christian,29,25,0,0.537
,Northeastern,29,25,0,0.537
113,Jacksonville St.,30,26,0,0.536
114,Miami (FL),31,27,0,0.534
,George Washington,31,27,0,0.534
,FIU,31,27,0,0.534
117,East Carolina,32,28,0,0.533
118,Utah,27,24,0,0.529
,Fordham,27,24,0,0.529
120,N.C. A&T,28,25,0,0.528
121,Indiana St.,29,26,0,0.527
,Kansas St.,29,26,0,0.527
,Bryant,29,26,0,0.527
,Southeast Mo. St.,29,26,0,0.527
125,UCLA,30,27,0,0.526
,Oklahoma St.,30,27,0,0.526
127,New Mexico,30,27,1,0.526
128,Central Mich.,31,28,0,0.525
,Ohio,31,28,0,0.525
130,Sacramento St.,32,29,0,0.525
,Presbyterian,32,29,0,0.525
132,South Dakota St.,26,24,0,0.52
133,Tennessee,27,25,0,0.519
134,Washington,28,26,0,0.519
135,Nicholls,29,27,0,0.518
,Purdue,29,27,0,0.518
137,Ball St.,30,28,0,0.517
,Kansas,30,28,0,0.517
,Duke,30,28,0,0.517
140,New Orleans,30,28,1,0.517
141,Belmont,31,29,0,0.517
142,Rice,33,31,0,0.516
143,Penn,23,22,0,0.511
