Rank,Name,W,L,T,PCT
144,Florida A&M,27,26,0,0.509
,Air Force,27,26,0,0.509
146,Arkansas St.,28,27,0,0.509
147,SFA,29,28,0,0.509
,UTSA,29,28,0,0.509
,San Francisco,29,28,0,0.509
150,Memphis,30,29,0,0.508
,ETSU,30,29,0,0.508
,UNCW,30,29,0,0.508
153,Niagara,24,24,0,0.5
,Cal Poly,28,28,0,0.5
,Western Caro.,28,28,0,0.5
,Stony Brook,26,26,0,0.5
,UAlbany,26,26,0,0.5
,Lipscomb,28,28,0,0.5
159,Murray St.,29,30,0,0.492
,Texas St.,29,30,0,0.492
161,Georgetown,27,28,0,0.491
,Georgia Tech,27,28,0,0.491
163,Iona,25,26,0,0.49
164,Creighton,24,25,0,0.49
165,Austin Peay,28,30,0,0.483
,Cincinnati,28,30,0,0.483
,Wofford,28,30,0,0.483
,Wichita St.,28,30,0,0.483
169,Stetson,27,29,0,0.482
170,UTRGV,26,28,0,0.481
171,UMBC,23,25,0,0.479
172,Col. of Charleston,28,31,0,0.475
173,Southern Ill.,27,30,0,0.474
,Northwestern,27,30,0,0.474
175,CSUN,26,29,0,0.473
176,Boston College,25,28,0,0.472
177,James Madison,24,27,0,0.471
178,Delaware St.,22,25,0,0.468
179,Tulane,27,31,0,0.466
180,Marshall,25,29,0,0.463
,Maine,25,29,0,0.463
,California,25,29,0,0.463
183,Rider,24,28,1,0.462
184,Radford,27,32,0,0.458
185,Saint Joseph's,21,25,0,0.457
186,UT Martin,25,30,0,0.455
,Gardner-Webb,25,30,0,0.455
188,Holy Cross,24,29,0,0.453
,Valparaiso,24,29,0,0.453
,Washington St.,24,29,0,0.453
,Western Mich.,24,29,0,0.453
192,Harvard,19,23,0,0.452
193,Illinois,23,28,0,0.451
194,Notre Dame,26,32,0,0.448
195,Army West Point,25,31,0,0.446
196,Northern Colo.,24,30,0,0.444
197,SIUE,23,29,0,0.442
198,George Mason,26,33,0,0.441
199,Wagner,22,28,0,0.44
,N.C. Central,22,28,0,0.44
,LIU,22,28,0,0.44
202,Columbia,18,23,0,0.439
203,Kennesaw St.,25,32,0,0.439
,Georgia,25,32,0,0.439
,UNC Asheville,25,32,0,0.439
,Campbell,25,32,0,0.439
207,Middle Tenn.,24,31,0,0.436
,UAB,24,31,0,0.436
,USC Upstate,24,31,0,0.436
210,Eastern Mich.,27,35,0,0.435
211,Pittsburgh,23,30,0,0.434
212,Charleston So.,22,29,0,0.431
213,Northern Ky.,25,33,0,0.431
214,Eastern Ky.,24,32,0,0.429
,Bucknell,21,28,0,0.429
,UC Santa Barbara,24,32,0,0.429
,Elon,24,32,0,0.429
218,Grambling,22,30,0,0.423
219,Siena,20,28,2,0.42
,Lehigh,21,29,0,0.42
221,Arizona St.,23,32,0,0.418
,Virginia Tech,23,32,0,0.418
223,Monmouth,20,28,0,0.417
224,VMI,24,34,0,0.414
225,UC Davis,21,30,0,0.412
226,UC Irvine,23,33,0,0.411
227,UC Riverside,22,32,0,0.407
,A&M-Corpus Christi,22,32,0,0.407
,Milwaukee,22,32,0,0.407
230,Georgia St.,22,33,0,0.4
,Hartford,20,30,0,0.4
232,Ohio St.,22,34,0,0.393
,Miami (OH),22,34,0,0.393
234,Bradley,20,31,0,0.392
235,Sacred Heart,23,36,0,0.39
236,Southern U.,17,27,0,0.386
237,Pepperdine,20,32,0,0.385
238,Little Rock,21,34,0,0.382
,Southern California,21,34,0,0.382
240,Eastern Ill.,21,35,0,0.375
241,Northwestern St.,20,34,0,0.37
,Towson,20,34,0,0.37
,Texas Southern,20,34,0,0.37
244,Seattle U,20,35,1,0.366
245,Dayton,20,35,0,0.364
246,Alabama,19,34,1,0.361
247,Western Ill.,18,32,0,0.36
,Quinnipiac,18,32,0,0.36
249,Rutgers,19,34,0,0.358
,Longwood,19,34,0,0.358
251,UNLV,20,36,0,0.357
252,San Jose St.,19,35,1,0.355
253,Brown,13,24,0,0.351
254,Prairie View,20,37,0,0.351
255,App State,19,36,0,0.345
,Nevada,19,36,0,0.345
257,Pacific,18,35,0,0.34
,Manhattan,18,35,0,0.34
259,Buffalo,17,34,0,0.333
,Utah Valley,18,36,0,0.333
261,Penn St.,18,37,0,0.327
262,Ark.-Pine Bluff,15,31,0,0.326
263,Richmond,17,36,0,0.321
264,Massachusetts,15,32,0,0.319
265,Evansville,18,39,0,0.316
266,The Citadel,16,35,0,0.314
267,NIU,17,38,0,0.309
268,Bowling Green,15,34,0,0.306
269,Princeton,12,28,1,0.305
270,Oakland,17,40,0,0.298
271,Villanova,14,33,0,0.298
272,Toledo,17,41,0,0.293
273,Western Ky.,16,39,0,0.291
274,Illinois St.,16,40,0,0.286
275,Hofstra,14,37,0,0.275
276,Youngstown St.,15,40,0,0.273
277,Alcorn,12,33,0,0.267
278,Coppin St.,11,31,0,0.262
279,FDU,12,34,0,0.261
280,Santa Clara,13,40,0,0.245
281,Savannah St.,12,39,0,0.235
282,UMES,12,40,0,0.231
,Omaha,12,40,0,0.231
284,ULM,12,43,0,0.218
285,Chicago St.,11,41,0,0.212
286,Alabama A&M,12,45,0,0.211
287,Portland,10,41,1,0.202
288,La Salle,10,41,0,0.196
289,NJIT,9,40,0,0.184
290,Purdue Fort Wayne,9,43,0,0.173
291,Mississippi Val.,7,34,0,0.171
292,Mount St. Mary's,8,39,0,0.17
293,Lafayette,8,44,0,0.154
294,New York Tech,5,36,1,0.131
295,Saint Peter's,0,38,0,0
