Rank,Name,W,L,T,PCT
1,Fairfield,39,5,0,0.886
2,Arkansas,50,13,0,0.794
3,Jackson St.,34,9,0,0.791
4,Northeastern,36,12,0,0.75
5,Texas,50,17,0,0.746
6,Mississippi St.,50,18,0,0.735
,Tennessee,50,18,0,0.735
8,Old Dominion,44,16,0,0.733
,San Diego,33,12,0,0.733
10,Vanderbilt,49,18,0,0.731
11,Wright St.,35,13,0,0.729
12,Notre Dame,34,13,0,0.723
13,East Carolina,44,17,0,0.721
14,Liberty,41,16,0,0.719
15,Arizona,45,18,0,0.714
16,Oregon,39,16,0,0.709
17,Nebraska,34,14,0,0.708
18,UC Irvine,43,18,0,0.705
19,VCU,38,16,0,0.704
20,Central Mich.,42,18,0,0.7
21,USC Upstate,37,16,0,0.698
22,Stanford,39,17,0,0.696
,Texas Tech,39,17,0,0.696
24,DBU,41,18,0,0.695
25,North Dakota St.,42,19,0,0.689
26,TCU,41,19,0,0.683
27,Ball St.,38,18,0,0.679
28,Louisiana Tech,42,20,0,0.677
29,Campbell,37,18,0,0.673
30,UC Santa Barbara,41,20,0,0.672
31,Ole Miss,45,22,0,0.672
32,Southern Ill.,40,20,0,0.667
33,NC State,37,19,0,0.661
34,Charlotte,40,21,0,0.656
,Southern Miss.,40,21,0,0.656
36,Bryant,27,14,1,0.655
37,San Diego St.,30,16,0,0.652
38,Oklahoma St.,36,19,1,0.652
39,Central Conn. St.,28,15,0,0.651
,Long Beach St.,28,15,0,0.651
41,UCLA,37,20,0,0.649
42,Monmouth,24,13,0,0.649
43,Grand Canyon,39,21,1,0.648
44,Gonzaga,34,19,0,0.642
,UConn,34,19,0,0.642
46,Florida,38,22,0,0.633
47,Stony Brook,31,18,0,0.633
48,Wofford,36,21,0,0.632
,Abilene Christian,36,21,0,0.632
50,Maryland,30,18,0,0.625
,UIC,30,18,0,0.625
52,South Alabama,36,22,0,0.621
,Marist,18,11,0,0.621
54,Creighton,24,15,0,0.615
55,Mercer,35,22,0,0.614
,Sacramento St.,35,22,0,0.614
57,Miami (FL),33,21,0,0.611
58,Baylor,31,20,0,0.608
59,Oregon St.,37,24,0,0.607
60,UNLV,20,13,0,0.606
61,La Salle,32,21,0,0.604
62,LSU,38,25,0,0.603
63,Villanova,21,14,0,0.6
,Arizona St.,33,22,0,0.6
,Duke,33,22,0,0.6
66,South Carolina,34,23,0,0.596
,Ga. Southern,34,23,0,0.596
,Kansas St.,34,23,0,0.596
69,Indiana St.,31,21,0,0.596
70,Samford,35,24,0,0.593
71,UNCW,32,22,0,0.593
72,Indiana,26,18,0,0.591
,George Washington,26,18,0,0.591
,Iowa,26,18,0,0.591
75,Michigan,27,19,0,0.587
76,FGCU,28,20,0,0.583
77,Louisiana,32,23,0,0.582
