Rank,Name,W,L,T,PCT
78,Southeast Mo. St.,30,22,0,0.577
79,N.C. Central,27,20,0,0.574
80,Wichita St.,31,23,0,0.574
,Oral Roberts,31,23,0,0.574
82,Western Caro.,28,21,0,0.571
,Southeastern La.,32,24,0,0.571
,Youngstown St.,32,24,0,0.571
,LIU,20,15,0,0.571
,Virginia,36,27,0,0.571
87,Murray St.,33,25,0,0.569
88,Kennesaw St.,29,22,0,0.569
89,Tulane,31,24,0,0.564
,Florida St.,31,24,0,0.564
91,Fla. Atlantic,32,25,0,0.561
92,Rider,23,18,0,0.561
93,Louisville,28,22,0,0.56
94,Fordham,24,19,0,0.558
,Lehigh,24,19,0,0.558
96,Gardner-Webb,29,23,0,0.558
,Kentucky,29,23,0,0.558
98,Canisius,20,16,0,0.556
,Nevada,25,20,0,0.556
100,Georgia,31,25,0,0.554
,Georgia Tech,31,25,0,0.554
,Cal Poly,31,25,0,0.554
103,UTRGV,32,26,0,0.552
,Alabama,32,26,0,0.552
105,Alabama St.,23,19,0,0.548
106,Sam Houston,30,25,0,0.545
107,Air Force,26,22,0,0.542
108,Kent St.,30,26,0,0.536
109,Pittsburgh,23,20,0,0.535
110,Navy,17,15,0,0.531
111,Washington St.,26,23,0,0.531
,Stetson,26,23,0,0.531
113,Coastal Carolina,27,24,0,0.529
,NJIT,27,24,0,0.529
,Davidson,27,24,0,0.529
116,Army West Point,28,25,0,0.528
,Ohio,28,25,0,0.528
118,Richmond,19,17,0,0.528
119,Cincinnati,29,26,0,0.527
,California,29,26,0,0.527
121,Kansas,30,27,0,0.526
122,CSUN,21,19,0,0.525
,Saint Joseph's,21,19,0,0.525
124,Ohio St.,22,20,0,0.524
125,Lamar University,25,23,0,0.521
,Eastern Ill.,25,23,0,0.521
127,Col. of Charleston,27,25,0,0.519
,UNC Greensboro,27,25,0,0.519
,Virginia Tech,27,25,0,0.519
130,Xavier,28,26,0,0.519
131,Rhode Island,28,26,1,0.518
132,Texas A&M,29,27,0,0.518
133,McNeese,32,30,0,0.516
134,Morehead St.,24,23,0,0.511
135,Troy,27,26,0,0.509
,Northwestern St.,27,26,0,0.509
137,North Carolina,28,27,0,0.509
,Evansville,28,27,0,0.509
139,New Orleans,29,28,0,0.509
140,UCF,31,30,0,0.508
,South Fla.,31,30,0,0.508
142,Maine,22,22,0,0.5
,Niagara,17,17,0,0.5
,ULM,26,26,0,0.5
,Elon,22,22,0,0.5
,Illinois,22,22,0,0.5
,Radford,23,23,0,0.5
148,Oklahoma,27,28,0,0.491
149,Jacksonville St.,26,27,0,0.491
150,Saint Mary's (CA),25,26,0,0.49
,Southern California,25,26,0,0.49
152,ETSU,24,25,0,0.49
153,Presbyterian,22,23,0,0.489
,North Florida,22,23,0,0.489
155,Western Ky.,27,29,0,0.482
156,Auburn,25,27,0,0.481
,West Virginia,25,27,0,0.481
,Clemson,25,27,0,0.481
159,Portland,24,26,0,0.48
,Western Mich.,24,26,0,0.48
,Hawaii,24,26,0,0.48
162,Sacred Heart,23,25,0,0.479
,Seton Hall,23,25,0,0.479
164,Missouri St.,21,23,0,0.477
,Rutgers,21,23,0,0.477
166,Bradley,20,22,0,0.476
167,St. John's (NY),19,21,0,0.475
168,UT Arlington,27,30,0,0.474
,Hartford,18,20,0,0.474
170,Norfolk St.,25,28,0,0.472
,San Francisco,25,28,0,0.472
172,Dayton,24,27,0,0.471
173,UAlbany,22,25,0,0.468
,Tennessee Tech,22,25,0,0.468
,Omaha,22,25,0,0.468
176,CSU Bakersfield,20,23,0,0.465
177,A&M-Corpus Christi,25,29,0,0.463
178,SIUE,23,27,0,0.46
,BYU,23,27,0,0.46
180,UTSA,22,26,0,0.458
181,Middle Tenn.,24,29,1,0.454
182,Lafayette,14,17,0,0.452
183,Central Ark.,23,28,0,0.451
184,Miami (OH),25,31,0,0.446
185,Binghamton,16,20,0,0.444
,Fresno St.,20,25,0,0.444
,Pepperdine,20,25,0,0.444
188,Rice,23,29,1,0.443
189,Prairie View,14,18,0,0.438
190,Hofstra,17,22,0,0.436
191,Penn,6,8,0,0.429
,Penn St.,18,24,0,0.429
,Boston College,21,28,0,0.429
,UIW,21,28,0,0.429
195,Wake Forest,20,27,0,0.426
196,Belmont,22,30,0,0.423
197,Northwestern,15,21,0,0.417
198,Winthrop,19,27,0,0.413
199,Eastern Mich.,21,30,0,0.412
,Little Rock,21,30,0,0.412
201,Toledo,23,33,0,0.411
,Austin Peay,23,33,0,0.411
203,Charleston So.,18,26,0,0.409
204,LMU (CA),20,29,0,0.408
205,N.C. A&T,22,32,0,0.407
206,UMass Lowell,19,28,0,0.404
207,App State,21,31,0,0.404
208,Illinois St.,23,34,0,0.404
209,Southern U.,20,30,0,0.4
,Washington,20,30,0,0.4
,Bowling Green,20,30,0,0.4
,Milwaukee,22,33,0,0.4
213,Eastern Ky.,21,32,0,0.396
214,UT Martin,19,29,0,0.396
215,UMBC,17,26,0,0.395
216,Florida A&M,22,34,0,0.393
,James Madison,11,17,0,0.393
218,SFA,20,31,0,0.392
,FIU,20,31,0,0.392
220,New Mexico,16,25,0,0.39
221,Arkansas St.,19,30,0,0.388
222,Michigan St.,17,27,0,0.386
,Grambling,17,27,0,0.386
224,Siena,15,24,0,0.385
225,Lipscomb,18,29,0,0.383
,Oakland,18,29,0,0.383
,VMI,18,29,0,0.383
228,Nicholls,21,34,0,0.382
229,Purdue,16,26,0,0.381
230,Butler,14,23,0,0.378
231,New Mexico St.,20,34,0,0.37
232,Texas St.,21,36,0,0.368
,Towson,21,36,0,0.368
234,Cal St. Fullerton,20,35,0,0.364
235,Houston,19,34,0,0.358
236,Northern Ky.,17,31,0,0.354
,Saint Louis,17,31,0,0.354
238,Delaware,12,22,0,0.353
,Santa Clara,18,33,0,0.353
,Seattle U,18,33,0,0.353
241,Delaware St.,15,28,0,0.349
242,Longwood,17,32,0,0.347
243,Utah,17,33,0,0.34
244,Pacific,17,34,0,0.333
,Manhattan,12,24,0,0.333
,Holy Cross,10,20,0,0.333
,Bucknell,11,22,0,0.333
,UAB,18,36,0,0.333
249,Georgia St.,18,37,0,0.327
250,George Mason,14,29,0,0.326
,William & Mary,14,29,0,0.326
252,Jacksonville,16,34,0,0.32
253,South Dakota St.,15,32,0,0.319
254,Memphis,18,39,0,0.316
255,Valparaiso,16,35,0,0.314
256,UNC Asheville,15,33,0,0.313
257,High Point,14,31,0,0.311
258,Alabama A&M,9,20,0,0.31
259,Wagner,11,25,0,0.306
260,Massachusetts,13,30,0,0.302
261,NIU,16,38,0,0.296
262,UC Riverside,15,36,0,0.294
,Akron,15,36,0,0.294
,Missouri,15,36,0,0.294
265,Western Ill.,11,29,0,0.275
266,Houston Christian,14,38,0,0.269
267,Alcorn,7,20,0,0.259
268,Coppin St.,10,29,0,0.256
269,Texas Southern,12,35,0,0.255
270,Quinnipiac,7,21,0,0.25
271,UC Davis,14,43,0,0.246
272,Mount St. Mary's,9,28,0,0.243
,FDU,9,28,0,0.243
274,Purdue Fort Wayne,11,35,0,0.239
275,The Citadel,12,39,0,0.235
276,Northern Colo.,11,36,0,0.234
277,St. Bonaventure,7,24,0,0.226
278,Marshall,10,35,0,0.222
279,Iona,3,11,0,0.214
280,Ark.-Pine Bluff,8,30,0,0.211
281,Georgetown,6,25,0,0.194
282,Utah Valley,10,47,0,0.175
283,San Jose St.,6,30,0,0.167
284,Minnesota,6,31,0,0.162
285,Saint Peter's,4,24,0,0.143
286,Mississippi Val.,0,20,0,0
,,,,,
      ,,,,,
