Season,Player,Team,Class,W,L,ERA_x,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,K,HBP,BA,OBP,SLG,OPS,BABIP,BB%,K%,K-BB%,K:BB,WHIP,ERA_y,FIP,xFIP,SIERA,LOB%,GB%,LD%,FB%,PU%,HR/FB%
2023,Jack Metzger,Dartmouth,SR,1,8,6.96,12,8,0,0,0,63.1,90,59,49,6,52,3,0.324,0.341,0.518,0.859,0.368,2.1%,17.8%,15.8%,8.48,1.52,6.96,4.79,4.92,3.61,52.1%,38.3%,23.3%,38.3%,4.4%,10.3%
2023,Jack Sokol,Pittsburgh,JR,6,5,7.54,15,14,0,0,0,68.0,98,61,57,30,69,10,0.338,0.413,0.566,0.979,0.389,9.0%,20.7%,11.7%,2.3,1.88,7.54,7.15,5.54,3.98,70.1%,43.9%,20.8%,35.3%,4.5%,21.8%
2023,Jack Weber,Saint Louis,SO,3,2,5.08,22,0,0,0,3,56.2,71,38,32,14,32,3,0.303,0.346,0.44,0.787,0.323,5.4%,12.4%,7.0%,2.3,1.5,5.08,5.53,5.63,4.66,53.7%,47.8%,19.4%,32.8%,4.5%,10.6%
2023,Jack Wenninger,Illinois,JR,6,4,4.59,15,14,1,1,0,80.1,69,42,41,28,76,7,0.232,0.31,0.383,0.693,0.276,8.3%,22.6%,14.2%,2.72,1.21,4.59,5.2,5.3,3.7,74.4%,41.3%,15.1%,43.6%,10.1%,10.5%
2023,Jackson Baumeister,Florida State,SO,5,5,4.96,15,14,0,0,0,69.0,69,45,38,29,95,4,0.255,0.332,0.402,0.734,0.368,9.4%,30.9%,21.5%,3.29,1.42,4.96,3.77,4.25,2.7,63.2%,42.4%,19.2%,38.4%,4.5%,7.4%
2023,Jackson Emus,Princeton,SR,2,3,7.22,14,12,1,0,0,57.1,56,47,46,34,65,18,0.255,0.394,0.423,0.817,0.331,12.4%,23.7%,11.3%,1.91,1.57,7.22,6.01,6.26,4.05,66.3%,34.4%,24.0%,41.6%,11.7%,9.4%
2023,Jackson Holmes,Saint Louis,SO,3,2,5.3,16,14,0,0,0,73.0,77,54,43,25,37,15,0.27,0.358,0.393,0.751,0.288,7.6%,11.2%,3.6%,1.47,1.4,5.3,6.07,6.77,5.24,73.7%,44.8%,15.7%,39.5%,8.5%,7.1%
2023,Jackson Nezuh,Louisiana,JR,9,6,6.0,19,18,0,0,0,90.0,86,63,60,33,100,10,0.253,0.333,0.4,0.733,0.325,8.4%,25.4%,17.0%,3.02,1.32,6.0,4.82,5.14,3.35,66.1%,31.8%,22.0%,46.2%,6.4%,9.2%
2023,Jackson Wells,Little Rock,SO,7,4,1.74,15,15,2,1,0,93.0,73,27,18,32,80,6,0.216,0.294,0.302,0.596,0.268,8.4%,20.9%,12.6%,2.49,1.13,1.74,4.36,5.11,3.89,84.6%,42.1%,21.0%,36.9%,9.5%,5.4%
2023,Jacob Bradshaw,North Alabama,JR,2,4,7.93,14,8,0,0,1,64.2,85,67,57,45,63,19,0.321,0.445,0.506,0.95,0.376,13.2%,18.5%,5.3%,1.4,2.01,7.93,7.49,7.13,4.99,62.9%,34.5%,16.4%,49.1%,12.3%,13.1%
2023,Jacob Cravey,Samford,JR,9,1,3.01,17,16,3,0,1,104.2,83,42,35,40,125,7,0.22,0.303,0.352,0.655,0.284,9.2%,28.8%,19.6%,3.13,1.18,3.01,4.86,4.57,2.93,86.1%,41.5%,16.1%,42.3%,10.1%,13.3%
2023,Jacob Denner,Michigan,SR,2,6,4.56,24,9,1,0,3,71.0,72,43,36,21,75,4,0.262,0.322,0.476,0.799,0.317,6.9%,24.7%,17.8%,3.58,1.31,4.56,5.31,4.56,3.21,67.3%,44.7%,18.8%,36.5%,6.1%,16.7%
2023,Jacob Ellis,Lamar,JR,4,5,4.5,15,15,0,0,0,78.0,69,40,39,25,85,3,0.234,0.299,0.407,0.706,0.283,7.7%,26.1%,18.4%,3.39,1.21,4.5,5.25,4.73,3.11,78.7%,43.5%,13.0%,43.5%,5.8%,14.4%
2023,Jacob Faulkner,Princeton,JR,3,2,4.94,26,0,0,0,5,54.2,59,41,30,16,40,16,0.274,0.365,0.386,0.752,0.322,6.3%,15.7%,9.4%,2.49,1.37,4.94,5.16,6.34,4.47,53.0%,37.3%,22.0%,40.7%,8.5%,4.2%
2023,Jacob James,North Alabama,JR,2,4,5.65,16,12,0,0,3,73.1,64,51,46,53,84,14,0.236,0.383,0.351,0.734,0.314,15.3%,24.3%,9.0%,1.59,1.6,5.65,5.71,5.93,4.23,74.2%,42.0%,17.2%,40.8%,5.7%,9.4%
2023,Jacob Josey,Florida Atlantic,JR,3,5,4.91,16,13,0,0,1,69.2,89,53,38,16,42,12,0.311,0.369,0.455,0.824,0.342,5.0%,13.2%,8.2%,2.64,1.51,4.91,5.5,5.73,4.48,59.7%,48.3%,21.1%,30.6%,5.0%,9.5%
2023,Jacob Kisting,Bradley,SO,0,9,6.07,14,14,0,0,0,72.2,85,51,49,32,79,8,0.29,0.375,0.536,0.911,0.352,9.5%,23.5%,14.0%,2.47,1.61,6.07,6.34,5.77,3.94,73.1%,27.1%,20.2%,52.7%,8.4%,14.0%
2023,Jacob Kmatz,Oregon State,SO,5,4,4.71,14,14,0,0,0,72.2,72,40,38,26,61,6,0.258,0.331,0.448,0.779,0.284,8.1%,19.1%,10.9%,2.36,1.35,4.71,6.16,5.75,4.21,78.1%,37.8%,17.5%,44.7%,6.9%,13.4%
2023,Jacob Kush,Austin Peay,GR,5,4,6.3,15,15,0,0,0,74.1,72,58,52,48,81,8,0.253,0.373,0.446,0.819,0.298,13.9%,23.4%,9.5%,1.68,1.61,6.3,6.9,6.15,4.33,72.9%,33.3%,16.9%,49.7%,8.2%,15.5%
2023,Jacob Marlowe,UCF,SO,3,6,5.64,19,8,0,0,0,60.2,71,41,38,12,41,8,0.286,0.338,0.472,0.81,0.312,4.4%,15.1%,10.7%,3.43,1.37,5.64,5.72,5.46,4.2,70.2%,47.6%,18.4%,34.0%,4.9%,12.9%
2023,Jacob Mayers,Nicholls,FR,9,1,2.02,15,15,0,0,0,75.2,44,21,17,58,105,5,0.175,0.339,0.295,0.633,0.268,18.3%,33.1%,14.8%,1.81,1.35,2.02,4.94,5.28,3.48,89.2%,34.9%,16.4%,48.6%,12.3%,8.5%
