Season,Player,Team,Class,W,L,ERA_x,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,K,HBP,BA,OBP,SLG,OPS,BABIP,BB%,K%,K-BB%,K:BB,WHIP,ERA_y,FIP,xFIP,SIERA,LOB%,GB%,LD%,FB%,PU%,HR/FB%
2018,AJ Moore,Kennesaw State,SR,5,3,3.24,14,14,0,0,0,80.2,57,33,29,47,87,6,0.203,0.326,0.267,0.593,0.278,13.6%,25.2%,11.6%,1.85,1.29,3.24,4.14,4.53,3.89,72.8%,44.0%,17.8%,38.7%,11.0%,4.1%
2018,Aaron Ernst,Dayton,FR,3,5,5.02,13,8,2,1,0,57.1,65,33,32,23,42,7,0.294,0.371,0.462,0.833,0.324,8.8%,16.1%,7.3%,1.83,1.53,5.02,5.79,5.25,4.79,74.0%,34.3%,22.1%,43.6%,8.3%,10.1%
2018,Aaron Fletcher,Houston,JR,7,3,2.19,16,15,3,1,0,94.1,86,29,23,18,78,10,0.243,0.297,0.319,0.616,0.299,4.6%,19.7%,15.2%,4.28,1.1,2.19,3.62,3.95,3.53,78.4%,50.6%,17.2%,32.2%,7.1%,4.7%
2018,Aaron Hernandez,Texas A&M-Corpus Christi,JR,3,5,4.55,14,14,1,1,0,83.0,73,42,42,41,102,15,0.234,0.349,0.333,0.682,0.332,10.8%,26.8%,16.0%,2.48,1.37,4.55,4.03,4.27,3.33,70.5%,48.1%,15.7%,36.2%,6.7%,5.3%
2018,Aaron Rea,Coppin State,JR,6,5,4.38,13,10,0,0,0,72.0,68,41,35,32,52,4,0.248,0.332,0.409,0.741,0.28,10.1%,16.4%,6.3%,1.62,1.39,4.38,5.21,5.42,4.95,66.9%,38.1%,10.6%,51.4%,6.9%,6.3%
2018,Aaron Shortridge,California,JR,4,3,2.96,17,12,2,1,2,82.0,89,28,27,14,74,3,0.261,0.294,0.364,0.658,0.316,3.8%,19.9%,16.2%,5.24,1.26,2.96,3.62,3.83,3.48,79.9%,45.3%,16.2%,38.5%,6.8%,5.9%
2018,Aaron Solis,Texas Southern,JR,10,4,3.67,15,15,3,2,0,90.2,94,42,37,26,69,19,0.272,0.354,0.357,0.71,0.327,6.5%,17.3%,10.8%,2.66,1.32,3.67,4.39,4.9,4.17,72.7%,45.7%,17.1%,37.2%,6.7%,4.0%
2018,Aaron Winkler,Richmond,SO,3,7,5.58,14,13,0,0,0,61.1,71,40,38,22,58,3,0.295,0.356,0.456,0.812,0.359,8.0%,21.0%,13.0%,2.63,1.52,5.58,4.45,4.27,3.82,63.9%,36.0%,26.3%,37.6%,4.3%,8.6%
2018,Adam Hill,South Carolina,JR,7,5,4.12,16,16,0,0,0,83.0,62,41,38,56,103,9,0.204,0.342,0.289,0.632,0.284,14.7%,27.0%,12.3%,1.84,1.42,4.12,4.62,4.67,3.78,72.5%,40.8%,16.9%,42.3%,10.4%,7.1%
2018,Adam Laskey,Duke,SO,6,4,5.47,16,15,0,0,0,75.2,89,54,46,39,63,6,0.291,0.377,0.379,0.757,0.352,10.5%,17.0%,6.5%,1.62,1.69,5.47,4.44,4.72,4.44,61.6%,52.3%,21.0%,26.7%,5.8%,4.6%
2018,Adam Niemeyer,Ohio State,SR,4,3,6.24,15,15,0,0,0,66.1,89,51,46,24,52,9,0.32,0.386,0.471,0.857,0.374,7.3%,15.9%,8.5%,2.18,1.7,6.24,4.55,5.09,4.49,61.0%,42.7%,16.9%,40.4%,8.4%,4.4%
2018,Adam Scott,Wofford,SR,8,5,3.14,18,15,2,0,2,103.1,94,44,36,18,137,9,0.237,0.286,0.361,0.647,0.335,4.2%,31.8%,27.6%,7.57,1.08,3.14,3.34,2.72,2.02,72.9%,50.4%,16.9%,32.7%,4.3%,13.3%
2018,Adam Wolf,Louisville,JR,8,2,2.63,16,16,0,0,0,102.2,80,38,30,29,109,9,0.213,0.283,0.316,0.599,0.286,6.8%,25.5%,18.7%,3.75,1.06,2.63,3.32,3.67,3.05,71.2%,51.7%,13.7%,34.6%,7.6%,4.4%
2018,Addison Moss,Rice,SO,2,4,2.43,15,11,0,0,1,63.0,60,22,17,16,53,6,0.251,0.314,0.318,0.632,0.315,5.9%,19.5%,13.6%,3.31,1.21,2.43,3.61,4.21,3.74,75.8%,45.4%,18.4%,36.2%,14.1%,3.0%
2018,Aditya Chandel,Saint Peter’s,FR,0,4,11.49,19,3,0,0,0,44.2,64,70,57,45,23,16,0.339,0.484,0.508,0.992,0.353,16.9%,8.6%,-8.3%,0.51,2.44,11.49,8.13,8.63,7.11,46.1%,33.1%,19.9%,47.0%,9.6%,5.1%
2018,Aidan Anderson,McNeese,JR,5,6,3.3,28,4,0,0,6,62.2,48,29,23,30,72,6,0.215,0.322,0.323,0.645,0.3,11.0%,26.4%,15.4%,2.4,1.24,3.3,3.88,4.28,3.48,68.9%,36.8%,19.1%,44.1%,13.8%,4.5%
2018,Alan Strong,UNLV,SR,7,3,3.9,15,15,1,0,0,90.0,104,42,39,22,86,5,0.293,0.339,0.462,0.801,0.362,5.6%,21.9%,16.3%,3.91,1.4,3.9,3.98,4.02,3.47,74.3%,37.7%,19.4%,42.9%,9.3%,7.0%
2018,Alan Winans,Campbell,SR,6,4,2.73,15,14,1,0,0,82.1,71,30,25,24,96,7,0.23,0.299,0.317,0.616,0.319,6.9%,27.7%,20.8%,4.01,1.15,2.73,3.25,3.38,2.78,74.7%,53.8%,14.3%,31.9%,4.3%,6.0%
2018,Alec Daily,CSU Bakersfield,SR,5,4,4.59,13,10,1,0,0,64.2,64,42,33,35,59,13,0.26,0.378,0.386,0.765,0.324,11.3%,19.0%,7.7%,1.68,1.53,4.59,5.07,5.37,4.44,65.8%,46.5%,14.6%,38.9%,4.9%,5.6%
2018,Alec Marsh,Arizona State,SO,3,3,3.89,15,12,0,0,0,71.2,61,32,31,31,64,10,0.232,0.336,0.338,0.674,0.292,9.7%,20.1%,10.3%,2.07,1.28,3.89,4.5,4.64,4.04,72.6%,49.7%,17.8%,32.5%,6.1%,6.3%
2018,Alek Jacob,Gonzaga,FR,7,5,2.88,17,15,2,0,0,103.0,72,30,33,30,95,18,0.199,0.293,0.277,0.57,0.256,7.1%,22.5%,15.4%,3.17,0.99,2.88,4.02,4.44,3.57,79.6%,36.8%,19.2%,44.1%,8.4%,4.3%
2018,Alex Ernestine,Nicholls,SR,5,7,5.77,18,16,3,2,0,87.1,91,63,56,38,45,12,0.277,0.372,0.405,0.778,0.306,9.5%,11.2%,1.7%,1.18,1.48,5.77,5.45,5.97,5.68,58.8%,39.5%,14.1%,46.4%,12.3%,4.7%
2018,Alex Gray,Bradley,SR,7,0,4.25,15,0,0,0,1,53.0,59,26,25,18,43,1,0.285,0.341,0.43,0.771,0.325,7.8%,18.7%,10.9%,2.4,1.45,4.25,5.04,4.4,4.16,76.2%,43.3%,19.5%,37.2%,11.6%,11.5%
2018,Alex Hicks,Memphis,JR,2,9,6.44,15,12,0,0,0,57.1,76,48,41,19,51,12,0.309,0.386,0.48,0.866,0.36,6.5%,17.5%,11.0%,2.69,1.66,6.44,5.74,5.03,4.15,62.5%,42.6%,14.4%,43.1%,11.2%,11.1%
2018,Alex Hursey,Tennessee Tech,JR,9,5,4.63,19,16,2,1,0,79.2,89,50,41,27,51,4,0.279,0.339,0.455,0.794,0.291,7.4%,14.0%,6.6%,1.89,1.46,4.63,6.02,5.02,4.77,69.7%,43.5%,15.8%,40.8%,6.2%,13.2%
2018,Alex Pinedo,New Mexico State,JR,5,3,3.34,20,11,1,0,0,70.0,69,35,26,31,53,5,0.258,0.343,0.337,0.68,0.308,9.6%,16.5%,6.8%,1.72,1.43,3.34,4.43,4.92,4.58,69.4%,47.2%,17.3%,35.5%,7.0%,3.9%
2018,Alex Royalty,UNC Wilmington,JR,6,6,4.76,17,17,1,0,0,92.2,87,52,49,27,91,15,0.241,0.318,0.335,0.653,0.303,6.5%,22.0%,15.5%,3.38,1.23,4.76,4.07,3.84,3.14,63.8%,60.0%,18.5%,21.5%,2.6%,10.3%
2018,Alex Stevenson,Eastern Illinois,SO,3,8,6.45,15,14,0,0,1,68.1,81,52,49,24,46,7,0.292,0.359,0.513,0.872,0.3,7.4%,14.1%,6.7%,1.91,1.54,6.45,6.73,5.59,5.19,65.9%,33.5%,13.7%,52.8%,10.3%,12.2%
2018,Alex Weigand,Evansville,JR,1,4,5.11,17,15,0,0,0,56.1,54,40,32,28,48,12,0.236,0.347,0.371,0.718,0.275,9.8%,16.8%,7.0%,1.71,1.46,5.11,5.35,5.41,4.56,62.1%,46.7%,14.4%,38.9%,4.4%,7.1%
2018,Alex Wright,Savannah State,JR,2,6,5.85,11,10,2,0,0,52.1,59,34,34,29,66,7,0.269,0.373,0.393,0.765,0.373,11.0%,25.1%,14.1%,2.28,1.68,5.85,4.12,4.24,3.53,67.2%,49.7%,19.9%,30.5%,4.6%,6.5%
2018,Allbry Major,Xavier,FR,3,5,4.96,16,8,1,0,1,61.2,61,37,34,24,54,1,0.257,0.322,0.447,0.769,0.282,8.9%,20.1%,11.2%,2.26,1.38,4.96,5.67,4.76,4.41,69.4%,32.6%,16.3%,51.1%,12.0%,11.7%
2018,Allen Barry,Davidson,JR,8,2,3.82,14,14,0,0,0,80.0,85,35,34,24,75,1,0.268,0.322,0.397,0.719,0.329,6.9%,21.4%,14.6%,3.1,1.36,3.82,4.2,3.94,3.63,75.9%,41.8%,20.9%,37.2%,7.5%,9.0%
2018,Andre Pallante,UC Irvine,SO,10,1,1.6,15,15,0,0,0,101.1,77,24,18,30,115,4,0.207,0.273,0.296,0.568,0.285,7.3%,27.8%,20.6%,3.81,1.06,1.6,3.2,3.23,2.81,83.7%,52.5%,19.3%,28.2%,5.8%,6.8%
2018,Andre Shewcraft,UTSA,SR,0,2,4.71,38,1,0,0,2,21.0,55,28,11,24,80,8,0.22,0.307,0.292,0.599,0.31,8.1%,27.0%,18.9%,3.33,3.76,4.71,3.46,3.74,2.95,71.3%,42.6%,21.3%,36.1%,7.7%,4.9%
2018,Andres Nunez,Florida International,JR,6,2,3.42,16,11,0,0,0,68.1,67,29,26,21,77,13,0.253,0.337,0.347,0.684,0.337,6.9%,25.3%,18.4%,3.67,1.29,3.42,4.03,3.8,3.08,76.6%,50.9%,16.6%,32.5%,4.3%,9.4%
2018,Andrew Brighton,Omaha,JR,2,3,4.85,18,6,0,0,0,59.1,64,36,32,16,17,10,0.278,0.345,0.374,0.719,0.28,5.9%,6.3%,0.4%,1.07,1.35,4.85,5.47,5.7,5.64,64.0%,46.7%,20.6%,32.7%,5.6%,5.7%
2018,Andrew Cabezas,Miami,JR,6,4,3.96,19,10,2,1,2,75.0,53,34,33,43,79,8,0.198,0.324,0.257,0.581,0.274,13.0%,23.9%,10.9%,1.84,1.28,3.96,3.94,4.4,3.88,68.2%,51.6%,21.5%,26.9%,4.3%,2.0%
2018,Andrew Crane,Troy,SR,7,4,2.74,16,16,1,0,0,98.2,87,34,30,34,87,5,0.238,0.308,0.361,0.669,0.279,8.1%,20.8%,12.7%,2.57,1.23,2.74,4.72,4.2,3.84,83.2%,46.1%,18.9%,35.0%,6.1%,11.2%
2018,Andrew Gottfried,High Point,JR,6,5,3.28,14,14,0,0,0,74.0,65,30,27,20,72,4,0.236,0.295,0.373,0.668,0.288,6.3%,22.6%,16.4%,3.59,1.15,3.28,4.27,4.01,3.39,75.8%,39.7%,15.6%,44.7%,12.6%,9.0%
2018,Andrew Karp,Florida State,JR,8,4,4.08,16,15,2,1,0,81.2,81,42,37,17,97,7,0.257,0.309,0.429,0.737,0.33,4.9%,28.1%,23.2%,5.73,1.2,4.08,4.42,3.24,2.53,72.6%,46.1%,18.0%,35.9%,6.0%,16.7%
2018,Andrew Mitchel,San Jose State,JR,6,2,3.62,18,13,0,0,0,87.0,69,42,35,34,101,18,0.217,0.324,0.371,0.695,0.28,8.8%,26.1%,17.3%,2.97,1.18,3.62,4.82,4.6,3.45,73.8%,27.6%,19.2%,53.3%,15.9%,8.8%
2018,Andrew Quezada,Cal State Fullerton,JR,4,5,3.9,14,14,3,2,0,83.0,86,41,36,19,57,7,0.27,0.325,0.387,0.711,0.315,5.4%,16.1%,10.8%,2.98,1.27,3.9,4.19,4.22,3.93,67.6%,53.9%,18.5%,27.6%,3.1%,7.1%
2018,Andrew Reisinger,Western Michigan,SR,8,1,4.33,29,0,0,0,2,52.0,57,33,25,32,43,7,0.277,0.389,0.374,0.762,0.329,12.1%,16.3%,4.2%,1.35,1.71,4.33,5.43,5.55,4.91,69.7%,43.2%,20.4%,36.4%,6.2%,6.8%
2018,Andrew Ryan,UMass Lowell,SR,5,4,3.18,15,15,2,2,0,90.2,86,36,32,34,82,2,0.253,0.323,0.356,0.679,0.315,8.7%,21.1%,12.3%,2.43,1.32,3.18,4.09,4.42,4.03,75.7%,35.8%,19.3%,44.9%,11.8%,5.3%
