Season,Player,Team,Class,W,L,ERA_x,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,K,HBP,BA,OBP,SLG,OPS,BABIP,BB%,K%,K-BB%,K:BB,WHIP,ERA_y,FIP,xFIP,SIERA,LOB%,GB%,LD%,FB%,PU%,HR/FB%
2021,AJ Labas,LSU,JR,4,2,5.76,16,15,1,0,0,79.2,104,53,51,17,74,9,0.295,0.342,0.493,0.835,0.338,4.4%,19.0%,14.6%,4.32,1.52,5.76,5.32,4.74,3.65,69.7%,46.6%,14.4%,39.0%,5.4%,13.0%
2021,Aaron Barkley,Little Rock,GR,6,5,2.39,25,0,0,0,6,60.1,48,22,16,12,54,7,0.22,0.28,0.362,0.643,0.272,4.9%,22.0%,17.1%,4.49,0.99,2.39,4.02,4.39,3.33,73.3%,46.0%,16.8%,37.3%,5.0%,6.7%
2021,Aaron Brown,Middle Tennessee,JR,7,5,3.99,14,14,3,0,0,85.2,67,36,38,15,113,7,0.21,0.261,0.357,0.618,0.28,4.3%,32.3%,28.0%,7.51,0.96,3.99,4.11,3.25,1.89,74.9%,37.8%,22.9%,39.3%,5.0%,16.5%
2021,Aaron Celestino,Incarnate Word,SR,2,1,3.81,19,5,0,0,0,54.1,62,32,23,13,34,6,0.287,0.34,0.421,0.762,0.313,5.2%,13.5%,8.4%,2.6,1.38,3.81,5.25,5.38,4.48,67.5%,47.8%,15.2%,37.0%,6.5%,8.8%
2021,Aaron Charles,CSU Bakersfield,SR,2,3,3.8,11,9,0,0,1,47.1,53,30,20,13,33,8,0.282,0.351,0.426,0.776,0.311,6.1%,15.4%,9.3%,2.52,1.39,3.8,5.62,5.37,4.4,67.1%,43.7%,21.5%,34.8%,10.8%,10.9%
2021,Aaron Davenport,Hawaii,SO,3,6,3.74,13,13,0,0,0,86.2,82,37,36,21,97,6,0.255,0.309,0.385,0.694,0.341,5.9%,27.1%,21.2%,4.59,1.19,3.74,3.59,4.07,2.76,71.6%,41.6%,15.5%,42.9%,5.8%,6.2%
2021,Aaron Funk,Little Rock,SR,2,6,4.54,15,15,0,0,0,73.1,69,44,37,31,83,2,0.249,0.326,0.357,0.683,0.33,9.5%,25.5%,16.0%,2.68,1.36,4.54,4.16,4.45,3.38,62.0%,36.1%,20.9%,42.9%,9.4%,7.3%
2021,Adam Bloebaum,Washington,FR,2,5,4.15,18,10,0,0,2,60.2,59,31,28,16,59,7,0.253,0.319,0.395,0.714,0.31,5.9%,21.8%,15.9%,3.69,1.24,4.15,4.71,4.54,3.4,70.6%,40.0%,21.8%,38.2%,8.2%,10.8%
2021,Adam Mazur,South Dakota State,FR,2,7,5.43,12,12,0,0,0,68.0,72,47,41,31,88,4,0.269,0.347,0.369,0.717,0.369,9.8%,27.8%,18.0%,2.84,1.51,5.43,4.11,3.79,3.02,60.9%,55.0%,19.4%,25.6%,4.4%,13.0%
2021,Adam Smith,UNC Wilmington,SO,6,1,2.49,19,7,0,0,3,61.1,57,29,17,26,58,8,0.246,0.341,0.332,0.673,0.31,9.7%,21.6%,11.9%,2.23,1.35,2.49,4.63,4.89,3.88,72.6%,49.7%,18.3%,32.0%,5.1%,7.1%
2021,Adam Stephenson,Abilene Christian,SO,1,4,3.72,15,13,0,0,0,72.2,67,35,30,50,68,2,0.249,0.368,0.312,0.681,0.323,14.7%,20.1%,5.3%,1.37,1.61,3.72,4.65,5.61,4.73,72.3%,41.7%,19.6%,38.7%,8.5%,2.6%
2021,Aidan Tyrell,Notre Dame,JR,5,1,2.7,17,8,0,0,2,60.0,50,19,18,19,43,5,0.23,0.305,0.355,0.659,0.259,7.5%,17.0%,9.5%,2.27,1.15,2.7,5.08,5.24,4.28,83.8%,46.9%,13.7%,39.4%,6.3%,8.7%
2021,Alec Gomez,Gonzaga,SR,5,4,5.83,15,10,0,0,1,54.0,64,36,35,21,34,2,0.295,0.354,0.447,0.801,0.324,8.4%,13.6%,5.2%,1.62,1.57,5.83,5.0,5.85,5.07,62.7%,37.8%,20.2%,42.0%,8.0%,5.1%
2021,Alec Huertas,Long Island,JR,2,4,3.75,10,10,1,1,0,57.2,58,34,24,20,53,8,0.261,0.341,0.329,0.67,0.331,7.8%,20.8%,12.9%,2.67,1.35,3.75,4.07,4.65,3.75,62.5%,49.7%,21.9%,28.4%,6.5%,4.2%
2021,Alejandro Murillo,Nevada,SO,2,2,6.25,15,9,0,0,0,59.0,73,41,41,22,49,6,0.311,0.378,0.528,0.906,0.361,8.1%,18.1%,10.0%,2.23,1.61,6.25,5.34,5.44,4.29,65.8%,39.6%,19.3%,41.2%,7.5%,9.1%
2021,Alejandro Rosario,Miami,FR,5,4,5.43,15,11,0,0,0,59.2,75,42,36,28,55,2,0.283,0.352,0.411,0.764,0.337,9.3%,18.2%,8.9%,1.96,1.73,5.43,4.69,4.94,4.2,64.3%,55.2%,13.3%,31.4%,6.7%,7.6%
2021,Alek Jacob,Gonzaga,SR,8,1,2.52,17,11,2,2,3,85.2,60,25,24,18,112,8,0.192,0.254,0.269,0.523,0.288,5.3%,32.8%,27.6%,6.19,0.91,2.52,2.74,3.68,2.0,74.6%,30.5%,19.8%,49.7%,13.7%,3.1%
2021,Alex Cornwell,Southern California,SO,5,6,5.35,15,15,0,0,0,79.0,95,55,47,21,65,5,0.299,0.348,0.434,0.782,0.355,5.8%,18.1%,12.3%,3.12,1.47,5.35,4.34,4.63,3.87,58.6%,49.2%,18.8%,32.0%,5.1%,7.3%
2021,Alex Fenton,Davidson,JR,2,8,7.35,12,12,1,0,0,63.2,93,51,52,20,53,9,0.339,0.397,0.456,0.854,0.405,6.5%,17.2%,10.7%,2.65,1.77,7.35,4.32,4.78,4.05,60.3%,43.9%,30.9%,25.1%,2.2%,5.4%
2021,Alex Garbrick,USC Upstate,JR,7,3,3.39,14,14,0,0,0,66.1,61,33,25,29,74,7,0.24,0.33,0.362,0.692,0.309,9.8%,24.9%,15.2%,2.54,1.36,3.39,4.58,4.72,3.49,72.2%,40.0%,20.6%,39.4%,8.3%,8.5%
