Season,Player,Team,Class,W,L,ERA_x,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,K,HBP,BA,OBP,SLG,OPS,BABIP,BB%,K%,K-BB%,K:BB,WHIP,ERA_y,FIP,xFIP,SIERA,LOB%,GB%,LD%,FB%,PU%,HR/FB%
2019,A.J. Block,Washington State,JR,0,8,6.06,14,14,0,0,0,71.1,77,47,48,32,68,8,0.283,0.374,0.489,0.863,0.33,9.8%,20.9%,11.0%,2.13,1.53,6.06,6.33,4.73,4.0,71.9%,47.5%,18.8%,33.7%,7.4%,20.6%
2019,A.J. Kullman,Cincinnati,SR,2,6,5.4,23,9,0,0,2,70.0,84,48,42,31,56,10,0.3,0.387,0.389,0.776,0.363,9.4%,16.9%,7.6%,1.8,1.64,5.4,4.67,4.99,4.28,63.7%,54.5%,17.6%,27.9%,3.2%,4.8%
2019,AJ Jones,Jacksonville,JR,7,4,3.3,15,15,0,0,0,87.1,74,39,32,31,77,4,0.234,0.307,0.307,0.614,0.296,8.5%,21.0%,12.6%,2.47,1.2,3.3,3.82,4.23,3.77,66.8%,51.0%,17.6%,31.4%,5.9%,4.0%
2019,Aaron Barkley,Mississippi Valley State,JR,1,1,2.03,16,1,0,0,2,31.0,30,9,7,7,50,0,0.216,0.253,0.288,0.541,0.33,4.7%,33.8%,29.1%,7.19,1.19,2.03,2.15,2.68,1.79,78.7%,48.8%,11.9%,39.3%,14.3%,3.0%
2019,Aaron Cohn,Fairleigh Dickinson,SO,5,3,6.18,14,7,1,1,0,62.2,69,41,43,26,21,5,0.295,0.372,0.449,0.82,0.299,9.6%,7.7%,-1.8%,0.8,1.52,6.18,6.24,6.1,5.85,64.4%,48.3%,18.0%,33.6%,7.1%,8.5%
2019,Aaron Davenport,Hawaii,FR,2,5,4.68,14,12,0,0,0,57.2,62,33,30,20,53,14,0.279,0.375,0.387,0.762,0.359,7.5%,19.9%,12.4%,2.65,1.42,4.68,4.33,4.99,3.9,67.6%,41.2%,20.6%,38.2%,7.3%,3.2%
2019,Aaron Eden,San Diego State,FR,4,2,4.01,18,12,0,0,0,74.0,90,38,33,19,41,6,0.307,0.357,0.386,0.743,0.346,5.7%,12.3%,6.6%,2.16,1.47,4.01,4.2,5.04,4.75,68.6%,47.0%,17.3%,35.7%,5.2%,2.2%
2019,Aaron Rea,Coppin State,JR,5,4,5.37,12,12,0,0,0,65.1,70,43,39,27,71,2,0.269,0.338,0.423,0.761,0.359,9.0%,23.7%,14.7%,2.63,1.48,5.37,3.27,4.39,3.6,57.4%,41.2%,14.4%,44.4%,10.2%,1.2%
2019,Abbott Haffar,UC Riverside,SO,4,3,4.35,21,8,0,0,1,70.1,90,41,34,26,54,8,0.31,0.377,0.393,0.77,0.368,7.7%,15.9%,8.3%,2.06,1.65,4.35,4.23,4.83,4.28,68.5%,51.7%,19.7%,28.6%,4.6%,2.9%
2019,Adam Jewell,VMI,FR,1,10,7.38,17,13,1,0,0,68.1,84,55,56,26,46,7,0.311,0.384,0.478,0.861,0.352,8.0%,14.2%,6.2%,1.78,1.61,7.38,5.41,5.28,4.81,57.8%,38.1%,25.2%,36.7%,6.9%,8.8%
