W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,AVG,WHIP,BABIP,LOB%,FIP,E-F,K-BB%,Age,MaxAge,Season,PlayerName,Team,UPID,xMLBAMID,UPURL,teamid,FullTeamName
0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,10.0,44.0,4.0,0.0,0.0,0.0,7.0,3.0,2.0,0.0,16.0,14.4,6.3,2.28571429,0.0,0.36363636,0.15909091,0.11764706,1.1,0.22222222,1.0,3.4877514839172363,-3.4877514839172363,0.20454545,20.0,20.0,2021,Jared Southard,TEX,sa3019951,683177.0,/players/jared-southard/sa3019951/stats/pitching,265,University of Texas at Austin 
1.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,11.1,44.0,6.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,10.0,7.941176693332243,1.5882353386664485,5.0,0.0,0.22727273,0.04545455,0.14634146,0.7058823727406438,0.19354839,0.88888889,4.096979276696703,-4.096979276696703,0.18181818,,,2021,Brendan Bean,PENN,sa3026792,,/players/brendan-bean/sa3026792/stats/pitching,202,University of Pennsylvania 
1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,14.2,60.0,6.0,2.0,0.0,0.0,8.0,3.0,3.0,0.0,26.0,15.954545108740001,4.9090908026892315,3.25,0.0,0.43333333,0.13333333,0.12244898,0.9545454338562395,0.26086957,0.88235294,2.573974308002093,-2.573974308002093,0.3,,,2021,Brad Kincaid,MCN,sa3035385,,/players/brad-kincaid/sa3035385/stats/pitching,143,McNeese State University 
1.0,3.0,0.5567010528210926,26.0,0.0,0.0,0.0,10.0,32.1,133.0,23.0,5.0,2.0,1.0,10.0,3.0,2.0,0.0,42.0,11.690722109242945,2.783505264105463,4.2,0.2783505264105463,0.31578947,0.07518797,0.19166667,1.0206185968386698,0.28571429,0.89595376,2.879738064807587,-2.3230370119864943,0.2406015,23.0,23.0,2021,Joe Taylor,NICH,sa3043569,,/players/joe-taylor/sa3043569/stats/pitching,173,Nicholls State University 
3.0,1.0,0.5684210640439699,18.0,0.0,0.0,0.0,10.0,31.2,123.0,22.0,2.0,2.0,0.0,8.0,2.0,2.0,0.0,34.0,9.663158088747489,2.2736842561758794,4.25,0.0,0.27642276,0.06504065,0.19469027,0.9473684400732831,0.27848101,0.9375,2.611126398789255,-2.042705334745285,0.21138211,21.0,21.0,2021,Spencer Schwellenbach,NEB,31846,680885.0,/players/spencer-schwellenbach/31846/stats/pitching,164,University of Nebraska Lincoln 
1.0,0.0,0.6136363503361539,11.0,0.0,0.0,0.0,0.0,14.2,56.0,10.0,1.0,1.0,0.0,3.0,0.0,2.0,2.0,11.0,6.749999853697693,1.8409090510084618,3.66666667,0.0,0.19642857,0.05357143,0.18867925,0.8863636171522223,0.23809524,0.92307692,3.27547558191394,-2.661839231577786,0.14285714,,,2021,John MacDonald,BRY,sa3036782,,/players/john-macdonald/sa3036782/stats/pitching,31,Bryant University 
0.0,0.0,0.627906990670204,12.0,0.0,0.0,0.0,5.0,14.1,57.0,7.0,1.0,1.0,0.0,7.0,1.0,0.0,0.0,16.0,10.046511850723263,4.395348934691428,2.28571429,0.0,0.28070175,0.12280702,0.14285714,0.9767442077092061,0.21212121,0.93333333,3.2322601948640615,-2.6043532041938575,0.15789474,20.0,20.0,2021,Chris Campos,SMC,sa3020396,702318.0,/players/christopher-campos/sa3020396/stats/pitching,246,St. Mary's College of California 
1.0,0.0,0.627906990670204,5.0,2.0,0.0,0.0,0.0,14.1,61.0,10.0,5.0,1.0,1.0,3.0,1.0,2.0,0.0,11.0,6.906976897372243,1.8837209720106118,3.66666667,0.627906990670204,0.18032787,0.04918033,0.1754386,0.9069767643014057,0.2,0.71428571,4.587769127098402,-3.959862136428198,0.13114754,,,2021,Conor McNamara,MRST,sa3037721,,/players/conor-mcnamara/sa3037721/stats/pitching,139,Marist College 
0.0,0.0,0.6585365700480631,10.0,0.0,0.0,0.0,0.0,13.2,55.0,10.0,2.0,1.0,0.0,5.0,0.0,1.0,0.0,15.0,9.878048550720946,3.2926828502403156,3.0,0.0,0.27272727,0.09090909,0.2,1.0975609500801051,0.28571429,0.86666667,2.6497813503349343,-1.9912447802868711,0.18181818,,,2021,Reuben Drogin,CAL,sa3030574,,/players/reuben-drogin/sa3030574/stats/pitching,37,University of California Berkeley 
2.0,0.0,0.7105262979576137,4.0,0.0,0.0,0.0,1.0,12.2,53.0,11.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,17.0,12.078947065279433,0.7105262979576137,17.0,0.7105262979576137,0.32075472,0.01886792,0.21568627,0.9473683972768182,0.3030303,1.0,3.3223833983624735,-2.61185710040486,0.30188679,22.0,22.0,2021,Conner Woods,UNLV,sa3045558,,/players/conner-woods/sa3045558/stats/pitching,167,University of Nevada Las Vegas 
3.0,0.0,0.7105263157894737,25.0,0.0,0.0,0.0,0.0,38.0,141.0,17.0,4.0,3.0,1.0,15.0,3.0,5.0,0.0,54.0,12.789473684210526,3.5526315789473686,3.6,0.23684210526315788,0.38297872,0.10638298,0.13821138,0.8421052631578947,0.23529412,0.92261905,2.5609873621087322,-1.8504610463192586,0.27659575,,,2021,Blake Bales,UVA,sa3026474,,/players/blake-bales/sa3026474/stats/pitching,285,University of Virginia 
0.0,1.0,0.72,19.0,0.0,0.0,0.0,6.0,25.0,101.0,15.0,3.0,2.0,0.0,10.0,2.0,4.0,0.0,28.0,10.08,3.6,2.8,0.0,0.27722772,0.0990099,0.16853933,1.0,0.24590164,0.88888889,2.990399742126465,-2.2703997421264654,0.17821782,21.0,21.0,2021,Michael Hobbs,SMC,sa3017498,669419.0,/players/michael-hobbs/sa3017498/stats/pitching,246,St. Mary's College of California 
