W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,AVG,WHIP,BABIP,LOB%,FIP,E-F,K-BB%,Age,MaxAge,Season,PlayerName,Team,UPID,xMLBAMID,UPURL,teamid,FullTeamName
1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,12.0,48.0,8.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,13.0,9.75,3.75,2.6,0.0,0.27083333,0.10416667,0.18604651,1.0833333333333333,0.26666667,1.0,3.2605529149373376,-3.2605529149373376,0.16666667,21.0,21.0,2025,Justin Henschel,FGCU,sa3033637,832044.0,/players/justin-henschel/sa3033637/stats/pitching,79,Florida Gulf Coast University 
1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,11.2,46.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,29.0,22.371427961855535,8.485714054496928,2.63636364,0.0,0.63043478,0.23913043,0.02857143,1.0285714005450821,0.16666667,1.0,2.2937652490576905,-2.2937652490576905,0.39130435,,,2025,Andrew Middleton,MASS,sa3037983,,/players/andrew-middleton/sa3037983/stats/pitching,141,University of Massachusetts Amherst 
2.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,11.1,41.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,10.323529701331916,2.3823530079996726,4.33333333,0.0,0.31707317,0.07317073,0.07894737,0.5294117795554828,0.12,0.83333333,2.5450436171363373,-2.5450436171363373,0.24390244,20.0,20.0,2025,Luke Pettitte,DBU,sa3039836,,/players/luke-pettitte/sa3039836/stats/pitching,57,Dallas Baptist University 
3.0,0.0,0.5625,24.0,0.0,0.0,0.0,10.0,32.0,113.0,13.0,3.0,2.0,0.0,3.0,3.0,3.0,0.0,51.0,14.34375,0.84375,17.0,0.0,0.45132743,0.02654867,0.12149533,0.5,0.23214286,0.84210526,1.308301639556885,-0.7458016395568849,0.42477876,23.0,23.0,2025,Gabe Craig,BAY,sa3029515,700582.0,/players/gabriel-craig/sa3029515/stats/pitching,21,Baylor University 
2.0,1.0,0.5625,28.0,0.0,0.0,0.0,9.0,32.0,134.0,23.0,8.0,2.0,1.0,10.0,4.0,0.0,0.0,36.0,10.125,2.8125,3.6,0.28125,0.26865672,0.07462687,0.19166667,1.03125,0.26506024,0.81460674,3.3338481903076174,-2.7713481903076174,0.19402985,22.0,22.0,2025,Ryan Lynch,CCU,sa3036743,,/players/ryan-lynch/sa3036743/stats/pitching,50,Coastal Carolina University 
3.0,0.0,0.72,5.0,5.0,0.0,0.0,0.0,25.0,92.0,11.0,3.0,2.0,1.0,12.0,0.0,4.0,0.0,25.0,9.0,4.32,2.08333333,0.36,0.27173913,0.13043478,0.1375,0.92,0.18518519,0.92592593,4.232322368621826,-3.5123223686218266,0.14130435,,,2025,Will Holmes,CIT,sa3034015,,/players/will-holmes/sa3034015/stats/pitching,269,The Citadel 
2.0,0.0,0.7297297485385005,9.0,1.0,0.0,0.0,1.0,12.1,53.0,8.0,4.0,1.0,0.0,7.0,1.0,0.0,0.0,17.0,12.405405725154509,5.1081082397695035,2.42857143,0.0,0.32075472,0.13207547,0.17777778,1.2162162475641676,0.28571429,0.75,3.6787494862837193,-2.949019737745219,0.18867925,20.0,20.0,2025,Tomas Lopez,COLU,sa3067008,,/players/tomas-lopez/sa3067008/stats/pitching,52,Columbia University
0.0,0.0,0.8709677687296642,13.0,0.0,0.0,0.0,1.0,10.1,43.0,7.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,7.0,6.096774381107649,3.4838710749186568,1.75,0.0,0.1627907,0.09302326,0.18421053,1.0645161617807006,0.22580645,0.91666667,3.911004352470343,-3.0400365837406786,0.06976744,24.0,24.0,2025,Tom Chmielewski,UNC,sa3028860,,/players/tom-chmielewski/sa3028860/stats/pitching,175,University of North Carolina Chapel Hill 
4.0,0.0,0.9310344521412536,19.0,0.0,0.0,0.0,0.0,19.1,74.0,9.0,3.0,2.0,0.0,7.0,1.0,4.0,1.0,22.0,10.24137897355379,3.258620582494388,3.14285714,0.0,0.2972973,0.09459459,0.13636364,0.8275861796811144,0.20454545,0.82352941,2.6570519853290273,-1.7260175331877736,0.2027027,21.0,21.0,2025,Luke Guth,VAN,sa3032873,,/players/luke-guth/sa3032873/stats/pitching,283,Vanderbilt University 
2.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,18.0,74.0,14.0,4.0,2.0,0.0,4.0,1.0,1.0,0.0,15.0,7.5,2.0,3.75,0.0,0.2027027,0.05405405,0.20289855,1.0,0.25925926,0.78947368,3.438989035288493,-2.438989035288493,0.14864865,20.0,20.0,2025,Cade Cosper,MER,sa3029428,,/players/cade-cosper/sa3029428/stats/pitching,145,Mercer University 
