W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,AVG,WHIP,BABIP,LOB%,FIP,E-F,K-BB%,Age,MaxAge,Season,PlayerName,Team,UPID,xMLBAMID,UPURL,teamid,FullTeamName
0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,10.0,38.0,3.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,18.0,16.2,5.4,3.0,0.0,0.47368421,0.15789474,0.09677419,0.9,0.23076923,1.0,2.0003764152526857,-2.0003764152526857,0.31578947,,,2022,Jack Anderson,VAN,sa3026047,,/players/jack-anderson/sa3026047/stats/pitching,283,Vanderbilt University 
3.0,0.0,0.36,18.0,0.0,0.0,0.0,8.0,25.0,100.0,14.0,3.0,1.0,0.0,6.0,5.0,1.0,0.0,22.0,7.92,2.16,3.66666667,0.0,0.22,0.06,0.15730337,0.8,0.20895522,0.88,3.669069061279297,-3.3090690612792972,0.16,,,2022,Jake Drew,NDSU,sa3030565,,/players/jake-drew/sa3030565/stats/pitching,179,North Dakota State University 
4.0,0.0,0.41221372845442306,24.0,0.0,0.0,0.0,6.0,43.2,166.0,23.0,4.0,2.0,1.0,11.0,3.0,2.0,0.0,55.0,11.335877532496633,2.267175506499327,5.0,0.20610686422721153,0.3313253,0.06626506,0.15131579,0.7786259315250212,0.22916667,0.92696629,2.8495271132241156,-2.4373133847696926,0.26506024,20.0,20.0,2022,Cade Denton,ORU,sa3023047,814106.0,/players/cade-denton/sa3023047/stats/pitching,198,Oral Roberts University 
1.0,0.0,0.6585365700480631,10.0,0.0,0.0,0.0,0.0,13.2,63.0,16.0,3.0,1.0,1.0,6.0,1.0,2.0,0.0,11.0,7.243902270528694,3.9512194202883784,1.83333333,0.6585365700480631,0.17460317,0.0952381,0.28571429,1.6097560601174876,0.34090909,0.92592593,4.559947544701536,-3.9014109746534724,0.07936508,20.0,20.0,2022,Alex Greene,UVA,sa3032635,,/players/alex-greene/sa3032635/stats/batting,285,University of Virginia 
0.0,1.0,0.6923076923076923,15.0,0.0,0.0,0.0,0.0,13.0,62.0,12.0,4.0,1.0,0.0,8.0,3.0,0.0,0.0,5.0,3.4615384615384617,5.538461538461538,0.625,0.0,0.08064516,0.12903226,0.23529412,1.5384615384615385,0.26086957,0.82608696,5.882013438298152,-5.18970574599046,-0.0483871,,,2022,Cole Beverlin,WCU,sa3027107,,/players/cole-beverlin/sa3027107/stats/pitching,297,Western Carolina University 
1.0,0.0,0.6923076923076923,19.0,0.0,0.0,0.0,0.0,26.0,100.0,16.0,2.0,2.0,2.0,13.0,0.0,0.0,0.0,21.0,7.269230769230769,4.5,1.61538462,0.6923076923076923,0.21,0.13,0.18390805,1.1153846153846154,0.21875,1.0,4.797304307497464,-4.104996615189772,0.08,,,2022,Marcus Olivarez,TEX,sa3039108,,/players/marcus-olivarez/sa3039108/stats/pitching,265,University of Texas at Austin 
1.0,1.0,0.7941176693332243,21.0,0.0,0.0,0.0,0.0,22.2,97.0,15.0,3.0,2.0,1.0,7.0,5.0,0.0,0.0,26.0,10.323529701331916,2.779411842666285,3.71428571,0.3970588346666121,0.26804124,0.07216495,0.17647059,0.9705882625183853,0.24137931,0.9375,4.050117567501267,-3.2559998981680423,0.19587629,19.0,19.0,2022,Jack Sullivan,CONN,sa3043315,,/players/jack-sullivan/sa3043315/stats/pitching,53,University of Connecticut 
1.0,1.0,0.8181818181818182,2.0,2.0,0.0,0.0,0.0,11.0,40.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,17.0,13.909090909090908,1.6363636363636365,8.5,0.0,0.425,0.05,0.13157895,0.6363636363636364,0.23809524,0.71428571,1.0797015710310505,-0.26151975284923223,0.375,21.0,21.0,2022,Donovan Burke,JMU,sa3028061,,/players/donovan-burke/sa3028061/stats/pitching,112,James Madison University 
0.0,0.0,0.8709677687296642,8.0,0.0,0.0,0.0,0.0,10.1,42.0,2.0,1.0,1.0,0.0,7.0,2.0,1.0,0.0,10.0,8.709677687296642,6.096774381107649,1.42857143,0.0,0.23809524,0.16666667,0.06060606,0.8709677687296642,0.08695652,0.90909091,5.2305664055553365,-4.359598636825672,0.07142857,,,2022,John Killmon,UMES,sa3035364,,/players/john-killmon/sa3035364/stats/pitching,138,University of Maryland Eastern Shore 
3.0,1.0,0.9101123790550741,25.0,0.0,0.0,0.0,12.0,59.1,231.0,31.0,14.0,6.0,3.0,15.0,3.0,1.0,0.0,80.0,12.134831720734322,2.2752809476376856,5.33333333,0.45505618952753707,0.34632035,0.06493506,0.14553991,0.7752809154913595,0.21538462,0.78125,2.4959426091394854,-1.5858302300844112,0.28138528,20.0,20.0,2022,William Privette,COFC,sa3022738,811316.0,/players/troy-privette/sa3022738/stats/pitching,51,College of Charleston (South Carolina) 
3.0,0.0,0.9310344827586207,9.0,2.0,0.0,0.0,1.0,29.0,124.0,25.0,9.0,3.0,0.0,10.0,2.0,3.0,0.0,31.0,9.620689655172415,3.103448275862069,3.1,0.0,0.25,0.08064516,0.22321429,1.206896551724138,0.30864198,0.75675676,2.6038246911147547,-1.6727902083561341,0.16935484,,,2022,Darren Williams,UK,sa3045275,,/players/darren-williams/sa3045275/stats/pitching,117,University of Kentucky 
