W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,AVG,WHIP,BABIP,LOB%,FIP,E-F,K-BB%,Age,MaxAge,Season,PlayerName,Team,UPID,xMLBAMID,UPURL,teamid,FullTeamName
3.0,2.0,1.4727272216544682,23.0,0.0,0.0,0.0,8.0,36.2,140.0,26.0,7.0,6.0,3.0,3.0,2.0,0.0,0.0,45.0,11.045454162408511,0.7363636108272341,15.0,0.7363636108272341,0.32142857,0.02142857,0.19259259,0.7909090634811032,0.26436782,0.89552239,2.7833278216212234,-1.3106005999667552,0.3,21.0,21.0,2024,Phil Fox,PITT,sa3031609,813636.0,/players/phillip-fox/sa3031609/stats/pitching,205,University of Pittsburgh 
3.0,0.0,1.4794520161393043,30.0,0.0,0.0,0.0,0.0,24.1,99.0,20.0,4.0,4.0,1.0,14.0,2.0,2.0,0.0,11.0,4.068493044383087,5.178082056487566,0.78571429,0.3698630040348261,0.11111111,0.14141414,0.24096386,1.3972602374648986,0.26760563,0.92485549,5.5500398321611675,-4.070587816021863,-0.03030303,24.0,24.0,2024,Kaden Riccomini,UCD,sa3040679,,/players/kaden-riccomini/sa3040679/stats/pitching,277,University of California Davis 
3.0,1.0,1.5,11.0,0.0,0.0,0.0,0.0,18.0,71.0,10.0,5.0,3.0,1.0,4.0,1.0,2.0,0.0,9.0,4.5,2.0,2.25,0.5,0.12676056,0.05633803,0.15151515,0.7777777777777778,0.16071429,0.73529412,4.459672376844619,-2.959672376844619,0.07042254,21.0,21.0,2024,Fisher Johnson,USC,sa3034747,,/players/fisher-johnson/sa3034747/stats/pitching,237,University of Southern California 
1.0,0.0,1.5,7.0,1.0,0.0,0.0,0.0,12.0,54.0,10.0,2.0,2.0,0.0,6.0,2.0,3.0,0.0,10.0,7.5,4.5,1.66666667,0.0,0.18518519,0.11111111,0.2173913,1.3333333333333333,0.27777778,0.88888889,4.1905637105306,-2.6905637105305997,0.07407407,19.0,19.0,2024,Tyler Kozera,UCF,sa3035668,,/players/tyler-kozera/sa3035668/stats/pitching,43,University of Central Florida 
0.0,0.0,1.5517241379310345,27.0,1.0,0.0,0.0,0.0,29.0,115.0,18.0,7.0,5.0,1.0,11.0,1.0,2.0,0.0,20.0,6.206896551724138,3.413793103448276,1.81818182,0.3103448275862069,0.17391304,0.09565217,0.17475728,1.0,0.20731707,0.8041958,4.729063833170924,-3.1773396952398896,0.07826087,23.0,23.0,2024,Ryan Hernandez,CBU,sa3033694,,/players/ryan-hernandez/sa3033694/stats/pitching,39,California Babtist University
3.0,2.0,1.5539568771789571,24.0,1.0,0.0,0.0,5.0,46.1,204.0,37.0,10.0,8.0,2.0,21.0,8.0,3.0,0.0,79.0,15.345324162142202,4.079136802594762,3.76190476,0.3884892192947393,0.3872549,0.10294118,0.21142857,1.251798595505271,0.37234043,0.88607595,2.9025650224418627,-1.3486081452629055,0.28431373,21.0,21.0,2024,Wyatt Lunsford-Shenkman,ECU,sa3036703,701828.0,/players/wyatt-lunsford-shenkman/sa3036703/stats/pitching,65,East Carolina University 
0.0,0.0,1.565217391304348,16.0,0.0,0.0,0.0,1.0,23.0,87.0,11.0,4.0,4.0,1.0,5.0,3.0,3.0,0.0,24.0,9.391304347826088,1.9565217391304348,4.8,0.391304347826087,0.27586207,0.05747126,0.13924051,0.6956521739130435,0.18518519,0.85227273,4.278587179598601,-2.713369788294253,0.2183908,,,2024,Conner Floyd,ORU,sa3031485,,/players/conner-floyd/sa3031485/stats/pitching,198,Oral Roberts University 
2.0,1.0,1.5728155922312168,13.0,0.0,0.0,0.0,2.0,34.1,147.0,27.0,14.0,6.0,1.0,15.0,0.0,3.0,0.0,30.0,7.8640779611560845,3.9320389805780422,2.0,0.26213593203853613,0.20408163,0.10204082,0.20454545,1.2233010161798354,0.25742574,0.68965517,3.912441349649802,-2.339625757418585,0.10204082,22.0,22.0,2024,Orlando Hernandez,FIU,sa3033687,,/players/orlando-hernandez/sa3033687/stats/pitching,76,Florida International University 
0.0,0.0,1.588235294117647,17.0,0.0,0.0,0.0,0.0,17.0,76.0,15.0,4.0,3.0,0.0,10.0,2.0,2.0,0.0,11.0,5.823529411764706,5.294117647058823,1.1,0.0,0.14473684,0.13157895,0.234375,1.4705882352941178,0.28301887,0.85185185,5.075043083639706,-3.486807789522059,0.0131579,,,2024,Quentin Pohorski,SF,sa3040021,,/players/quentin-pohorski/sa3040021/stats/pitching,223,University of San Francisco 
2.0,1.0,1.6308724414678883,30.0,0.0,0.0,0.0,2.0,49.2,187.0,26.0,10.0,9.0,5.0,12.0,1.0,1.0,0.0,59.0,10.691274894067268,2.174496588623851,4.91666667,0.906040245259938,0.31550802,0.06417112,0.14942529,0.7651006515528365,0.19090909,0.90625,3.575351189783063,-1.9444787483151746,0.2513369,21.0,21.0,2024,Robert Cranz,OKST,sa3025521,801128.0,/players/robert-cranz/sa3025521/stats/pitching,196,Oklahoma State University 
