Season,Player,Team,Class,W,L,ERA_x,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,K,HBP,BA,OBP,SLG,OPS,BABIP,BB%,K%,K-BB%,K:BB,WHIP,ERA_y,FIP,xFIP,SIERA,LOB%,GB%,LD%,FB%,PU%,HR/FB%
2025,A.J. Colarusso,Boston College,JR,1,6,4.89,19,15,0,0,1,73.2,79,43,40,31,58,5,0.285,0.359,0.448,0.807,0.329,9.5%,17.7%,8.3%,1.86,1.49,4.89,5.39,6.14,4.63,74.1%,35.2%,20.5%,44.3%,9.6%,7.2%
2025,AJ Ciscar,Miami,FR,6,2,4.46,21,10,0,0,0,66.2,56,38,33,16,65,20,0.222,0.318,0.325,0.644,0.275,5.5%,22.4%,16.9%,4.07,1.08,4.46,5.08,4.89,3.1,74.2%,57.2%,19.3%,23.5%,2.1%,13.6%
2025,AJ Petraitis,Le Moyne,SO,3,3,6.08,14,12,1,0,0,74.0,80,52,50,32,47,13,0.27,0.363,0.395,0.759,0.295,9.2%,13.5%,4.3%,1.47,1.51,6.08,6.21,6.74,5.05,69.4%,44.5%,16.6%,38.9%,6.9%,8.3%
2025,Aaron Boster,Northern Kentucky,SR,4,2,5.54,15,15,0,0,0,65.0,61,50,40,47,60,10,0.253,0.395,0.402,0.797,0.309,15.5%,19.8%,4.3%,1.28,1.66,5.54,6.48,6.57,4.85,72.1%,46.6%,16.7%,36.8%,9.2%,10.9%
2025,Aaron Savary,Iowa,JR,7,2,4.37,15,15,0,0,0,80.1,67,39,39,33,82,15,0.233,0.338,0.382,0.72,0.285,9.6%,23.8%,14.2%,2.48,1.24,4.37,5.61,5.27,3.62,78.2%,49.8%,16.3%,34.0%,9.4%,14.5%
2025,Adam Brouwer,Northern Illinois,JR,4,3,5.14,13,13,0,0,0,68.1,76,45,39,26,66,10,0.284,0.366,0.399,0.765,0.354,8.4%,21.3%,12.9%,2.54,1.49,5.14,5.04,5.65,3.86,67.6%,40.9%,18.7%,40.4%,8.1%,7.5%
2025,Adan Perez,Pacific,SR,4,5,6.98,14,13,0,0,0,68.1,85,56,53,38,56,11,0.315,0.414,0.448,0.862,0.371,11.4%,16.9%,5.4%,1.48,1.8,6.98,5.93,6.98,5.18,66.1%,27.0%,27.0%,46.0%,9.8%,6.1%
2025,Adrian Quezada,Queens (NC),JR,0,5,5.4,11,5,0,0,0,56.2,67,42,34,14,37,11,0.296,0.362,0.513,0.875,0.302,5.4%,14.4%,8.9%,2.67,1.43,5.4,7.25,6.52,4.62,67.8%,38.1%,16.4%,45.5%,6.3%,15.1%
2025,Aidan Cremarosa,Fresno State,JR,6,6,4.34,17,17,1,1,0,95.1,89,55,46,27,112,10,0.243,0.31,0.451,0.761,0.297,6.6%,27.4%,20.8%,4.15,1.22,4.34,5.52,5.02,2.93,76.4%,32.0%,19.0%,49.0%,11.5%,14.5%
2025,Aidan Haugh,North Carolina,SR,5,4,3.72,17,14,1,1,0,75.0,70,37,31,33,85,4,0.24,0.324,0.39,0.715,0.299,9.9%,25.5%,15.6%,2.58,1.37,3.72,5.35,4.99,3.44,72.1%,45.9%,16.4%,37.7%,6.3%,14.1%
2025,Aidan King,Florida,FR,7,2,2.58,17,12,0,0,0,73.1,58,28,21,23,79,4,0.213,0.282,0.283,0.565,0.286,7.6%,26.0%,18.4%,3.42,1.1,2.58,3.71,4.64,3.11,75.5%,44.3%,18.8%,37.0%,8.3%,4.2%
2025,Aidan Knaak,Clemson,SO,9,1,4.18,16,16,0,0,0,90.1,71,46,42,29,110,11,0.214,0.293,0.337,0.63,0.282,7.6%,28.7%,21.1%,3.78,1.11,4.18,4.42,4.52,2.75,70.1%,43.0%,18.8%,38.1%,8.5%,10.6%
2025,Aidan Risse,San Francisco,GR,5,3,5.25,15,13,0,0,0,70.1,80,47,41,26,59,9,0.291,0.367,0.465,0.833,0.335,8.2%,18.6%,10.4%,2.27,1.51,5.25,5.94,5.39,4.02,69.3%,48.9%,23.3%,27.9%,1.8%,16.4%
2025,Aiden Kelly,Mercyhurst,SR,2,4,5.86,14,14,0,0,0,70.2,79,52,46,41,72,13,0.278,0.389,0.415,0.804,0.344,11.8%,20.8%,9.0%,1.76,1.7,5.86,5.79,6.03,4.29,69.0%,43.0%,21.5%,35.5%,4.0%,9.9%
2025,Aiven Cabral,Northeastern,JR,10,3,2.92,16,16,1,1,0,89.1,78,30,29,14,74,7,0.232,0.277,0.324,0.601,0.288,3.9%,20.6%,16.7%,5.28,1.03,2.92,3.7,4.64,3.34,81.2%,50.0%,19.1%,30.9%,3.4%,3.7%
2025,Albert Roblez,Long Beach State,SR,4,3,2.78,19,3,0,0,4,58.1,34,20,18,28,79,9,0.167,0.296,0.296,0.591,0.25,11.5%,32.5%,21.0%,2.83,1.06,2.78,4.32,5.13,2.8,76.5%,30.0%,15.8%,54.2%,10.8%,6.2%
2025,Alec Nigut,Southern Illinois,SR,7,4,5.1,14,13,0,0,0,60.0,66,41,34,16,60,7,0.274,0.335,0.452,0.787,0.324,5.9%,22.3%,16.4%,3.78,1.37,5.1,5.58,5.26,3.45,69.3%,39.2%,19.3%,41.4%,9.9%,13.3%
