Season,Player,Team,Class,W,L,ERA_x,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,K,HBP,BA,OBP,SLG,OPS,BABIP,BB%,K%,K-BB%,K:BB,WHIP,ERA_y,FIP,xFIP,SIERA,LOB%,GB%,LD%,FB%,PU%,HR/FB%
2017,A.J. Franks,Grand Canyon,SR,4.0,0.0,2.6,34,0,0,0,4.0,62.1,59,24,18,8,39,10,0.253,0.306,0.296,0.602,0.303,3.0%,14.7%,11.7%,4.9,1.07,2.6,3.45,3.99,3.16,68.8%,64.8%,18.1%,17.1%,1.6%,0.0%
2017,A.J. Kullman,Cincinnati,SO,5.0,7.0,5.37,21,4,0,0,2.0,60.1,54,38,36,26,37,7,0.241,0.339,0.348,0.687,0.269,9.6%,13.7%,4.1%,1.43,1.33,5.37,5.34,5.13,4.68,61.3%,55.7%,16.2%,28.1%,3.8%,9.6%
2017,AJ Moore,Kennesaw State,JR,5.0,6.0,6.12,15,14,0,0,0.0,72.0,82,50,49,36,58,5,0.289,0.369,0.451,0.82,0.321,10.6%,17.1%,6.5%,1.61,1.64,6.12,5.78,5.16,4.66,67.0%,44.8%,17.2%,37.9%,8.2%,11.4%
2017,Aaron Hamilton,Northern Colorado,JR,5.0,4.0,3.82,17,14,1,1,0.0,73.0,76,37,31,30,66,6,0.27,0.35,0.363,0.713,0.34,9.1%,19.9%,10.9%,2.19,1.45,3.82,4.04,4.57,4.08,69.6%,41.5%,23.1%,35.4%,9.0%,4.0%
2017,Aaron Leasher,Morehead State,JR,9.0,3.0,4.19,15,15,0,0,0.0,92.1,89,48,43,32,105,5,0.252,0.321,0.405,0.727,0.324,8.0%,26.2%,18.2%,3.28,1.31,4.19,4.46,3.68,3.13,71.4%,44.7%,20.3%,35.0%,6.1%,14.0%
2017,Aaron Phillips,St. Bonaventure,JR,9.0,2.0,3.04,15,14,2,0,0.0,100.2,77,37,34,45,90,12,0.214,0.319,0.306,0.625,0.263,10.5%,20.9%,10.5%,1.99,1.21,3.04,4.67,4.67,4.08,78.1%,46.8%,19.2%,34.0%,7.2%,7.8%
2017,Adam Bainbridge,Old Dominion,SR,2.0,3.0,4.05,15,15,0,0,0.0,46.2,96,37,21,19,75,10,0.256,0.309,0.352,0.661,0.307,4.6%,18.2%,13.6%,3.96,2.46,4.05,3.86,4.12,3.72,74.6%,51.5%,17.3%,31.2%,4.7%,5.4%
2017,Adam Bleday,Pennsylvania,SR,2.0,5.0,4.77,11,10,2,0,1.0,60.1,61,38,32,26,74,4,0.262,0.346,0.373,0.719,0.376,9.4%,26.7%,17.3%,2.84,1.44,4.77,3.3,3.77,3.17,60.1%,44.3%,22.8%,32.9%,8.9%,3.8%
2017,Adam Haseley,Virginia,JR,3.0,0.0,2.97,11,11,0,0,0.0,33.1,58,29,11,18,53,6,0.241,0.308,0.415,0.723,0.264,6.6%,19.5%,12.9%,2.95,2.28,2.97,5.54,4.72,4.03,79.6%,37.4%,13.4%,49.2%,8.6%,12.0%
2017,Adam Hill,South Carolina,SO,2.0,5.0,3.13,14,14,0,0,0.0,54.2,56,29,19,39,87,6,0.205,0.317,0.308,0.624,0.276,12.0%,26.8%,14.8%,2.23,1.74,3.13,4.36,4.32,3.48,77.8%,42.2%,17.2%,40.6%,7.2%,8.2%
2017,Adam Reuss,Milwaukee,SR,2.0,6.0,6.11,14,12,0,0,0.0,53.0,65,37,36,34,49,9,0.279,0.386,0.416,0.802,0.328,12.1%,17.4%,5.3%,1.44,1.87,6.11,5.48,5.31,4.68,70.3%,49.5%,20.7%,29.9%,5.4%,9.1%
2017,Adam Scott,Wofford,JR,6.0,6.0,4.92,15,15,1,0,0.0,93.1,104,58,51,24,108,8,0.29,0.34,0.409,0.749,0.378,5.7%,25.8%,20.0%,4.53,1.37,4.92,3.8,3.67,2.86,63.2%,39.2%,18.8%,42.0%,7.2%,8.6%
2017,Addison Russ,Houston Christian,SR,2.0,6.0,3.62,15,15,1,0,0.0,92.0,90,34,37,43,79,13,0.272,0.375,0.411,0.786,0.336,10.7%,19.7%,9.0%,1.84,1.45,3.62,4.99,4.97,4.3,82.2%,46.7%,16.7%,36.6%,4.5%,7.8%
2017,Alan Strong,UNLV,JR,3.0,5.0,7.15,15,14,0,0,0.0,61.2,98,59,49,35,70,9,0.32,0.402,0.497,0.899,0.39,9.6%,19.2%,9.6%,2.0,2.16,7.15,5.19,5.01,4.22,63.5%,45.9%,15.0%,39.1%,5.2%,8.8%
2017,Alan Winans,Campbell,JR,4.0,6.0,6.42,14,12,0,0,0.0,61.2,80,52,44,18,42,15,0.316,0.388,0.419,0.807,0.362,6.0%,14.0%,8.0%,2.33,1.59,6.42,4.72,5.3,4.46,56.1%,50.5%,14.6%,34.9%,2.8%,4.1%
2017,Alec Rennard,Michigan,JR,6.0,2.0,4.43,18,10,0,0,0.0,65.0,63,31,32,15,65,4,0.251,0.301,0.355,0.656,0.324,5.5%,23.8%,18.3%,4.33,1.2,4.43,3.3,3.89,3.17,65.6%,41.2%,17.0%,41.8%,9.9%,3.9%
2017,Alex Cunningham,Coastal Carolina,SR,7.0,2.0,2.63,15,14,2,2,0.0,106.0,75,33,31,24,117,3,0.195,0.247,0.322,0.569,0.245,5.7%,27.6%,21.9%,4.84,0.93,2.63,3.86,3.67,2.82,81.0%,32.6%,15.2%,52.3%,14.4%,8.7%
2017,Alex Ernestine,Nicholls,JR,2.0,4.0,3.65,25,8,0,0,1.0,69.0,74,30,28,26,50,3,0.276,0.346,0.41,0.756,0.316,8.3%,15.9%,7.6%,1.92,1.45,3.65,5.0,5.03,4.63,78.3%,36.3%,20.8%,42.9%,5.7%,7.7%
2017,Alex Eubanks,Clemson,SO,4.0,4.0,3.99,18,16,1,1,0.0,65.1,113,52,29,16,108,5,0.263,0.296,0.447,0.743,0.314,3.5%,23.3%,19.9%,6.66,1.97,3.99,4.45,3.53,2.96,74.4%,42.7%,19.9%,38.0%,7.0%,14.2%
2017,Alex Evans,Tennessee-Martin,SR,6.0,5.0,5.43,28,0,0,0,4.0,66.1,78,42,40,25,73,4,0.286,0.354,0.447,0.801,0.365,8.2%,23.9%,15.7%,2.91,1.55,5.43,4.5,4.1,3.46,67.8%,41.5%,19.7%,38.9%,8.3%,10.7%
2017,Alex Faedo,Florida,JR,9.0,2.0,2.26,20,19,0,0,1.0,123.2,95,38,31,42,157,7,0.21,0.287,0.288,0.575,0.313,8.1%,30.1%,22.1%,3.72,1.11,2.26,2.88,3.28,2.6,76.6%,48.3%,17.6%,34.1%,6.6%,4.0%
2017,Alex Fagalde,UC Riverside,SR,7.0,4.0,3.39,15,11,1,1,0.0,79.2,70,34,30,27,63,5,0.239,0.313,0.314,0.627,0.294,7.9%,18.5%,10.6%,2.34,1.22,3.39,3.95,4.66,4.23,69.5%,39.9%,18.4%,41.7%,14.0%,3.2%
2017,Alex Hicks,Memphis,SO,4.0,5.0,5.26,16,11,0,0,0.0,65.0,73,43,38,25,53,17,0.281,0.38,0.415,0.795,0.328,8.0%,16.9%,8.9%,2.11,1.51,5.26,5.61,5.36,4.35,68.4%,41.2%,22.1%,36.8%,4.9%,9.3%
2017,Alex House,Florida Atlantic,JR,6.0,4.0,4.71,16,13,2,0,1.0,93.2,90,60,49,25,68,9,0.251,0.312,0.423,0.736,0.276,6.2%,16.8%,10.6%,2.71,1.23,4.71,5.16,5.0,4.45,59.7%,37.1%,13.9%,49.0%,9.9%,8.3%
2017,Alex Lange,LSU,JR,7.0,4.0,3.23,19,19,2,1,0.0,83.2,106,42,30,48,150,5,0.228,0.307,0.338,0.645,0.315,9.1%,28.4%,19.3%,3.12,1.84,3.23,3.75,3.79,2.95,80.7%,39.9%,16.1%,44.1%,7.7%,7.3%
2017,Alex Mauricio,Norfolk State,JR,4.0,4.0,3.49,11,11,1,0,0.0,59.1,57,44,23,27,55,11,0.247,0.353,0.403,0.756,0.3,9.7%,19.9%,10.1%,2.05,1.42,3.49,5.28,5.07,4.15,58.9%,48.5%,12.6%,38.9%,6.0%,9.2%
2017,Alex Robles,Austin Peay,SR,6.0,8.0,6.94,23,10,1,1,3.0,72.2,87,59,56,26,85,7,0.298,0.366,0.493,0.859,0.372,7.7%,25.2%,17.5%,3.27,1.56,6.94,5.41,3.86,3.21,60.8%,48.3%,16.6%,35.1%,5.9%,19.4%
2017,Alex Royalty,UNC Wilmington,SO,9.0,2.0,3.2,15,15,0,0,0.0,98.1,89,43,35,26,107,6,0.239,0.295,0.362,0.657,0.3,6.3%,25.7%,19.5%,4.08,1.17,3.2,4.09,3.52,2.97,73.9%,49.8%,17.5%,32.7%,4.5%,12.5%
2017,Alex Stevenson,Eastern Illinois,FR,4.0,3.0,7.91,22,3,0,0,1.0,58.0,79,52,51,20,35,4,0.321,0.377,0.528,0.906,0.325,7.1%,12.4%,5.3%,1.75,1.71,7.91,7.04,5.36,5.08,61.2%,35.9%,23.4%,40.7%,7.2%,16.5%
2017,Alex Troop,Michigan State,SO,8.0,3.0,2.47,14,14,1,0,0.0,83.2,68,32,23,29,83,3,0.221,0.292,0.313,0.605,0.287,8.2%,23.5%,15.3%,2.87,1.16,2.47,3.62,4.05,3.51,72.0%,39.5%,20.9%,39.5%,10.5%,4.6%
2017,Alex Yarem,Campbell,SO,2.0,1.0,4.13,16,6,1,1,0.0,65.1,68,35,30,15,39,1,0.268,0.308,0.386,0.694,0.299,5.3%,13.8%,8.5%,2.6,1.27,4.13,4.18,4.75,4.6,62.5%,42.3%,15.8%,41.9%,8.8%,4.4%
2017,Andrew Beckwith,Coastal Carolina,SR,8.0,2.0,4.34,20,11,0,0,1.0,91.1,108,60,44,28,68,15,0.293,0.365,0.401,0.766,0.337,6.6%,16.1%,9.5%,2.44,1.49,4.34,5.07,4.82,4.27,65.8%,48.5%,19.8%,31.7%,5.1%,9.7%
2017,Andrew Cabezas,Miami,SO,3.0,1.0,1.69,34,0,0,0,1.0,37.1,51,24,7,23,77,6,0.221,0.308,0.29,0.598,0.322,8.6%,28.8%,20.2%,3.35,1.98,1.69,3.16,3.38,2.83,72.5%,55.6%,16.7%,27.8%,6.3%,5.0%
2017,Andrew Crane,Troy,JR,6.0,2.0,1.47,16,8,0,0,0.0,61.1,43,13,10,16,60,5,0.193,0.262,0.256,0.518,0.255,6.4%,24.1%,17.7%,3.77,0.96,1.47,3.32,3.97,3.21,83.3%,44.4%,15.6%,40.0%,9.4%,3.1%
2017,Andrew Garcia,UT Rio Grande Valley,SR,3.0,3.0,4.4,18,13,1,0,0.0,77.2,110,50,38,32,63,7,0.322,0.387,0.462,0.849,0.373,8.1%,15.9%,7.8%,1.96,1.83,4.4,4.84,4.72,4.41,71.1%,50.0%,20.1%,29.9%,6.1%,8.4%
2017,Andrew Gist,Georgia,SR,3.0,4.0,3.8,17,11,0,0,1.0,73.1,70,33,31,19,79,3,0.249,0.303,0.352,0.655,0.328,6.1%,25.2%,19.1%,4.13,1.21,3.8,3.46,3.75,3.0,69.4%,37.5%,20.0%,42.5%,9.0%,5.9%
2017,Andrew Gottfried,High Point,SO,4.0,3.0,3.86,11,11,0,0,0.0,56.0,44,30,24,21,48,5,0.213,0.298,0.348,0.646,0.25,8.7%,19.9%,11.2%,2.29,1.16,3.86,4.71,4.69,4.03,63.5%,43.3%,15.9%,40.8%,3.8%,7.8%
