Feature,Coefficient
Competition_Density,-0.5853186354226987
Prior_wOBA_Rank,0.5717940816154378
Team_Total_Prior_PA,-0.12753384570573062
Prior_PA,0.050104767019323135
Class_SR,-0.04824268972438544
Class_JR,-0.04531198740791083
Class_SO,-0.03765587235971082
Class_GR,-0.025608797618400847
Team_Mean_Prior_wOBA,0.02056812876890723
Prior_PA_Rank,0.01929070027015485
Prior_wOBA,-0.018370307538693235
Team_Returning_Starters,-0.01267473052617744
Prior_wOBA_Deviation,0.004277909649792343
Pos_IF,0.003415409748983864
Prior_K%,-0.002918374070072999
Prior_BB%,-0.002056174223673831
Pos_OF,0.0013405969653318803
Pos_C,0.0009773400034695458
Team_Median_Prior_wOBA,0.0007509749957345711
Changed_Team,-0.00028771555294535256
Pos_DH,-0.00010801422801517953
Pos_UTIL,0.0
