G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wBsR,Age,MaxAge,Season,PlayerName,Team,UPID,UPURL,xMLBAMID,teamid,FullTeamName,download_timestamp
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.14285714,0.0,1.5375354052469683,1.4000001312181902,2.009549379348755,1117.9207778545976,0.0,,,2026,Brayden Gutierrez,SMC,sa3074755,/players/brayden-gutierrez/sa3074755/stats/batting,,246,St. Mary's College of California ,2026-02-23T18:10:58.685987
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.14285714,0.0,1.5486113313517356,1.3999999944052481,1.8634861707687378,1042.0546394178298,0.0,,,2026,Jake Vrlak,M-OH,sa3066101,/players/jake-vrlak/sa3066101/stats/batting,,149,Miami University (Ohio) ,2026-02-23T18:10:58.685987
2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.14285714,0.0,1.5768985886886913,1.3999999155119258,1.9754043817520142,891.4134630693246,0.0,,,2026,Seth Giamportone,MEM,sa3073719,/players/seth-giamportone/sa3073719/stats/batting,,144,University of Memphis ,2026-02-23T18:10:58.685987
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.14285714,1.0,0.9949701058603779,0.8695511597134129,0.9997671246528625,793.317227123308,0.01961541548371315,,,2026,Jack Malec,MERC,sa3065087,/players/jack-malec/sa3065087/stats/batting,,311,Mercyhurst College ,2026-02-23T18:10:58.685987
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.14285714,0.0,1.6189357646752136,1.3999999620962875,1.9750252962112427,739.4568387651395,0.0,20.0,20.0,2026,Harley Goodner,DUKE,sa3074097,/players/harley-goodner/sa3074097/stats/batting,,64,Duke University ,2026-02-23T18:10:58.685987
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.14285714,0.0,1.6189357646752136,1.3999999620962875,1.9750252962112427,739.4568387651395,0.0,20.0,20.0,2026,Trevor Johnson,DUKE,sa3074113,/players/trevor-johnson/sa3074113/stats/batting,,64,Duke University ,2026-02-23T18:10:58.685987
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.14285714,0.0,1.6234439236205827,1.4000001472514878,2.02909779548645,726.555892493914,0.0,,,2026,Aukai Kea,VAN,sa3073968,/players/aukai-kea/sa3073968/stats/batting,,283,Vanderbilt University ,2026-02-23T18:10:58.685987
1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.14285714,0.0,1.7049401667925805,1.4541022744986505,0.8910634815692902,679.6980118118453,0.0392308309674263,,,2026,Luke Becker,LEM,sa3074207,/players/luke-becker/sa3074207/stats/batting,,120,Le Moyne College ,2026-02-23T18:10:58.685987
1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.14285714,0.0,1.7049401667925805,1.4541022744986505,0.8910634815692902,679.6980118118453,0.0392308309674263,,,2026,Will Bartoli,LIU,sa3074710,/players/will-bartoli/sa3074710/stats/batting,,127,Long Island University Brooklyn Campus ,2026-02-23T18:10:58.685987
2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.64285714,1.0,2.0876430188639756,1.7768420790656205,1.2714152336120605,671.697781936702,0.0,,,2026,Tyler Butina,MUR,sa3069717,/players/tyler-butina/sa3069717/stats/batting,,162,Murray State University ,2026-02-23T18:10:58.685987
1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.14285714,1.0,1.0071656867549161,0.8499865099475126,1.282960057258606,640.7755195136484,0.0,22.0,22.0,2026,Gavyn Boyle,USI,sa3069652,/players/gavyn-boyle/sa3069652/stats/batting,,240,University of Southern Indiana ,2026-02-23T18:10:58.685987
2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.64285714,1.0,1.4192220464156444,1.1866948649094875,0.9281196296215057,610.3467290244799,0.031579237431287766,,,2026,Jack Forgues,UML,sa3074746,/players/jack-forgues/sa3074746/stats/batting,,142,University of Massachusetts at Lowell ,2026-02-23T18:10:58.685987
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.64285714,1.0,0.8067830651954635,0.6695704311088546,0.9545552730560303,587.980159819846,-0.00266275298781693,,,2026,Parker Ivy,LEH,sa3070412,/players/parker-ivy/sa3070412/stats/batting,,121,Lehigh University ,2026-02-23T18:10:58.685987
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.64285714,1.0,0.8067830651954635,0.6695704311088546,0.9545552730560303,587.980159819846,-0.00266275298781693,,,2026,Bennie Franquiz,ARMY,sa3074747,/players/bennie-franquiz/sa3074747/stats/batting,,17,U.S. Military Academy ,2026-02-23T18:10:58.685987
2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.64285714,0.0,0.6342541132888999,0.5261264969430175,0.8314028382301331,586.5792058709826,0.005500506144016981,23.0,23.0,2026,Danny Infante,MAN,sa3034421,/players/danny-infante/sa3034421/stats/batting,,135,Manhattan College ,2026-02-23T18:10:58.685987
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.14285714,0.0,0.6342541132888999,0.5261264969430175,0.8314028382301331,586.5792058709826,0.005500506144016981,,,2026,Dylan Millman,MRST,sa3038097,/players/dylan-millman/sa3038097/stats/batting,,139,Marist College ,2026-02-23T18:10:58.685987
3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.14285714,0.0,0.6342541132888999,0.5261264969430175,0.8314028382301331,586.5792058709826,0.005500506144016981,23.0,23.0,2026,Hayden Jung-Goldberg,MAN,sa3066782,/players/hayden-jung-goldberg/sa3066782/stats/batting,,135,Manhattan College ,2026-02-23T18:10:58.685987
1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.14285714,1.0,0.9840623565566532,0.8126870818984501,1.2807950973510742,574.2148968217858,0.0,,,2026,Evan Williams,JVST,sa3071614,/players/evan-williams/sa3071614/stats/batting,,110,Jacksonville State University ,2026-02-23T18:10:58.685987
1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.14285714,1.0,1.3429044036029074,1.1064968256114218,0.90615513920784,568.0462593509897,0.037995874881744385,,,2026,Jack Espiritu-Niswonger,DART,sa3074741,/players/jack-espiritu-niswonger/sa3074741/stats/batting,,58,Dartmouth College ,2026-02-23T18:10:58.685987
1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.14285714,1.0,1.0034568732972928,0.8261912292238065,1.2805418968200684,566.0752135824497,0.0,,,2026,Ty Householder,MRSH,sa3070372,/players/ty-householder/sa3070372/stats/batting,,140,Marshall University ,2026-02-23T18:10:58.685987
