Player,UPID,Team,Season,Age,Age_Bin,Has_Prior_Data,Prior_PA,Obs_2026_PA,Changed_Team,K%_mean,K%_std,K%_p25,K%_p75,BB%_mean,BB%_std,BB%_p25,BB%_p75,ISO_mean,ISO_std,ISO_p25,ISO_p75,BABIP_mean,BABIP_std,BABIP_p25,BABIP_p75,K%_p10,K%_p90,K%_p5,K%_p95,BB%_p10,BB%_p90,BB%_p5,BB%_p95,ISO_p10,ISO_p90,ISO_p5,ISO_p95,BABIP_p10,BABIP_p90,BABIP_p5,BABIP_p95
Brayden Gutierrez,sa3074755,SMC,2026,,21,True,1.0,1.0,False,0.1595926949795155,0.11042186323726871,0.0744173110885654,0.22177023558262898,0.1036862409961331,0.09191666404670586,0.03385009025338957,0.14785729905767597,0.1942428270603965,0.02657493336535455,0.17631830689332098,0.21216734722747202,0.3374015188838386,0.016614158564188495,0.32619543922416105,0.3486075985435162,0.037783108043371025,0.31420171245642814,0.023498313028507672,0.374375300210286,0.012904704623185825,0.23162521710532016,0.006449515796524272,0.28928323428264757,0.16018567960178293,0.22829997451901007,0.15053095152839938,0.23795470259239362,0.31610961796569664,0.3586934198019806,0.31007365991078634,0.3647293778568909
Jake Vrlak,sa3066101,M-OH,2026,,21,True,20.0,1.0,False,0.2445489738383788,0.09860734819233802,0.17170971669970103,0.307315537300601,0.126347207669545,0.08578406642403699,0.06103490392979062,0.17341987424274735,0.1743972525872676,0.02657493336535455,0.15647273242019208,0.19232177275434312,0.3524584447352113,0.016614158564188495,0.34125236507553375,0.3636645243948889,0.12402433670776011,0.37817997038908135,0.09990637858251943,0.4222019616818156,0.03245670684881812,0.2450594096427534,0.020943791994741917,0.29278566894389885,0.14034010512865402,0.20845440004588117,0.13068537705527047,0.21810912811926472,0.33116654381706934,0.3737503456533533,0.32513058576215903,0.3797863037082636
Seth Giamportone,sa3073719,MEM,2026,,21,True,1.0,1.0,False,0.1649550767471558,0.1119029203463657,0.07863101579503831,0.22858863228961596,0.10482908391644896,0.09236289449856674,0.03460046790645489,0.14943182234186358,0.1849648599930415,0.02657493336535455,0.16704033982596597,0.202889380160117,0.3277935723634454,0.016614158564188495,0.31658749270376785,0.338999652023123,0.04062980519621597,0.32160639881707714,0.025602933681513045,0.3819071517564104,0.013308385488595368,0.23343689684219174,0.006697071449274357,0.29117402346628496,0.15090771253442792,0.21902200745165507,0.14125298446104437,0.22867673552503862,0.30650167144530344,0.3490854732815874,0.30046571339039313,0.3551214313364977
Jack Malec,sa3065087,MERC,2026,,21,True,65.0,1.0,False,0.32070868539375924,0.060509687328707255,0.27842189453368776,0.3607796403769897,0.0899313263797178,0.04195329787370265,0.05900569662477835,0.11445352182672412,0.1625011628949428,0.017619009256962727,0.15061732174251155,0.17438500404737403,0.3327483883965468,0.015359795026120716,0.3223883640863156,0.343108412706778,0.24418354654075644,0.3999231575425622,0.2247014955381149,0.4237446942691371,0.04120054100477823,0.14658627168518196,0.032528342333076755,0.16783068364619083,0.1399214939983374,0.1850808317915482,0.1335204716153361,0.1914818541745495,0.31306401903437764,0.35243275775871596,0.307483773838601,0.3580130029544926
Harley Goodner,sa3074097,DUKE,2026,20.0,<=20,True,1.0,1.0,False,0.17654135540107704,0.11496027188643264,0.08788245726666509,0.24319178785260742,0.10446837755412355,0.09222242659872658,0.034363176643677565,0.14893522017139493,0.18365665151472385,0.02657493336535455,0.16573213134764833,0.20158117168179937,0.330524959071214,0.016614158564188495,0.3193188794115364,0.34173103873089156,0.04700501428116438,0.3373645503252907,0.030391500638736167,0.3978872275212047,0.013180415377218447,0.23286579283617334,0.0066184335187796685,0.29057811043398063,0.14959950405611028,0.21771379897333742,0.13994477598272673,0.22736852704672098,0.309233058153072,0.35181685998935597,0.3031971000981617,0.3578528180442663
Trevor Johnson,sa3074113,DUKE,2026,20.0,<=20,True,1.0,1.0,False,0.17654135540107704,0.11496027188643264,0.08788245726666509,0.24319178785260742,0.10446837755412355,0.09222242659872658,0.034363176643677565,0.14893522017139493,0.18365665151472385,0.02657493336535455,0.16573213134764833,0.20158117168179937,0.330524959071214,0.016614158564188495,0.3193188794115364,0.34173103873089156,0.04700501428116438,0.3373645503252907,0.030391500638736167,0.3978872275212047,0.013180415377218447,0.23286579283617334,0.0066184335187796685,0.29057811043398063,0.14959950405611028,0.21771379897333742,0.13994477598272673,0.22736852704672098,0.309233058153072,0.35181685998935597,0.3031971000981617,0.3578528180442663
Aukai Kea,sa3073968,VAN,2026,,21,True,1.0,1.0,False,0.1746235898778218,0.11446722108653246,0.08633788927577969,0.24078638581072284,0.10688965928391754,0.09315883797534655,0.035963940413804206,0.15226257854434927,0.20156935509394322,0.02657493336535455,0.1836448349268677,0.21949387526101874,0.3341560252431706,0.016614158564188495,0.32294994558349305,0.3453621049028482,0.045929352445618785,0.3347780664348762,0.029576775627095223,0.39526879223624,0.014049220135160126,0.2366871763701993,0.007155164503433897,0.29456325300994984,0.16751220763532965,0.2356265025525568,0.1578574795619461,0.24528123062594034,0.31286412432502864,0.3554479261613126,0.30682816627011833,0.3614838842162229
Luke Becker,sa3074207,LEM,2026,,21,True,2.0,2.0,False,0.15322841640986998,0.10860665843240896,0.06947647478409481,0.21362566216340537,0.16724139421086345,0.11252139605558258,0.08044105046756136,0.2314839635508893,0.17759101555980986,0.02657493336535455,0.15966649539273434,0.19551553572688538,0.32472183362243107,0.016614158564188495,0.3135157539627535,0.33592791328210864,0.03449495708692648,0.3053156600253566,0.021096443754300795,0.3653168204041373,0.041863973581290966,0.3247414704156554,0.026522133125972895,0.38509161176289,0.14353386810119628,0.21164816301842343,0.13387914002781273,0.22130289109180698,0.3034299327042891,0.34601373454057305,0.2973939746493788,0.35204969259548335
Will Bartoli,sa3074710,LIU,2026,,21,True,2.0,2.0,False,0.15322841640986998,0.10860665843240896,0.06947647478409481,0.21362566216340537,0.16724139421086345,0.11252139605558258,0.08044105046756136,0.2314839635508893,0.1842745484034586,0.02657493336535455,0.1663500282363831,0.20219906857053413,0.32961011928986556,0.016614158564188495,0.318404039630188,0.3408161989495431,0.03449495708692648,0.3053156600253566,0.021096443754300795,0.3653168204041373,0.041863973581290966,0.3247414704156554,0.026522133125972895,0.38509161176289,0.15021740094484504,0.21833169586207218,0.14056267287146149,0.22798642393545573,0.3083182183717236,0.35090202020800754,0.30228226031681327,0.35693797826291784
Tyler Butina,sa3069717,MUR,2026,,21,True,2.0,2.0,False,0.15281654424496233,0.10848696949403219,0.06915906384304717,0.2130965543674504,0.0998031258767628,0.09037420284672441,0.031332813138013525,0.1424825737762161,0.17624693840155994,0.02657493336535455,0.15832241823448442,0.19417145856863546,0.36198858618855717,0.016614158564188495,0.3507825065288796,0.37319466584823474,0.03428564942267626,0.30473679076079696,0.02094468142696783,0.36472595740546443,0.011572404705183809,0.2254198059853734,0.005643495106753686,0.28279768793346577,0.14218979094294637,0.21030408586017352,0.13253506286956282,0.21995881393355707,0.3406966852704152,0.38328048710669915,0.3346607272155049,0.38931644516160946
