Player,UPID,Team,Season,Age,Age_Bin,Has_Prior_Data,Prior_PA,Obs_2026_PA,Changed_Team,K%_mean,K%_std,K%_p25,K%_p75,BB%_mean,BB%_std,BB%_p25,BB%_p75,ISO_mean,ISO_std,ISO_p25,ISO_p75,BABIP_mean,BABIP_std,BABIP_p25,BABIP_p75,K%_p10,K%_p90,K%_p5,K%_p95,BB%_p10,BB%_p90,BB%_p5,BB%_p95,ISO_p10,ISO_p90,ISO_p5,ISO_p95,BABIP_p10,BABIP_p90,BABIP_p5,BABIP_p95
Brayden Gutierrez,sa3074755,SMC,2026,,21,True,1.0,1.0,False,0.1595926949795155,0.1104218632372687,0.0744173110885654,0.2217702355826289,0.1036862409961331,0.0919166640467058,0.0338500902533895,0.1478572990576759,0.1942428270603965,0.0265749333653545,0.1763183068933209,0.212167347227472,0.3374015188838386,0.0166141585641884,0.326195439224161,0.3486075985435162,0.037783108043371,0.3142017124564281,0.0234983130285076,0.374375300210286,0.0129047046231858,0.2316252171053201,0.0064495157965242,0.2892832342826475,0.1601856796017829,0.22829997451901,0.1505309515283993,0.2379547025923936,0.3161096179656966,0.3586934198019806,0.3100736599107863,0.3647293778568909
Jake Vrlak,sa3066101,M-OH,2026,,21,True,20.0,1.0,False,0.2445489738383788,0.098607348192338,0.171709716699701,0.307315537300601,0.126347207669545,0.0857840664240369,0.0610349039297906,0.1734198742427473,0.1743972525872676,0.0265749333653545,0.156472732420192,0.1923217727543431,0.3524584447352113,0.0166141585641884,0.3412523650755337,0.3636645243948889,0.1240243367077601,0.3781799703890813,0.0999063785825194,0.4222019616818156,0.0324567068488181,0.2450594096427534,0.0209437919947419,0.2927856689438988,0.140340105128654,0.2084544000458811,0.1306853770552704,0.2181091281192647,0.3311665438170693,0.3737503456533533,0.325130585762159,0.3797863037082636
Seth Giamportone,sa3073719,MEM,2026,,21,True,1.0,1.0,False,0.1649550767471558,0.1119029203463657,0.0786310157950383,0.2285886322896159,0.1048290839164489,0.0923628944985667,0.0346004679064548,0.1494318223418635,0.1849648599930415,0.0265749333653545,0.1670403398259659,0.202889380160117,0.3277935723634454,0.0166141585641884,0.3165874927037678,0.338999652023123,0.0406298051962159,0.3216063988170771,0.025602933681513,0.3819071517564104,0.0133083854885953,0.2334368968421917,0.0066970714492743,0.2911740234662849,0.1509077125344279,0.219022007451655,0.1412529844610443,0.2286767355250386,0.3065016714453034,0.3490854732815874,0.3004657133903931,0.3551214313364977
Jack Malec,sa3065087,MERC,2026,,21,True,65.0,1.0,False,0.3207086853937592,0.0605096873287072,0.2784218945336877,0.3607796403769897,0.0899313263797178,0.0419532978737026,0.0590056966247783,0.1144535218267241,0.1625011628949428,0.0176190092569627,0.1506173217425115,0.174385004047374,0.3327483883965468,0.0153597950261207,0.3223883640863156,0.343108412706778,0.2441835465407564,0.3999231575425622,0.2247014955381149,0.4237446942691371,0.0412005410047782,0.1465862716851819,0.0325283423330767,0.1678306836461908,0.1399214939983374,0.1850808317915482,0.1335204716153361,0.1914818541745495,0.3130640190343776,0.3524327577587159,0.307483773838601,0.3580130029544926
Harley Goodner,sa3074097,DUKE,2026,20.0,<=20,True,1.0,1.0,False,0.176541355401077,0.1149602718864326,0.087882457266665,0.2431917878526074,0.1044683775541235,0.0922224265987265,0.0343631766436775,0.1489352201713949,0.1836566515147238,0.0265749333653545,0.1657321313476483,0.2015811716817993,0.330524959071214,0.0166141585641884,0.3193188794115364,0.3417310387308915,0.0470050142811643,0.3373645503252907,0.0303915006387361,0.3978872275212047,0.0131804153772184,0.2328657928361733,0.0066184335187796,0.2905781104339806,0.1495995040561102,0.2177137989733374,0.1399447759827267,0.2273685270467209,0.309233058153072,0.3518168599893559,0.3031971000981617,0.3578528180442663
Trevor Johnson,sa3074113,DUKE,2026,20.0,<=20,True,1.0,1.0,False,0.176541355401077,0.1149602718864326,0.087882457266665,0.2431917878526074,0.1044683775541235,0.0922224265987265,0.0343631766436775,0.1489352201713949,0.1836566515147238,0.0265749333653545,0.1657321313476483,0.2015811716817993,0.330524959071214,0.0166141585641884,0.3193188794115364,0.3417310387308915,0.0470050142811643,0.3373645503252907,0.0303915006387361,0.3978872275212047,0.0131804153772184,0.2328657928361733,0.0066184335187796,0.2905781104339806,0.1495995040561102,0.2177137989733374,0.1399447759827267,0.2273685270467209,0.309233058153072,0.3518168599893559,0.3031971000981617,0.3578528180442663
Aukai Kea,sa3073968,VAN,2026,,21,True,1.0,1.0,False,0.1746235898778218,0.1144672210865324,0.0863378892757796,0.2407863858107228,0.1068896592839175,0.0931588379753465,0.0359639404138042,0.1522625785443492,0.2015693550939432,0.0265749333653545,0.1836448349268677,0.2194938752610187,0.3341560252431706,0.0166141585641884,0.322949945583493,0.3453621049028482,0.0459293524456187,0.3347780664348762,0.0295767756270952,0.39526879223624,0.0140492201351601,0.2366871763701993,0.0071551645034338,0.2945632530099498,0.1675122076353296,0.2356265025525568,0.1578574795619461,0.2452812306259403,0.3128641243250286,0.3554479261613126,0.3068281662701183,0.3614838842162229
Luke Becker,sa3074207,LEM,2026,,21,True,2.0,2.0,False,0.1532284164098699,0.1086066584324089,0.0694764747840948,0.2136256621634053,0.1672413942108634,0.1125213960555825,0.0804410504675613,0.2314839635508893,0.1775910155598098,0.0265749333653545,0.1596664953927343,0.1955155357268853,0.324721833622431,0.0166141585641884,0.3135157539627535,0.3359279132821086,0.0344949570869264,0.3053156600253566,0.0210964437543007,0.3653168204041373,0.0418639735812909,0.3247414704156554,0.0265221331259728,0.38509161176289,0.1435338681011962,0.2116481630184234,0.1338791400278127,0.2213028910918069,0.3034299327042891,0.346013734540573,0.2973939746493788,0.3520496925954833
Will Bartoli,sa3074710,LIU,2026,,21,True,2.0,2.0,False,0.1532284164098699,0.1086066584324089,0.0694764747840948,0.2136256621634053,0.1672413942108634,0.1125213960555825,0.0804410504675613,0.2314839635508893,0.1842745484034586,0.0265749333653545,0.1663500282363831,0.2021990685705341,0.3296101192898655,0.0166141585641884,0.318404039630188,0.3408161989495431,0.0344949570869264,0.3053156600253566,0.0210964437543007,0.3653168204041373,0.0418639735812909,0.3247414704156554,0.0265221331259728,0.38509161176289,0.150217400944845,0.2183316958620721,0.1405626728714614,0.2279864239354557,0.3083182183717236,0.3509020202080075,0.3022822603168132,0.3569379782629178
Tyler Butina,sa3069717,MUR,2026,,21,True,2.0,2.0,False,0.1528165442449623,0.1084869694940321,0.0691590638430471,0.2130965543674504,0.0998031258767628,0.0903742028467244,0.0313328131380135,0.1424825737762161,0.1762469384015599,0.0265749333653545,0.1583224182344844,0.1941714585686354,0.3619885861885571,0.0166141585641884,0.3507825065288796,0.3731946658482347,0.0342856494226762,0.3047367907607969,0.0209446814269678,0.3647259574054644,0.0115724047051838,0.2254198059853734,0.0056434951067536,0.2827976879334657,0.1421897909429463,0.2103040858601735,0.1325350628695628,0.219958813933557,0.3406966852704152,0.3832804871066991,0.3346607272155049,0.3893164451616094
