Season,Name,Conference,W,L,T,PCT
2022,Delaware St.,Northeast,25.0,23.0,0.0,0.521
2023,Delaware St.,Northeast,13.0,35.0,0.0,0.271
2024,Delaware St.,Northeast,22.0,27.0,0.0,0.449
2025,Delaware St.,Northeast,,,,
2017,Duke,ACC,30.0,28.0,0.0,0.517
2018,Duke,ACC,45.0,18.0,0.0,0.714
2019,Duke,ACC,35.0,27.0,0.0,0.565
2021,Duke,ACC,33.0,22.0,0.0,0.6
2022,Duke,ACC,22.0,32.0,0.0,0.407
2023,Duke,ACC,39.0,24.0,0.0,0.619
2024,Duke,ACC,40.0,20.0,0.0,0.667
2025,Duke,ACC,41.0,21.0,0.0,0.6612903225806451
2017,ETSU,Southern Conference,30.0,29.0,0.0,0.508
2018,ETSU,Southern Conference,28.0,25.0,0.0,0.528
2019,ETSU,Southern Conference,34.0,21.0,0.0,0.618
2021,ETSU,Southern Conference,24.0,25.0,0.0,0.49
2022,ETSU,Southern Conference,30.0,21.0,0.0,0.588
2023,ETSU,Southern Conference,26.0,29.0,0.0,0.473
2024,ETSU,Southern Conference,36.0,20.0,0.0,0.643
2025,ETSU,Southern Conference,41.0,17.0,0.0,0.7068965517241379
2017,East Carolina,American Athletic,32.0,28.0,0.0,0.533
2018,East Carolina,American Athletic,44.0,18.0,0.0,0.71
2019,East Carolina,American Athletic,47.0,18.0,0.0,0.723
2021,East Carolina,American Athletic,44.0,17.0,0.0,0.721
2022,East Carolina,American Athletic,46.0,21.0,0.0,0.687
2023,East Carolina,American Athletic,47.0,19.0,0.0,0.712
2024,East Carolina,American Athletic,46.0,17.0,0.0,0.73
2025,East Carolina,American Athletic,35.0,27.0,0.0,0.5645161290322581
2017,Eastern Ill.,Ohio Valley,21.0,35.0,0.0,0.375
2018,Eastern Ill.,Ohio Valley,23.0,31.0,0.0,0.426
2019,Eastern Ill.,Ohio Valley,26.0,30.0,0.0,0.464
2021,Eastern Ill.,Ohio Valley,25.0,23.0,0.0,0.521
2022,Eastern Ill.,Ohio Valley,33.0,20.0,0.0,0.623
2023,Eastern Ill.,Ohio Valley,38.0,21.0,0.0,0.644
2024,Eastern Ill.,Ohio Valley,20.0,33.0,0.0,0.377
2025,Eastern Ill.,Ohio Valley,31.0,22.0,0.0,0.5849056603773585
2017,Eastern Ky.,Atlantic Sun,24.0,32.0,0.0,0.429
2018,Eastern Ky.,Atlantic Sun,30.0,31.0,0.0,0.492
2019,Eastern Ky.,Atlantic Sun,32.0,27.0,0.0,0.542
2021,Eastern Ky.,Atlantic Sun,21.0,32.0,0.0,0.396
2022,Eastern Ky.,Atlantic Sun,38.0,20.0,0.0,0.655
2023,Eastern Ky.,Atlantic Sun,29.0,30.0,0.0,0.492
2024,Eastern Ky.,Atlantic Sun,21.0,37.0,0.0,0.362
2025,Eastern Ky.,Atlantic Sun,,,,
2017,Eastern Mich.,Mid-American,27.0,35.0,0.0,0.435
2018,Eastern Mich.,Mid-American,22.0,34.0,0.0,0.393
2019,Eastern Mich.,Mid-American,11.0,43.0,1.0,0.209
2021,Eastern Mich.,Mid-American,21.0,30.0,0.0,0.412
2022,Eastern Mich.,Mid-American,22.0,34.0,0.0,0.393
2023,Eastern Mich.,Mid-American,27.0,26.0,0.0,0.509
2024,Eastern Mich.,Mid-American,14.0,38.0,0.0,0.269
2025,Eastern Mich.,Mid-American,21.0,31.0,0.0,0.40384615384615385
2017,Elon,Coastal Athletic,24.0,32.0,0.0,0.429
2018,Elon,Coastal Athletic,36.0,23.0,0.0,0.61
2019,Elon,Coastal Athletic,33.0,24.0,0.0,0.579
2021,Elon,Coastal Athletic,22.0,22.0,0.0,0.5
2022,Elon,Coastal Athletic,27.0,28.0,0.0,0.491
2023,Elon,Coastal Athletic,33.0,22.0,0.0,0.6
2024,Elon,Coastal Athletic,21.0,32.0,0.0,0.396
2025,Elon,Coastal Athletic,25.0,32.0,0.0,0.43859649122807015
2017,Evansville,Missouri Valley,18.0,39.0,0.0,0.316
2018,Evansville,Missouri Valley,12.0,39.0,0.0,0.235
2019,Evansville,Missouri Valley,24.0,29.0,0.0,0.453
2021,Evansville,Missouri Valley,28.0,27.0,0.0,0.509
2022,Evansville,Missouri Valley,32.0,24.0,0.0,0.571
2023,Evansville,Missouri Valley,37.0,24.0,0.0,0.607
2024,Evansville,Missouri Valley,39.0,26.0,0.0,0.6
2025,Evansville,Missouri Valley,17.0,37.0,0.0,0.3148148148148148
2017,FDU,Northeast,12.0,34.0,0.0,0.261
2018,FDU,Northeast,10.0,37.0,0.0,0.213
2019,FDU,Northeast,15.0,37.0,1.0,0.292
2021,FDU,Northeast,9.0,28.0,0.0,0.243
2022,FDU,Northeast,24.0,30.0,0.0,0.444
2023,FDU,Northeast,31.0,21.0,1.0,0.594
2024,FDU,Northeast,26.0,30.0,0.0,0.464
2025,FDU,Northeast,16.0,37.0,0.0,0.3018867924528302
2017,FGCU,Atlantic Sun,43.0,20.0,0.0,0.683
2018,FGCU,Atlantic Sun,32.0,21.0,0.0,0.604
2019,FGCU,Atlantic Sun,34.0,21.0,0.0,0.618
2021,FGCU,Atlantic Sun,28.0,20.0,0.0,0.583
2022,FGCU,Atlantic Sun,35.0,23.0,0.0,0.603
2023,FGCU,Atlantic Sun,42.0,18.0,0.0,0.7
2024,FGCU,Atlantic Sun,30.0,26.0,0.0,0.536
2025,FGCU,Atlantic Sun,31.0,29.0,0.0,0.5166666666666667
2017,FIU,Conference USA,31.0,27.0,0.0,0.534
2018,FIU,Conference USA,26.0,28.0,0.0,0.481
2019,FIU,Conference USA,23.0,32.0,0.0,0.418
2021,FIU,Conference USA,20.0,31.0,0.0,0.392
2022,FIU,Conference USA,16.0,34.0,0.0,0.32
2023,FIU,Conference USA,21.0,34.0,0.0,0.382
2024,FIU,Conference USA,27.0,30.0,0.0,0.474
2025,FIU,Conference USA,31.0,27.0,0.0,0.5344827586206896
2017,Fairfield,Metro Atlantic,31.0,24.0,0.0,0.564
2018,Fairfield,Metro Atlantic,22.0,29.0,0.0,0.431
2019,Fairfield,Metro Atlantic,35.0,25.0,0.0,0.583
2021,Fairfield,Metro Atlantic,39.0,5.0,0.0,0.886
2022,Fairfield,Metro Atlantic,31.0,21.0,0.0,0.596
2023,Fairfield,Metro Atlantic,37.0,18.0,0.0,0.673
2024,Fairfield,Metro Atlantic,34.0,24.0,0.0,0.586
2025,Fairfield,Metro Atlantic,39.0,19.0,0.0,0.6724137931034483
2017,Fla. Atlantic,American Athletic,35.0,21.0,1.0,0.623
2018,Fla. Atlantic,American Athletic,43.0,19.0,1.0,0.69
2019,Fla. Atlantic,American Athletic,41.0,21.0,0.0,0.661
2021,Fla. Atlantic,American Athletic,32.0,25.0,0.0,0.561
2022,Fla. Atlantic,American Athletic,35.0,23.0,0.0,0.603
2023,Fla. Atlantic,American Athletic,34.0,25.0,0.0,0.576
2024,Fla. Atlantic,American Athletic,28.0,29.0,0.0,0.491
2025,Fla. Atlantic,American Athletic,37.0,21.0,0.0,0.6379310344827587
2017,Florida,SEC,52.0,19.0,0.0,0.732
2018,Florida,SEC,49.0,21.0,0.0,0.7
2019,Florida,SEC,34.0,26.0,0.0,0.567
2021,Florida,SEC,38.0,22.0,0.0,0.633
2022,Florida,SEC,42.0,24.0,0.0,0.636
2023,Florida,SEC,54.0,16.0,0.0,0.771
2024,Florida,SEC,36.0,30.0,0.0,0.545
2025,Florida,SEC,39.0,22.0,0.0,0.639344262295082
2017,Florida A&M,SWAC,27.0,26.0,0.0,0.509
2018,Florida A&M,SWAC,25.0,30.0,0.0,0.455
2019,Florida A&M,SWAC,27.0,34.0,0.0,0.443
2021,Florida A&M,SWAC,22.0,34.0,0.0,0.393
2022,Florida A&M,SWAC,29.0,30.0,0.0,0.492
2023,Florida A&M,SWAC,29.0,30.0,0.0,0.492
2024,Florida A&M,SWAC,29.0,27.0,0.0,0.518
2025,Florida A&M,SWAC,33.0,25.0,0.0,0.5689655172413793
2017,Florida St.,ACC,46.0,23.0,0.0,0.667
2018,Florida St.,ACC,43.0,19.0,0.0,0.694
2019,Florida St.,ACC,42.0,23.0,0.0,0.646
2021,Florida St.,ACC,31.0,24.0,0.0,0.564
2022,Florida St.,ACC,34.0,25.0,0.0,0.576
2023,Florida St.,ACC,23.0,31.0,0.0,0.426
2024,Florida St.,ACC,49.0,17.0,0.0,0.742
2025,Florida St.,ACC,42.0,16.0,0.0,0.7241379310344828
2017,Fordham,Atlantic 10,27.0,24.0,0.0,0.529
2018,Fordham,Atlantic 10,35.0,19.0,1.0,0.645
2019,Fordham,Atlantic 10,38.0,24.0,0.0,0.613
2021,Fordham,Atlantic 10,24.0,19.0,0.0,0.558
2022,Fordham,Atlantic 10,16.0,36.0,0.0,0.308
2023,Fordham,Atlantic 10,19.0,36.0,0.0,0.345
2024,Fordham,Atlantic 10,19.0,33.0,0.0,0.365
2025,Fordham,Atlantic 10,25.0,33.0,0.0,0.43103448275862066
2017,Fresno St.,Mountain West,35.0,25.0,0.0,0.583
2018,Fresno St.,Mountain West,30.0,24.0,0.0,0.556
2019,Fresno St.,Mountain West,40.0,16.0,1.0,0.711
2021,Fresno St.,Mountain West,20.0,25.0,0.0,0.444
2022,Fresno St.,Mountain West,27.0,28.0,0.0,0.491
2023,Fresno St.,Mountain West,30.0,27.0,0.0,0.526
2024,Fresno St.,Mountain West,33.0,29.0,0.0,0.532
2025,Fresno St.,Mountain West,31.0,29.0,0.0,0.5166666666666667
2017,Furman,Southern Conference,33.0,28.0,0.0,0.541
2018,Furman,Southern Conference,24.0,28.0,0.0,0.462
2019,Furman,Southern Conference,26.0,31.0,0.0,0.456
2017,Ga. Southern,Sun Belt,38.0,21.0,0.0,0.644
2018,Ga. Southern,Sun Belt,30.0,26.0,0.0,0.536
2019,Ga. Southern,Sun Belt,35.0,24.0,0.0,0.593
2021,Ga. Southern,Sun Belt,34.0,23.0,0.0,0.596
2022,Ga. Southern,Sun Belt,41.0,20.0,0.0,0.672
2023,Ga. Southern,Sun Belt,27.0,29.0,0.0,0.482
2024,Ga. Southern,Sun Belt,33.0,26.0,0.0,0.559
2025,Ga. Southern,Sun Belt,28.0,31.0,0.0,0.4745762711864407
2017,Gardner-Webb,Big South,25.0,30.0,0.0,0.455
2018,Gardner-Webb,Big South,31.0,27.0,0.0,0.534
2019,Gardner-Webb,Big South,25.0,26.0,0.0,0.49
2021,Gardner-Webb,Big South,29.0,23.0,0.0,0.558
2022,Gardner-Webb,Big South,24.0,36.0,0.0,0.4
2023,Gardner-Webb,Big South,31.0,25.0,0.0,0.554
2024,Gardner-Webb,Big South,22.0,31.0,0.0,0.415
2025,Gardner-Webb,Big South,17.0,36.0,0.0,0.32075471698113206
2017,George Mason,Atlantic 10,26.0,33.0,0.0,0.441
2018,George Mason,Atlantic 10,29.0,27.0,0.0,0.518
2019,George Mason,Atlantic 10,19.0,35.0,0.0,0.352
2021,George Mason,Atlantic 10,14.0,29.0,0.0,0.326
2022,George Mason,Atlantic 10,23.0,33.0,0.0,0.411
2023,George Mason,Atlantic 10,36.0,27.0,0.0,0.571
2024,George Mason,Atlantic 10,21.0,32.0,0.0,0.396
2025,George Mason,Atlantic 10,40.0,21.0,0.0,0.6557377049180327
2017,George Washington,Atlantic 10,31.0,27.0,0.0,0.534
2018,George Washington,Atlantic 10,32.0,26.0,0.0,0.552
2019,George Washington,Atlantic 10,30.0,24.0,0.0,0.556
2021,George Washington,Atlantic 10,26.0,18.0,0.0,0.591
2022,George Washington,Atlantic 10,22.0,30.0,0.0,0.423
2023,George Washington,Atlantic 10,21.0,34.0,0.0,0.382
2024,George Washington,Atlantic 10,31.0,26.0,0.0,0.544
2025,George Washington,Atlantic 10,27.0,27.0,0.0,0.5
2017,Georgetown,Big East,27.0,28.0,0.0,0.491
2018,Georgetown,Big East,25.0,30.0,0.0,0.455
2019,Georgetown,Big East,22.0,34.0,0.0,0.393
2021,Georgetown,Big East,6.0,25.0,0.0,0.194
2022,Georgetown,Big East,32.0,24.0,0.0,0.571
2023,Georgetown,Big East,30.0,27.0,0.0,0.526
2024,Georgetown,Big East,36.0,21.0,0.0,0.632
2025,Georgetown,Big East,16.0,40.0,0.0,0.2857142857142857
2017,Georgia,SEC,25.0,32.0,0.0,0.439
2018,Georgia,SEC,39.0,21.0,0.0,0.65
2019,Georgia,SEC,46.0,17.0,0.0,0.73
2021,Georgia,SEC,31.0,25.0,0.0,0.554
2022,Georgia,SEC,36.0,23.0,0.0,0.61
2023,Georgia,SEC,29.0,27.0,0.0,0.518
2024,Georgia,SEC,43.0,17.0,0.0,0.717
2025,Georgia,SEC,43.0,17.0,0.0,0.7166666666666667
2017,Georgia St.,Sun Belt,22.0,33.0,0.0,0.4
2018,Georgia St.,Sun Belt,26.0,29.0,0.0,0.473
2019,Georgia St.,Sun Belt,15.0,41.0,0.0,0.268
2021,Georgia St.,Sun Belt,18.0,37.0,0.0,0.327
2022,Georgia St.,Sun Belt,30.0,27.0,0.0,0.526
2023,Georgia St.,Sun Belt,31.0,28.0,0.0,0.525
2024,Georgia St.,Sun Belt,25.0,32.0,0.0,0.439
2025,Georgia St.,Sun Belt,26.0,30.0,0.0,0.4642857142857143
2017,Georgia Tech,ACC,27.0,28.0,0.0,0.491
2018,Georgia Tech,ACC,31.0,27.0,0.0,0.534
2019,Georgia Tech,ACC,43.0,19.0,0.0,0.694
2021,Georgia Tech,ACC,31.0,25.0,0.0,0.554
2022,Georgia Tech,ACC,36.0,24.0,0.0,0.6
2023,Georgia Tech,ACC,30.0,27.0,0.0,0.526
2024,Georgia Tech,ACC,33.0,25.0,0.0,0.569
2025,Georgia Tech,ACC,41.0,19.0,0.0,0.6833333333333333
2017,Gonzaga,West Coast,33.0,20.0,0.0,0.623
2018,Gonzaga,West Coast,33.0,24.0,0.0,0.579
2019,Gonzaga,West Coast,31.0,24.0,0.0,0.564
2021,Gonzaga,West Coast,34.0,19.0,0.0,0.642
2022,Gonzaga,West Coast,37.0,19.0,0.0,0.661
2023,Gonzaga,West Coast,18.0,34.0,0.0,0.346
2024,Gonzaga,West Coast,21.0,32.0,0.0,0.396
2025,Gonzaga,West Coast,26.0,27.0,0.0,0.49056603773584906
2017,Grambling,SWAC,22.0,30.0,0.0,0.423
2018,Grambling,SWAC,26.0,26.0,0.0,0.5
2019,Grambling,SWAC,27.0,25.0,0.0,0.519
2021,Grambling,SWAC,17.0,27.0,0.0,0.386
2022,Grambling,SWAC,26.0,31.0,0.0,0.456
2023,Grambling,SWAC,29.0,26.0,0.0,0.527
2024,Grambling,SWAC,26.0,28.0,0.0,0.481
2025,Grambling,SWAC,26.0,28.0,0.0,0.48148148148148145
2018,Grand Canyon,Mountain West,33.0,24.0,0.0,0.579
2019,Grand Canyon,Mountain West,36.0,24.0,0.0,0.6
2021,Grand Canyon,Mountain West,39.0,21.0,1.0,0.648
2022,Grand Canyon,Mountain West,41.0,21.0,0.0,0.661
2023,Grand Canyon,Mountain West,37.0,21.0,0.0,0.638
2024,Grand Canyon,Mountain West,36.0,25.0,0.0,0.59
2025,Grand Canyon,Mountain West,31.0,27.0,0.0,0.5344827586206896
2017,Hartford,America East,20.0,30.0,0.0,0.4
2018,Hartford,America East,26.0,31.0,0.0,0.456
2019,Hartford,America East,23.0,34.0,0.0,0.404
2021,Hartford,America East,18.0,20.0,0.0,0.474
2022,Hartford,America East,13.0,37.0,0.0,0.26
2023,Hartford,America East,4.0,33.0,0.0,0.108
2017,Harvard,Ivy League,19.0,23.0,0.0,0.452
2018,Harvard,Ivy League,22.0,20.0,0.0,0.524
2019,Harvard,Ivy League,27.0,16.0,0.0,0.628
2022,Harvard,Ivy League,19.0,22.0,0.0,0.463
2023,Harvard,Ivy League,20.0,24.0,0.0,0.455
2024,Harvard,Ivy League,13.0,26.0,0.0,0.333
2025,Harvard,Ivy League,14.0,28.0,0.0,0.3333333333333333
2017,Hawaii,Big West,28.0,23.0,0.0,0.549
2018,Hawaii,Big West,27.0,24.0,0.0,0.529
2019,Hawaii,Big West,20.0,30.0,0.0,0.4
2021,Hawaii,Big West,24.0,26.0,0.0,0.48
2022,Hawaii,Big West,28.0,24.0,0.0,0.538
2023,Hawaii,Big West,29.0,20.0,0.0,0.592
2024,Hawaii,Big West,37.0,16.0,0.0,0.698
2025,Hawaii,Big West,35.0,21.0,0.0,0.625
2017,High Point,Big South,30.0,23.0,0.0,0.566
2018,High Point,Big South,34.0,22.0,0.0,0.607
2019,High Point,Big South,27.0,27.0,0.0,0.5
2021,High Point,Big South,14.0,31.0,0.0,0.311
2022,High Point,Big South,23.0,33.0,0.0,0.411
2023,High Point,Big South,20.0,34.0,0.0,0.37
2024,High Point,Big South,35.0,27.0,0.0,0.565
2025,High Point,Big South,39.0,19.0,0.0,0.6724137931034483
2017,Hofstra,Coastal Athletic,14.0,37.0,0.0,0.275
2018,Hofstra,Coastal Athletic,23.0,23.0,0.0,0.5
2019,Hofstra,Coastal Athletic,18.0,31.0,1.0,0.37
2021,Hofstra,Coastal Athletic,17.0,22.0,0.0,0.436
2022,Hofstra,Coastal Athletic,30.0,23.0,0.0,0.566
2023,Hofstra,Coastal Athletic,26.0,26.0,0.0,0.5
2024,Hofstra,Coastal Athletic,24.0,33.0,0.0,0.421
2025,Hofstra,Coastal Athletic,18.0,36.0,0.0,0.3333333333333333
2017,Holy Cross,Patriot League,24.0,29.0,0.0,0.453
2018,Holy Cross,Patriot League,18.0,27.0,0.0,0.4
2019,Holy Cross,Patriot League,22.0,32.0,0.0,0.407
2021,Holy Cross,Patriot League,10.0,20.0,0.0,0.333
2022,Holy Cross,Patriot League,17.0,37.0,0.0,0.315
2023,Holy Cross,Patriot League,16.0,35.0,0.0,0.314
2024,Holy Cross,Patriot League,26.0,27.0,0.0,0.491
2025,Holy Cross,Patriot League,31.0,27.0,0.0,0.5344827586206896
2017,Houston,Big 12,42.0,21.0,0.0,0.667
2018,Houston,Big 12,38.0,25.0,0.0,0.603
2019,Houston,Big 12,32.0,24.0,0.0,0.571
2021,Houston,Big 12,19.0,34.0,0.0,0.358
2022,Houston,Big 12,37.0,24.0,0.0,0.607
2023,Houston,Big 12,36.0,23.0,0.0,0.61
2024,Houston,Big 12,26.0,28.0,0.0,0.481
2025,Houston,Big 12,30.0,25.0,0.0,0.5454545454545454
2017,Houston Christian,Southland,29.0,25.0,0.0,0.537
2018,Houston Christian,Southland,29.0,30.0,0.0,0.492
2019,Houston Christian,Southland,18.0,35.0,0.0,0.34
2021,Houston Christian,Southland,14.0,38.0,0.0,0.269
2022,Houston Christian,Southland,18.0,36.0,0.0,0.333
2023,Houston Christian,Southland,11.0,37.0,0.0,0.229
2024,Houston Christian,Southland,18.0,31.0,0.0,0.367
2025,Houston Christian,Southland,32.0,25.0,0.0,0.5614035087719298
2017,Illinois,Big Ten,23.0,28.0,0.0,0.451
2018,Illinois,Big Ten,33.0,20.0,0.0,0.623
2019,Illinois,Big Ten,36.0,21.0,0.0,0.632
2021,Illinois,Big Ten,22.0,22.0,0.0,0.5
2022,Illinois,Big Ten,31.0,22.0,0.0,0.585
2023,Illinois,Big Ten,25.0,27.0,0.0,0.481
2024,Illinois,Big Ten,35.0,21.0,0.0,0.625
2025,Illinois,Big Ten,30.0,24.0,0.0,0.5555555555555556
2017,Illinois St.,Missouri Valley,16.0,40.0,0.0,0.286
2018,Illinois St.,Missouri Valley,22.0,30.0,0.0,0.423
2019,Illinois St.,Missouri Valley,36.0,26.0,0.0,0.581
2021,Illinois St.,Missouri Valley,23.0,34.0,0.0,0.404
2022,Illinois St.,Missouri Valley,20.0,31.0,0.0,0.392
2023,Illinois St.,Missouri Valley,20.0,30.0,0.0,0.4
2024,Illinois St.,Missouri Valley,30.0,27.0,0.0,0.526
2025,Illinois St.,Missouri Valley,28.0,28.0,0.0,0.5
2017,Indiana,Big Ten,34.0,24.0,2.0,0.583
2018,Indiana,Big Ten,40.0,19.0,0.0,0.678
2019,Indiana,Big Ten,37.0,23.0,0.0,0.617
2021,Indiana,Big Ten,26.0,18.0,0.0,0.591
2022,Indiana,Big Ten,27.0,32.0,0.0,0.458
2023,Indiana,Big Ten,43.0,20.0,0.0,0.683
2024,Indiana,Big Ten,33.0,26.0,1.0,0.558
2025,Indiana,Big Ten,32.0,24.0,0.0,0.5714285714285714
2017,Indiana St.,Missouri Valley,29.0,26.0,0.0,0.527
2018,Indiana St.,Missouri Valley,31.0,24.0,0.0,0.564
2019,Indiana St.,Missouri Valley,43.0,18.0,0.0,0.705
2021,Indiana St.,Missouri Valley,31.0,21.0,0.0,0.596
2022,Indiana St.,Missouri Valley,26.0,22.0,1.0,0.541
2023,Indiana St.,Missouri Valley,45.0,17.0,0.0,0.726
2024,Indiana St.,Missouri Valley,44.0,15.0,0.0,0.746
2025,Indiana St.,Missouri Valley,24.0,31.0,0.0,0.43636363636363634
2017,Iona,Metro Atlantic,25.0,26.0,0.0,0.49
2018,Iona,Metro Atlantic,16.0,31.0,0.0,0.34
2019,Iona,Metro Atlantic,14.0,38.0,0.0,0.269
2021,Iona,Metro Atlantic,3.0,11.0,0.0,0.214
2022,Iona,Metro Atlantic,6.0,41.0,0.0,0.128
2023,Iona,Metro Atlantic,13.0,38.0,0.0,0.255
2024,Iona,Metro Atlantic,12.0,38.0,0.0,0.24
2025,Iona,Metro Atlantic,19.0,33.0,0.0,0.36538461538461536
2017,Iowa,Big Ten,39.0,22.0,0.0,0.639
2018,Iowa,Big Ten,33.0,20.0,0.0,0.623
2019,Iowa,Big Ten,31.0,24.0,0.0,0.564
2021,Iowa,Big Ten,26.0,18.0,0.0,0.591
2022,Iowa,Big Ten,36.0,19.0,0.0,0.655
2023,Iowa,Big Ten,44.0,16.0,0.0,0.733
2024,Iowa,Big Ten,31.0,23.0,0.0,0.574
2025,Iowa,Big Ten,33.0,22.0,1.0,0.6
2017,Jackson St.,SWAC,38.0,17.0,1.0,0.688
2018,Jackson St.,SWAC,34.0,18.0,0.0,0.654
2019,Jackson St.,SWAC,31.0,24.0,0.0,0.564
2021,Jackson St.,SWAC,34.0,9.0,0.0,0.791
2022,Jackson St.,SWAC,29.0,27.0,0.0,0.518
2023,Jackson St.,SWAC,28.0,25.0,0.0,0.528
2024,Jackson St.,SWAC,36.0,20.0,0.0,0.643
2025,Jackson St.,SWAC,30.0,21.0,0.0,0.5882352941176471
2017,Jacksonville,Atlantic Sun,36.0,24.0,0.0,0.6
2018,Jacksonville,Atlantic Sun,40.0,21.0,0.0,0.656
2019,Jacksonville,Atlantic Sun,32.0,27.0,0.0,0.542
2021,Jacksonville,Atlantic Sun,16.0,34.0,0.0,0.32
2022,Jacksonville,Atlantic Sun,27.0,28.0,0.0,0.491
2023,Jacksonville,Atlantic Sun,34.0,24.0,0.0,0.586
2024,Jacksonville,Atlantic Sun,27.0,31.0,0.0,0.466
2025,Jacksonville,Atlantic Sun,30.0,26.0,0.0,0.5357142857142857
2017,Jacksonville St.,Conference USA,30.0,26.0,0.0,0.536
2018,Jacksonville St.,Conference USA,32.0,25.0,0.0,0.561
2019,Jacksonville St.,Conference USA,39.0,23.0,0.0,0.629
2021,Jacksonville St.,Conference USA,26.0,27.0,0.0,0.491
2022,Jacksonville St.,Conference USA,27.0,28.0,0.0,0.491
2023,Jacksonville St.,Conference USA,27.0,30.0,0.0,0.474
2024,Jacksonville St.,Conference USA,18.0,34.0,0.0,0.346
2025,Jacksonville St.,Conference USA,37.0,25.0,0.0,0.5967741935483871
2017,James Madison,Sun Belt,24.0,27.0,0.0,0.471
2018,James Madison,Sun Belt,26.0,26.0,0.0,0.5
2019,James Madison,Sun Belt,31.0,26.0,0.0,0.544
2021,James Madison,Sun Belt,11.0,17.0,0.0,0.393
2022,James Madison,Sun Belt,27.0,26.0,0.0,0.509
2023,James Madison,Sun Belt,31.0,25.0,0.0,0.554
2024,James Madison,Sun Belt,36.0,25.0,0.0,0.59
2025,James Madison,Sun Belt,17.0,38.0,0.0,0.3090909090909091
2017,Kansas,Big 12,30.0,28.0,0.0,0.517
2018,Kansas,Big 12,27.0,30.0,0.0,0.474
2019,Kansas,Big 12,32.0,26.0,0.0,0.552
2021,Kansas,Big 12,30.0,27.0,0.0,0.526
2022,Kansas,Big 12,20.0,35.0,0.0,0.364
2023,Kansas,Big 12,25.0,32.0,0.0,0.439
2024,Kansas,Big 12,31.0,23.0,0.0,0.574
2025,Kansas,Big 12,43.0,17.0,0.0,0.7166666666666667
2017,Kansas St.,Big 12,29.0,26.0,0.0,0.527
2018,Kansas St.,Big 12,23.0,31.0,0.0,0.426
2019,Kansas St.,Big 12,25.0,33.0,0.0,0.431
2021,Kansas St.,Big 12,34.0,23.0,0.0,0.596
2022,Kansas St.,Big 12,29.0,29.0,0.0,0.5
2023,Kansas St.,Big 12,35.0,24.0,0.0,0.593
2024,Kansas St.,Big 12,35.0,26.0,0.0,0.574
2025,Kansas St.,Big 12,32.0,26.0,0.0,0.5517241379310345
2017,Kennesaw St.,Conference USA,25.0,32.0,0.0,0.439
2018,Kennesaw St.,Conference USA,25.0,30.0,0.0,0.455
2019,Kennesaw St.,Conference USA,27.0,29.0,0.0,0.482
2021,Kennesaw St.,Conference USA,29.0,22.0,0.0,0.569
2022,Kennesaw St.,Conference USA,36.0,28.0,0.0,0.563
2023,Kennesaw St.,Conference USA,25.0,29.0,0.0,0.463
2024,Kennesaw St.,Conference USA,32.0,24.0,0.0,0.571
2025,Kennesaw St.,Conference USA,31.0,27.0,0.0,0.5344827586206896
2017,Kent St.,Mid-American,37.0,18.0,0.0,0.673
2018,Kent St.,Mid-American,40.0,18.0,0.0,0.69
2019,Kent St.,Mid-American,30.0,24.0,0.0,0.556
2021,Kent St.,Mid-American,30.0,26.0,0.0,0.536
2022,Kent St.,Mid-American,24.0,29.0,0.0,0.453
2023,Kent St.,Mid-American,42.0,16.0,0.0,0.724
2024,Kent St.,Mid-American,27.0,27.0,0.0,0.5
2025,Kent St.,Mid-American,38.0,18.0,0.0,0.6785714285714286
2017,Kentucky,SEC,43.0,23.0,0.0,0.652
2018,Kentucky,SEC,34.0,22.0,0.0,0.607
2019,Kentucky,SEC,26.0,29.0,0.0,0.473
2021,Kentucky,SEC,29.0,23.0,0.0,0.558
2022,Kentucky,SEC,33.0,26.0,0.0,0.559
2023,Kentucky,SEC,40.0,21.0,0.0,0.656
2024,Kentucky,SEC,46.0,16.0,0.0,0.742
2025,Kentucky,SEC,31.0,26.0,0.0,0.543859649122807
2017,LIU,Northeast,22.0,28.0,0.0,0.44
2018,LIU,Northeast,31.0,26.0,0.0,0.544
2019,LIU,Northeast,20.0,33.0,0.0,0.377
2021,LIU,Northeast,20.0,15.0,0.0,0.571
2022,LIU,Northeast,37.0,21.0,0.0,0.638
2023,LIU,Northeast,19.0,36.0,0.0,0.345
2024,LIU,Northeast,33.0,25.0,0.0,0.569
2025,LIU,Northeast,35.0,23.0,0.0,0.603448275862069
2017,LMU (CA),West Coast,38.0,18.0,0.0,0.679
2018,LMU (CA),West Coast,25.0,30.0,0.0,0.455
2019,LMU (CA),West Coast,34.0,25.0,0.0,0.576
2021,LMU (CA),West Coast,20.0,29.0,0.0,0.408
2022,LMU (CA),West Coast,20.0,34.0,1.0,0.373
2023,LMU (CA),West Coast,29.0,24.0,0.0,0.547
2024,LMU (CA),West Coast,24.0,30.0,0.0,0.444
2025,LMU (CA),West Coast,29.0,29.0,0.0,0.5
2017,LSU,SEC,52.0,20.0,0.0,0.722
2018,LSU,SEC,39.0,27.0,0.0,0.591
2019,LSU,SEC,40.0,26.0,0.0,0.606
2021,LSU,SEC,38.0,25.0,0.0,0.603
2022,LSU,SEC,40.0,22.0,0.0,0.645
2023,LSU,SEC,53.0,17.0,0.0,0.757
2024,LSU,SEC,43.0,23.0,0.0,0.652
