Season,Name,Conference,W,L,T,PCT
2023,Ark.-Pine Bluff,SWAC,18.0,33.0,0.0,0.353
2024,Ark.-Pine Bluff,SWAC,15.0,34.0,0.0,0.306
2025,Ark.-Pine Bluff,SWAC,19.0,34.0,0.0,0.3584905660377358
2017,Arkansas,SEC,45.0,19.0,0.0,0.703
2018,Arkansas,SEC,48.0,21.0,0.0,0.696
2019,Arkansas,SEC,46.0,20.0,0.0,0.697
2021,Arkansas,SEC,50.0,13.0,0.0,0.794
2022,Arkansas,SEC,46.0,21.0,0.0,0.687
2023,Arkansas,SEC,43.0,18.0,0.0,0.705
2024,Arkansas,SEC,44.0,16.0,0.0,0.733
2025,Arkansas,SEC,50.0,15.0,0.0,0.7692307692307693
2017,Arkansas St.,Sun Belt,28.0,27.0,0.0,0.509
2018,Arkansas St.,Sun Belt,20.0,32.0,0.0,0.385
2019,Arkansas St.,Sun Belt,26.0,29.0,0.0,0.473
2021,Arkansas St.,Sun Belt,19.0,30.0,0.0,0.388
2022,Arkansas St.,Sun Belt,11.0,38.0,0.0,0.224
2023,Arkansas St.,Sun Belt,20.0,31.0,0.0,0.392
2024,Arkansas St.,Sun Belt,21.0,32.0,1.0,0.398
2025,Arkansas St.,Sun Belt,26.0,28.0,0.0,0.48148148148148145
2017,Army West Point,Patriot League,25.0,31.0,0.0,0.446
2018,Army West Point,Patriot League,37.0,24.0,0.0,0.607
2019,Army West Point,Patriot League,35.0,26.0,0.0,0.574
2021,Army West Point,Patriot League,28.0,25.0,0.0,0.528
2022,Army West Point,Patriot League,31.0,25.0,0.0,0.554
2023,Army West Point,Patriot League,38.0,18.0,0.0,0.679
2024,Army West Point,Patriot League,31.0,23.0,0.0,0.574
2025,Army West Point,Patriot League,25.0,25.0,0.0,0.5
2017,Auburn,SEC,37.0,26.0,0.0,0.587
2018,Auburn,SEC,43.0,23.0,0.0,0.652
2019,Auburn,SEC,38.0,28.0,0.0,0.576
2021,Auburn,SEC,25.0,27.0,0.0,0.481
2022,Auburn,SEC,43.0,22.0,0.0,0.662
2023,Auburn,SEC,34.0,23.0,1.0,0.595
2024,Auburn,SEC,27.0,26.0,0.0,0.509
2025,Auburn,SEC,41.0,20.0,0.0,0.6721311475409836
2017,Austin Peay,Atlantic Sun,28.0,30.0,0.0,0.483
2018,Austin Peay,Atlantic Sun,30.0,27.0,0.0,0.526
2019,Austin Peay,Atlantic Sun,32.0,25.0,0.0,0.561
2021,Austin Peay,Atlantic Sun,23.0,33.0,0.0,0.411
2022,Austin Peay,Atlantic Sun,19.0,37.0,0.0,0.339
2023,Austin Peay,Atlantic Sun,26.0,32.0,0.0,0.448
2024,Austin Peay,Atlantic Sun,35.0,21.0,0.0,0.625
