team,season,week,n_players,woba_mean,woba_std,woba_p10,woba_p25,woba_p50,woba_p75,woba_p90,n_returning_players,n_unknown_players,pa_coverage,avg_K%,avg_BB%,avg_ISO,avg_BABIP,rank
ORE,2026,,16,0.4575701731838022,0.00802490917110899,0.44727949589902827,0.45207116643566975,0.45758658789738776,0.4629570258458293,0.4678926291810171,16,0,1.0,0.1915908684466905,0.11890444192045495,0.1931277008218445,0.3553103409952516,1
M-OH,2026,,17,0.45262289335253625,0.00808490536429875,0.4422258783703528,0.4470941113899579,0.4525766389090268,0.45811284651702155,0.46297192126260583,17,0,1.0,0.2055513674948461,0.1374765353945843,0.17117810240522757,0.3445694533899097,2
UGA,2026,,19,0.44856342174672537,0.0052818398970573615,0.44181651799491,0.4449028009136722,0.4485129873203819,0.45202482106615416,0.4553153483395359,19,0,1.0,0.21147312626737688,0.1206705615661205,0.20924173573162244,0.3414004962482574,3
WAKE,2026,,16,0.4478526345650316,0.006911810728900261,0.439066251357579,0.44314917143179156,0.4478371830620449,0.452449925929371,0.4568246315476391,16,0,1.0,0.20751966612069353,0.1397747987355385,0.1863871950043849,0.3388142138510953,4
TA&M,2026,,15,0.44530467514429967,0.007316227414742172,0.4360154086637768,0.4402752750869733,0.4452400973605043,0.4502160737260873,0.45483373841318847,15,0,1.0,0.21951017096555983,0.12401503421762047,0.19543583422396524,0.340433003872648,5
UNC,2026,,13,0.44369641757731826,0.006534345819838995,0.4354373211359662,0.4392841673169865,0.44358036538548884,0.4479885512126865,0.4520679276994824,13,0,1.0,0.19303666118541327,0.11467025012348825,0.1858300416580073,0.33931309445331165,6
CREI,2026,,12,0.4419564354919181,0.006900111231181858,0.43308718278531755,0.43724510205954953,0.4420234684275786,0.4465440943356206,0.4507032227900777,12,0,1.0,0.18075470288264028,0.11871568792915098,0.18843109587106058,0.3471797843922439,7
LAM,2026,,16,0.441781861337374,0.006320565565159784,0.4336718465857719,0.437508568757888,0.4417152696593075,0.44607567489118266,0.4498203187112639,16,0,1.0,0.19213856468377374,0.11817814082401498,0.18450146719785146,0.34588221887775894,8
KU,2026,,11,0.4412578136192789,0.009745650426747491,0.42899719117359014,0.4345603475324166,0.4410913678696715,0.44781331687730097,0.4539084760326501,11,0,1.0,0.20701047035404907,0.13874509771135124,0.15665415229323107,0.3242705187902448,9
BCU,2026,,16,0.44098108646785694,0.007152000184207096,0.4319950700431403,0.43619646142648694,0.44087729694490374,0.44580283751668737,0.4500351545084216,16,0,1.0,0.19179332188227777,0.12032911741436106,0.18485563595749827,0.3411103883657594,10
