Season,Player,Team,Class,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS,K%,BB%,K:BB,ISO,BABIP,wOBA,wRC,wRAA,wRC+,GB%,LD%,FB%,PU%,HR/FB%
2025,Axel Riess,Dartmouth,FR,CF,0.198,0.331,0.267,0.598,34,125,101,22,20,4,0,1,11,6,14,34,4,2,27.2%,11.2%,2.43,0.069,0.288,0.301,11,-8,59,52.4%,17.5%,30.2%,3.2%,5.3%
2025,Ayden Schnarrs,VMI,FR,3B,0.243,0.416,0.326,0.742,47,198,144,33,35,4,1,2,27,18,26,29,8,3,14.6%,13.1%,1.11,0.083,0.287,0.372,29,-1,95,54.5%,17.3%,28.2%,7.3%,6.5%
2025,Balin Valentine,Northwestern State,SR,LF,0.292,0.375,0.468,0.843,55,250,216,40,63,8,3,8,38,5,25,50,20,6,20.0%,10.0%,2.0,0.176,0.344,0.382,39,0,100,41.2%,13.3%,45.5%,4.2%,10.7%
2025,Bear Harrison,Texas A&M,SO,C,0.254,0.417,0.522,0.938,43,180,138,32,35,7,0,10,34,13,27,42,1,0,23.3%,15.0%,1.55,0.268,0.284,0.424,34,6,122,25.3%,20.2%,54.5%,9.1%,18.5%
2025,Bear Madliak,Kansas State,JR,C,0.242,0.369,0.442,0.811,54,208,165,30,40,9,0,8,29,6,30,47,0,4,22.6%,14.4%,1.57,0.2,0.278,0.371,31,-2,95,46.7%,9.8%,43.4%,7.4%,15.1%
2025,Beau Ankeney,Loyola Marymount,JR,1B,0.358,0.453,0.712,1.164,57,276,229,71,82,13,1,22,69,12,30,53,5,1,19.2%,10.9%,1.76,0.354,0.382,0.498,69,26,160,35.4%,18.3%,46.3%,10.3%,27.2%
2025,Beau Durbin,Bradley,JR,2B,0.264,0.365,0.438,0.804,46,208,178,30,47,11,4,4,26,2,27,41,11,7,19.7%,13.0%,1.52,0.174,0.321,0.37,31,-2,94,53.0%,17.2%,29.9%,0.7%,10.0%
2025,Beau Hollins,South Carolina,FR,1B,0.306,0.376,0.488,0.864,45,179,160,28,49,9,1,6,24,5,13,42,0,1,23.5%,7.3%,3.22,0.181,0.384,0.39,29,1,105,50.0%,20.3%,29.7%,2.5%,17.1%
2025,Ben Castelli,California Baptist,JR,2B,0.29,0.4,0.47,0.87,54,242,200,52,58,12,0,8,43,14,24,56,19,6,23.1%,9.9%,2.33,0.18,0.362,0.399,41,3,109,43.1%,18.1%,38.9%,6.9%,14.3%
2025,Ben Clark,Oakland,SO,C,0.197,0.307,0.277,0.584,50,206,173,31,34,8,0,2,15,16,12,41,7,3,19.9%,5.8%,3.43,0.081,0.244,0.289,17,-15,53,50.0%,11.7%,38.3%,7.8%,4.1%
2025,Ben Cleary,Santa Clara,SO,SS,0.302,0.406,0.401,0.807,49,219,182,37,55,12,0,2,16,7,26,15,6,2,6.8%,11.9%,0.57,0.099,0.317,0.382,34,0,101,46.4%,20.8%,32.7%,1.2%,3.6%
2025,Ben Higdon,Southern Miss,JR,DH,0.323,0.398,0.513,0.91,51,183,158,45,51,9,0,7,22,4,17,35,2,1,19.1%,9.3%,2.05,0.19,0.373,0.408,32,4,114,46.7%,23.8%,29.5%,4.1%,19.4%
