G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wBsR,Age,MaxAge,Season,PlayerName,Team,UPID,UPURL,xMLBAMID,teamid,FullTeamName
9.0,9.0,12.0,4.0,2.0,1.0,0.0,1.0,2.0,3.0,1.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.444444444,0.083333333,0.166666666,0.5,0.583333333,0.888888888,1.472222221,0.444444444,1.08035714,0.5,4.7952408629274625,2.8909305768823885,0.6380172173182169,251.80984937524832,-0.033752298913896084,,,2025,Joey Esposito,LEH,sa3066380,/players/joey-esposito/sa3066380/stats/batting,,121,Lehigh University 
9.0,8.0,11.0,4.0,3.0,0.0,0.0,1.0,4.0,2.0,2.0,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.181818181,0.181818181,1.0,0.636363636,0.875,1.511363636,0.375,2.64285714,0.6,4.745497453762324,2.849000934315951,0.6365509358319369,250.22442198563246,-0.012684596702456474,21.0,21.0,2025,Brant Kragel,MOST,sa3059720,/players/brant-kragel/sa3059720/stats/batting,,158,Missouri State University 
6.0,7.0,10.0,4.0,3.0,1.0,0.0,0.0,4.0,0.0,1.0,,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.571428571,0.1,0.2,0.5,0.666666666,0.714285714,1.38095238,0.142857143,6.785714285714286,0.8,4.209148834753082,2.518742780494735,0.6281494630707635,249.0022337621013,0.20177070796489716,,,2025,Cole Jenkins,AFA,sa3066766,/players/cole-jenkins/sa3066766/stats/batting,,2,U.S. Air Force Academy 
8.0,15.0,21.0,8.0,7.0,0.0,0.0,1.0,4.0,10.0,4.0,,1.0,2.0,0.0,0.0,0.0,4.0,3.0,0.533333333,0.19047619,0.047619047,4.0,0.666666666,0.733333333,1.399999999,0.2,4.412533717770876,0.538461538,8.909763175039629,5.289178910642008,0.629719737030211,246.08633646928814,-1.1947087133303285,,,2025,Kristian Sprawling,SIU,sa3065421,/players/kristian-sprawling/sa3065421/stats/batting,,235,Southern Illinois University at Carbondale 
9.0,6.0,10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.7,0.5,1.2,0.0,0.14285714,0.6,3.7907392151521915,2.1543024845289462,0.617168390750885,231.64593804420832,-0.025320519460365176,,,2025,Mason Poppen,SFA,sa3066444,/players/mason-poppen/sa3066444/stats/batting,,252,Stephen F. Austin State University 
4.0,8.0,14.0,3.0,2.0,0.0,0.0,1.0,3.0,1.0,2.0,,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.375,0.142857142,0.285714285,0.5,0.642857142,0.75,1.392857142,0.375,6.785714285714286,0.666666666,5.398765541416269,2.954027302366358,0.6102218883378165,220.83204881330647,0.16103338822722435,20.0,20.0,2025,Jordan Crosland,MD,sa3029593,/players/jordan-crosland/sa3029593/stats/batting,,136,University of Maryland College Park 
59.0,237.0,294.0,100.0,56.0,24.0,2.0,18.0,72.0,71.0,47.0,,28.0,6.0,4.0,0.0,5.0,8.0,4.0,0.421940928,0.159863945,0.095238095,1.678571428,0.520408163,0.767932489,1.288340652,0.345991561,5.529005246776871,0.42051282,95.36962931960734,51.53726365774782,0.5561722954925226,217.57810211597294,-1.2944669099524617,21.0,21.0,2025,Cameron Nickens,APSU,sa3038853,/players/cameron-nickens/sa3038853/stats/batting,800728.0,19,Austin Peay State University 
59.0,225.0,295.0,81.0,38.0,16.0,5.0,22.0,94.0,66.0,48.0,,62.0,20.0,1.0,1.0,3.0,12.0,4.0,0.36,0.162711864,0.210169491,0.774193548,0.506802721,0.768888888,1.275691609,0.408888888,8.005963257062877,0.415492957,92.72450304351358,48.74304770253211,0.5455563181922549,210.82636380409588,-0.481577942147851,24.0,24.0,2025,John Bay,APSU,sa3026767,/players/john-bay/sa3026767/stats/batting,,19,Austin Peay State University 
46.0,168.0,215.0,71.0,38.0,19.0,0.0,14.0,52.0,54.0,32.0,,41.0,10.0,2.0,3.0,0.0,19.0,4.0,0.422619047,0.148837209,0.190697674,0.780487804,0.533018867,0.785714285,1.318733152,0.363095238,6.025711832858757,0.495652173,76.27069258812458,39.85993036750346,0.5608380802397458,209.47293584787667,0.850450785830617,,,2025,Logen Devenport,NKU,sa3030221,/players/logen-devenport/sa3030221/stats/batting,,189,Northern Kentucky University 
49.0,189.0,238.0,83.0,47.0,13.0,5.0,18.0,73.0,71.0,39.0,,27.0,7.0,2.0,1.0,2.0,24.0,9.0,0.439153439,0.163865546,0.113445378,1.444444444,0.544303797,0.846560846,1.390864643,0.407407407,8.732779948823257,0.445205479,91.50711952626,47.30734204231987,0.5813306388975699,207.03072444088403,-2.888651073910296,21.0,21.0,2025,Cardell Thibodeaux,SOU,sa3043664,/players/cardell-thibodeaux/sa3043664/stats/batting,830964.0,239,Southern University Baton Rouge 
4.0,11.0,13.0,5.0,3.0,1.0,0.0,1.0,4.0,3.0,0.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.454545454,0.0,0.076923076,0.0,0.538461538,0.818181818,1.356643356,0.363636364,2.64285714,0.444444444,4.9741526044122555,2.559879044365105,0.5797053117018479,206.03102675386597,-0.03167534712702036,,,2025,Jaxon Haynes,MVSU,sa3066623,/players/jaxon-haynes/sa3066623/stats/batting,,156,Mississippi Valley State University 
18.0,16.0,24.0,6.0,3.0,2.0,0.0,1.0,10.0,4.0,6.0,,4.0,2.0,0.0,0.0,1.0,1.0,1.0,0.375,0.25,0.166666666,1.5,0.583333333,0.6875,1.270833333,0.3125,4.639727924289083,0.454545454,9.089333831637532,4.632213413088949,0.5762868026892344,203.92838824393667,-0.6585179483518004,24.0,24.0,2025,LaMarcus Jones,GRAM,sa3034890,/players/lamarcus-jones/sa3034890/stats/batting,,91,Grambling State University 
45.0,145.0,194.0,59.0,37.0,11.0,0.0,11.0,42.0,50.0,26.0,,17.0,16.0,7.0,0.0,5.0,9.0,1.0,0.406896551,0.134020618,0.087628865,1.529411764,0.520618556,0.710344827,1.230963383,0.303448276,5.481097741427622,0.387096774,60.27250621865134,29.736854743460228,0.5322525492034007,197.38405210584787,0.7934837862849236,22.0,22.0,2025,Drew Wyers,BRY,sa3045647,/players/drew-wyers/sa3045647/stats/batting,,31,Bryant University 
7.0,7.0,10.0,3.0,2.0,1.0,0.0,0.0,5.0,1.0,2.0,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.428571428,0.2,0.2,1.0,0.6,0.571428571,1.171428571,0.142857143,2.64285714,0.6,3.50456656352526,1.726968003668845,0.5650383710861206,197.15174408154002,-0.016046175733208656,,,2025,Laken Tignor,GMU,sa3066346,/players/laken-tignor/sa3066346/stats/batting,,83,George Mason University 
56.0,221.0,283.0,96.0,57.0,23.0,1.0,15.0,79.0,59.0,39.0,,34.0,19.0,3.0,1.0,2.0,4.0,1.0,0.43438914,0.137809187,0.120141342,1.147058823,0.54609929,0.751131221,1.297230511,0.316742081,5.5764566221605225,0.462857142,103.4711889457774,50.71605551064727,0.5592017875495532,196.1348255767561,0.10919366008602083,,,2025,Konni Durschlag,HPU,sa3030698,/players/konni-durschlag/sa3030698/stats/batting,,95,High Point University 
50.0,173.0,216.0,63.0,36.0,9.0,0.0,18.0,54.0,57.0,32.0,,32.0,7.0,1.0,3.0,1.0,8.0,2.0,0.364161849,0.148148148,0.148148148,1.0,0.478873239,0.728323699,1.207196938,0.36416185,5.292856336579295,0.362903225,62.68171209488896,30.47834140454319,0.5201112040331666,194.64332692875618,0.06469202507287264,22.0,22.0,2025,Raymond Velazquez,APSU,sa3044431,/players/raymond-velazquez/sa3044431/stats/batting,,19,Austin Peay State University 
48.0,200.0,234.0,91.0,63.0,17.0,2.0,9.0,62.0,69.0,25.0,,12.0,3.0,5.0,1.0,2.0,10.0,1.0,0.455,0.106837606,0.051282051,2.083333333,0.510729613,0.695,1.205729613,0.24,7.301219955298785,0.445652173,75.7758562710349,36.786915465838135,0.5347621082747954,194.3521796338075,0.8760291337966919,,,2025,Aidan Redahan,CCSU,sa3040514,/players/aidan-redahan/sa3040514/stats/batting,,45,Central Connecticut State University 
20.0,25.0,33.0,9.0,6.0,1.0,0.0,2.0,5.0,5.0,8.0,,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.36,0.242424242,0.333333333,0.727272727,0.515151515,0.64,1.155151515,0.28,3.7852806058232007,0.583333333,9.558409795966059,4.638450384941011,0.5195371418288259,194.27822462410546,0.1398515421897173,23.0,23.0,2025,Logan Schmitt,QUC,sa3041729,/players/logan-schmitt/sa3041729/stats/pitching,,211,Queens University of Charlotte
56.0,209.0,276.0,73.0,27.0,28.0,2.0,16.0,65.0,46.0,61.0,,57.0,5.0,1.0,0.0,2.0,15.0,3.0,0.349282296,0.221014492,0.206521739,1.070175438,0.503623188,0.732057416,1.235680604,0.38277512,7.195144771797003,0.416058394,82.67777044317076,39.94589305660079,0.5334780702124471,193.48031376022624,1.2328076467383653,22.0,22.0,2025,Kaleb Freeman,GAST,sa3031690,/players/kaleb-freeman/sa3031690/stats/batting,807461.0,89,Georgia State University 
9.0,11.0,13.0,4.0,2.0,0.0,0.0,2.0,2.0,7.0,1.0,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.363636363,0.076923076,0.153846153,0.5,0.461538461,0.909090909,1.37062937,0.545454546,0.14285714,0.285714285,4.296400239425475,2.0720575505073615,0.5483106145491967,193.15370157802343,-0.020480668172240257,,,2025,Jake Bollin,VILL,sa3027348,/players/jake-bollin/sa3027348/stats/batting,,284,Villanova University 
57.0,220.0,274.0,84.0,43.0,18.0,0.0,23.0,67.0,62.0,46.0,,53.0,6.0,2.0,0.0,3.0,9.0,4.0,0.381818181,0.167883211,0.193430656,0.867924528,0.496350364,0.777272727,1.273623091,0.395454546,4.511325403085793,0.417808219,88.80176835576768,42.39921557227846,0.5322901056195698,191.3725927323653,-1.1566066859522834,22.0,22.0,2025,Kyle Fossum,YSU,sa3031570,/players/kyle-fossum/sa3031570/stats/batting,,307,Youngstown State University 
18.0,70.0,79.0,30.0,21.0,5.0,1.0,3.0,12.0,19.0,6.0,,11.0,2.0,0.0,1.0,1.0,1.0,0.0,0.428571428,0.075949367,0.139240506,0.545454545,0.487179487,0.657142857,1.144322344,0.228571429,5.396528954253666,0.482142857,22.538490877315887,10.76040622668017,0.5149480295486939,191.35955926500645,0.07540676277130842,,,2025,Javier Gorostola,FGCU,sa3032506,/players/javier-gorostola/sa3032506/stats/batting,,79,Florida Gulf Coast University 
7.0,7.0,12.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.285714285,0.333333333,0.25,1.333333333,0.583333333,0.428571428,1.011904761,0.142857143,1.60119047125,0.5,3.7058593745866952,1.7574769969621837,0.5287146419286728,190.2018524261607,-0.016797335352748632,,,2025,Wilfred Torres-Santiago,SPU,sa3066940,/players/wilfred-torres-santiago/sa3066940/stats/batting,,248,St. Peter's College 
15.0,24.0,31.0,9.0,4.0,2.0,0.0,3.0,6.0,8.0,3.0,,4.0,3.0,0.0,1.0,1.0,0.0,1.0,0.375,0.096774193,0.129032258,0.75,0.5,0.833333333,1.333333333,0.458333333,2.8082064450904776,0.352941176,10.471323131828902,4.9607675962740165,0.5527749876181285,190.0230033844399,-0.6876423545181751,21.0,21.0,2025,Ryan King,URI,sa3035414,/players/ryan-king/sa3035414/stats/batting,,214,University of Rhode Island
59.0,208.0,282.0,69.0,31.0,10.0,2.0,26.0,70.0,71.0,57.0,,52.0,14.0,1.0,2.0,1.0,16.0,7.0,0.331730769,0.202127659,0.184397163,1.096153846,0.5,0.774038461,1.274038461,0.442307692,7.011992628416089,0.328244274,90.44219668117002,42.68482483830884,0.5291450174791472,189.3785047023885,-1.9438323231879622,22.0,22.0,2025,Boston Smith,WRST,sa3042491,/players/noah-smith/sa3042491/stats/batting,695722.0,304,Wright State University 
53.0,204.0,255.0,86.0,56.0,19.0,5.0,6.0,63.0,38.0,44.0,,32.0,7.0,0.0,0.0,1.0,20.0,1.0,0.421568627,0.172549019,0.125490196,1.375,0.537254901,0.651960784,1.189215685,0.230392157,8.821531497031934,0.48192771,82.41368479125161,38.782347431704,0.5411038651185878,188.88645129557887,2.802181906532496,20.0,20.0,2025,Aiden Robbins,HALL,sa3040859,/players/aiden-robbins/sa3040859/stats/batting,,228,Seton Hall University 
38.0,92.0,117.0,31.0,16.0,6.0,0.0,9.0,28.0,26.0,23.0,,36.0,2.0,0.0,0.0,0.0,10.0,2.0,0.336956521,0.196581196,0.307692307,0.638888888,0.478632478,0.695652173,1.174284651,0.358695652,5.954931085728294,0.468085106,32.89847987646466,15.454987419194037,0.5106095635992849,188.60030442328218,0.6107668643817306,,,2025,Jaret Nelson,FGCU,sa3060132,/players/jaret-nelson/sa3060132/stats/batting,,79,Florida Gulf Coast University 
52.0,199.0,241.0,75.0,39.0,16.0,2.0,18.0,66.0,70.0,36.0,,25.0,5.0,1.0,0.0,3.0,6.0,3.0,0.376884422,0.149377593,0.103734439,1.44,0.4813278,0.748743718,1.230071518,0.371859296,6.287129762421783,0.363057324,73.59153159369475,34.46151884306914,0.5252908114575746,188.06927578248275,-1.0349703319370747,20.0,20.0,2025,Joe Tiroly,RID,sa3043858,/players/joe-tiroly/sa3043858/stats/batting,,217,Rider University 
32.0,73.0,96.0,25.0,15.0,4.0,0.0,6.0,19.0,14.0,17.0,,29.0,6.0,0.0,0.0,0.0,0.0,0.0,0.342465753,0.177083333,0.302083333,0.586206896,0.5,0.643835616,1.143835616,0.301369863,1.77480158375,0.5,27.53186708436741,12.836912212236065,0.5078389799843231,187.35591448859077,0.11260471353307366,,,2025,Trey Swygart,PORT,sa3060709,/players/trey-swygart/sa3060709/stats/pitching,,206,University of Portland 
61.0,241.0,298.0,101.0,59.0,24.0,2.0,16.0,74.0,85.0,39.0,,46.0,16.0,2.0,0.0,5.0,36.0,7.0,0.419087136,0.130872483,0.154362416,0.847826086,0.523489932,0.734439834,1.257929766,0.315352698,8.197312724323906,0.469613259,99.13972772744056,46.16729064371939,0.5478385196836203,187.15342012819522,2.2452972792088985,22.0,22.0,2025,James Quinn-Irons,GMU,sa3040344,/players/james-quinn-irons/sa3040344/stats/batting,833397.0,83,George Mason University 
56.0,231.0,273.0,94.0,56.0,23.0,4.0,11.0,70.0,50.0,30.0,,33.0,12.0,0.0,0.0,2.0,17.0,4.0,0.406926406,0.109890109,0.12087912,0.909090909,0.498168498,0.683982683,1.182151181,0.277056277,8.311602878608118,0.443850267,84.0475933448163,38.86475900269423,0.5215448695661384,186.01664673891923,0.10357414744794369,24.0,24.0,2025,Ben Parker,W&M,sa3039445,/players/ben-parker/sa3039445/stats/batting,,300,College of William and Mary 
56.0,229.0,277.0,85.0,50.0,16.0,2.0,17.0,56.0,56.0,35.0,,43.0,12.0,1.0,0.0,4.0,5.0,3.0,0.371179039,0.12635379,0.155234657,0.813953488,0.476534296,0.681222707,1.157757003,0.310043668,5.179578972824152,0.4,78.56000809334594,36.158940389383616,0.50453030740311,185.27837233213023,-0.5479632916394621,21.0,21.0,2025,Jack Gurevitch,USD,sa3032859,/players/jack-gurevitch/sa3032859/stats/batting,813668.0,225,University of San Diego 
41.0,126.0,182.0,50.0,39.0,7.0,3.0,1.0,56.0,13.0,37.0,,14.0,15.0,0.0,4.0,1.0,34.0,3.0,0.396825396,0.203296703,0.076923076,2.642857142,0.573033707,0.523809523,1.09684323,0.126984127,9.953463031837149,0.441441441,62.437261159528134,28.637431318868042,0.5450681026062268,184.72655470122552,3.857012220658362,,,2025,Trey Rutledge,AAMU,sa3060456,/players/trey-rutledge/sa3060456/stats/batting,,7,Alabama A&M University 
10.0,9.0,12.0,3.0,2.0,0.0,0.0,1.0,6.0,7.0,3.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.25,0.166666666,1.5,0.5,0.666666666,1.166666666,0.333333333,2.64285714,0.333333333,3.5055023891790675,1.601192103133993,0.5251402755578359,184.08252136574833,-0.033752298913896084,,,2025,Cadeyrn Ahearn,LEH,sa3058466,/players/cadeyrn-ahearn/sa3058466/stats/pitching,,121,Lehigh University 
56.0,208.0,269.0,74.0,33.0,20.0,4.0,17.0,74.0,55.0,37.0,,56.0,23.0,0.0,1.0,0.0,20.0,8.0,0.35576923,0.137546468,0.208178438,0.660714285,0.5,0.735576923,1.235576923,0.379807693,8.686217169445241,0.422222222,84.32932943732426,38.04555075497314,0.5290355126359569,182.20061507095713,-1.1626184975611977,22.0,22.0,2025,Jake Casey,KENT,sa3028574,/players/jacob-casey/sa3028574/stats/batting,814457.0,116,Kent State University 
56.0,213.0,269.0,80.0,32.0,28.0,4.0,16.0,79.0,81.0,46.0,,37.0,6.0,4.0,0.0,4.0,10.0,2.0,0.375586854,0.171003717,0.137546468,1.243243243,0.490706319,0.769953051,1.26065937,0.394366197,8.14793951878385,0.390243902,84.23506303004314,37.95128434769202,0.5286908561855443,181.99694456270393,0.6911906946916133,23.0,23.0,2025,Hayden Jatczak,KENT,sa3059585,/players/hayden-jatczak/sa3059585/stats/batting,,116,Kent State University 
62.0,242.0,292.0,89.0,53.0,13.0,2.0,21.0,66.0,78.0,28.0,,35.0,17.0,3.0,2.0,2.0,9.0,1.0,0.367768595,0.09589041,0.119863013,0.8,0.462068965,0.698347107,1.160416072,0.330578512,6.96060384394173,0.359788359,81.2160928106984,36.51893840796556,0.49883628528693624,181.7030499949069,1.4786011050455272,,,2025,Eddie Madrigal,SMC,sa3036840,/players/eddie-madrigal/sa3036840/stats/batting,,246,St. Mary's College of California 
45.0,155.0,193.0,54.0,28.0,14.0,0.0,12.0,40.0,48.0,24.0,,51.0,13.0,1.0,0.0,0.0,13.0,0.0,0.348387096,0.124352331,0.264248704,0.470588235,0.47150259,0.670967741,1.142470331,0.322580645,6.312229435714285,0.451612903,53.493442968331344,23.950460777483944,0.49782790822686307,181.06988191904318,2.7926133645232767,,,2025,Patrick Keighran,SF,sa3035164,/players/patrick-keighran/sa3035164/stats/batting,,223,University of San Francisco 
16.0,9.0,15.0,3.0,2.0,0.0,0.0,1.0,5.0,4.0,5.0,,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.333333333,0.333333333,0.333333333,1.0,0.6,0.666666666,1.266666666,0.333333333,6.349873113840477,0.666666666,4.990775477401907,2.2268905157968346,0.5548364480336507,180.5710276198909,0.1419144868850708,21.0,21.0,2025,Hunter High,TENN,sa3033797,/players/hunter-high/sa3033797/stats/batting,,256,University of Tennessee Knoxville 
10.0,10.0,12.0,4.0,2.0,2.0,0.0,0.0,1.0,4.0,1.0,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.083333333,0.166666666,0.5,0.5,0.6,1.1,0.2,0.76785714,0.5,3.610061963234087,1.6106291014291245,0.51363205909729,180.55429778097925,-0.015729546546936035,,,2025,Emmett Coco,WAG,sa3029089,/players/emmett-coco/sa3029089/stats/batting,,289,Wagner College 
8.0,25.0,29.0,10.0,5.0,4.0,0.0,1.0,8.0,9.0,3.0,,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.103448275,0.206896551,0.5,0.48275862,0.68,1.16275862,0.28,2.64285714,0.5,8.661361117860867,3.8617193745585214,0.5120950259011368,180.45849213532142,-0.07727709878236055,,,2025,Mathew Kosuda,W&M,sa3059717,/players/mathew-kosuda/sa3059717/stats/batting,,300,College of William and Mary 
