G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wBsR,Age,MaxAge,Season,PlayerName,Team,UPID,UPURL,xMLBAMID,teamid,FullTeamName
4.0,10.0,15.0,4.0,1.0,1.0,0.0,2.0,4.0,4.0,2.0,,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.4,0.133333333,0.133333333,1.0,0.6,1.1,1.7,0.7,2.64285714,0.333333333,6.4214567638008,4.0062712675897485,0.6557581345240275,265.8784086719134,-0.021249890327453613,,,2022,Mike Sears,INST,sa3041897,/players/mike-sears/sa3041897/stats/batting,,105,Indiana State University 
4.0,9.0,12.0,4.0,2.0,0.0,0.0,2.0,2.0,4.0,3.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444444444,0.25,0.25,1.0,0.583333333,1.111111111,1.694444444,0.666666667,0.14285714,0.5,5.281679827187069,3.2072861971592976,0.6442347168922424,254.613191572342,0.003529589739628136,,,2022,Lance Kelly,NEV,sa3035223,/players/lance-kelly/sa3035223/stats/batting,,166,University of Nevada 
24.0,87.0,118.0,38.0,21.0,8.0,1.0,8.0,31.0,35.0,28.0,,21.0,2.0,1.0,0.0,2.0,10.0,1.0,0.436781609,0.237288135,0.177966101,1.333333333,0.576271186,0.827586206,1.403857392,0.390804597,7.8238154662887425,0.508474576,42.20820597442038,24.71794498594649,0.5951317690186582,241.32404886488342,1.2667261771857738,20.0,20.0,2022,Chase DeLauter,JMU,32127,/players/chase-delauter/32127/stats/batting,800050.0,112,James Madison University 
7.0,7.0,10.0,4.0,3.0,1.0,0.0,0.0,6.0,3.0,3.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571428571,0.3,0.2,1.5,0.7,0.714285714,1.414285714,0.142857143,2.64285714,0.8,4.083476293753606,2.385488230656606,0.6377504348754883,240.4891048707173,-0.032367912121117115,19.0,19.0,2022,Drew Reynolds,TTU,sa3040655,/players/drew-reynolds/sa3040655/stats/batting,,260,Texas Tech University 
7.0,9.0,10.0,4.0,2.0,0.0,0.0,2.0,3.0,4.0,1.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444444444,0.1,0.3,0.333333333,0.5,1.111111111,1.611111111,0.666666667,1.60119047125,0.5,4.112937798328954,2.3701616130548295,0.6454503297805786,235.99919674608265,-0.018390778452157974,,,2022,Tywone Malone,MISS,sa3036942,/players/tywone-malone/sa3036942/stats/batting,,154,University of Mississippi 
8.0,20.0,27.0,9.0,5.0,2.0,1.0,1.0,6.0,9.0,6.0,,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.45,0.222222222,0.074074074,3.0,0.592592592,0.8,1.392592592,0.35,6.734723473225097,0.470588235,10.183750807547804,5.861602052355049,0.6042341501624496,235.61777681327482,-0.7937125558964908,21.0,21.0,2022,Wes Toups,NICH,sa3043987,/players/wes-toups/sa3043987/stats/batting,,173,Nicholls State University 
54.0,197.0,272.0,80.0,37.0,21.0,1.0,21.0,71.0,57.0,46.0,,35.0,26.0,3.0,0.0,1.0,3.0,0.0,0.40609137,0.169117647,0.12867647,1.314285714,0.558823529,0.842639593,1.401463122,0.436548223,5.56149823560202,0.409722222,98.39200414725134,55.60711874075719,0.5905727369382101,229.96907251811135,0.6015121509899473,19.0,19.0,2022,Michael Carico,DAV,sa3023216,/players/michael-carico/sa3023216/stats/batting,801686.0,59,Davidson College 
28.0,7.0,10.0,4.0,4.0,0.0,0.0,0.0,4.0,2.0,2.0,,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.571428571,0.2,0.1,2.0,0.7,0.571428571,1.271428571,0.0,7.128065396609968,0.666666666,3.665163682491106,2.061872051746172,0.6066911101341248,228.60243340683874,0.48598027299158275,20.0,20.0,2022,Luke Rohleder,WASH,sa3041067,/players/luke-rohleder/sa3041067/stats/batting,,291,University of Washington 
13.0,18.0,18.0,10.0,7.0,2.0,0.0,1.0,8.0,6.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.555555555,0.0,0.166666666,0.0,0.555555555,0.833333333,1.388888888,0.277777778,2.64285714,0.642857142,7.081046983842054,3.9694565388003977,0.5990557438797421,227.5700195417992,0.004941425635479391,19.0,19.0,2022,Tyler Davis,FRES,sa3029943,/players/tyler-davis/sa3029943/stats/batting,,81,California State University Fresno 
62.0,224.0,295.0,90.0,43.0,25.0,2.0,20.0,77.0,78.0,47.0,,25.0,23.0,1.0,0.0,2.0,6.0,2.0,0.401785714,0.159322033,0.084745762,1.88,0.542372881,0.799107142,1.341480023,0.397321428,6.25123561960166,0.388888888,102.2218870124508,55.819162031142824,0.5746952782242986,220.29285360639483,-0.005094884285426815,21.0,21.0,2022,Tyler Locklear,VCU,31396,/players/tyler-locklear/31396/stats/batting,682988.0,286,Virginia Commonwealth University 
4.0,8.0,10.0,4.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.6,0.625,1.225,0.125,1.08035714,0.571428571,3.6188401546550475,1.96802231336362,0.5738065779209137,219.21498933062443,-0.006224302924238145,19.0,19.0,2022,Wes Lug,OHIO,sa3036668,/players/wes-lug/sa3036668/stats/batting,,193,Ohio University 
46.0,164.0,202.0,67.0,37.0,15.0,2.0,13.0,50.0,46.0,34.0,,34.0,2.0,2.0,0.0,3.0,7.0,0.0,0.408536585,0.168316831,0.168316831,1.0,0.50990099,0.762195121,1.272096111,0.353658536,7.404614667990268,0.453781512,67.3571558687945,36.11577839591698,0.55267134308815,215.6023879781589,1.345237897534389,21.0,21.0,2022,Trey Paige,DSU,sa3022440,/players/trey-paige/sa3022440/stats/batting,813852.0,62,Delaware State University 
7.0,10.0,11.0,4.0,1.0,1.0,0.0,2.0,3.0,6.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,1.1,1.5,0.7,2.64285714,0.25,4.066356406655964,2.1735454659134708,0.5878964185714721,214.8316199535943,-0.002931332914158702,,,2022,Kyle Rachels,ETSU,sa3040368,/players/kyle-rachels/sa3040368/stats/batting,,67,East Tennessee State University 
53.0,199.0,256.0,81.0,41.0,23.0,2.0,15.0,65.0,50.0,39.0,,19.0,11.0,6.0,1.0,4.0,19.0,1.0,0.407035175,0.15234375,0.07421875,2.052631578,0.51372549,0.768844221,1.282569711,0.361809046,8.048157661406826,0.385964912,83.70071485422844,44.73022916697257,0.5508414002025829,214.77975800953456,3.1354888275673147,21.0,21.0,2022,Zach Neto,CAM,31347,/players/zach-neto/31347/stats/batting,687263.0,41,Campbell University 
21.0,9.0,12.0,4.0,3.0,1.0,0.0,0.0,8.0,1.0,3.0,,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.444444444,0.25,0.166666666,1.5,0.583333333,0.555555555,1.138888888,0.111111111,6.280254777070064,0.571428571,3.5506396719281224,1.8930443354908972,0.5428970654805502,214.20425081309273,-0.08995951991528273,19.0,19.0,2022,Jessada Brown,UCSB,sa3027847,/players/jessada-brown/sa3027847/stats/batting,,275,University of California Santa Barbara 
