Season,Player,Team,Class,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS,K%,BB%,K:BB,ISO,BABIP,wOBA,wRC,wRAA,wRC+,GB%,LD%,FB%,PU%,HR/FB%
2023,AJ Gaich,Yale,SR,CF,0.289,0.393,0.386,0.779,32,137,114,26,33,8,0,1,14.0,3,17,40,19,2,29.2%,12.4%,2.35,0.096,0.432,0.369,21,0,98,29.6%,29.6%,40.8%,5.6%,3.4%
2023,AJ Guerrero,Washington,SO,LF,0.345,0.439,0.518,0.958,55,264,220,47,76,10,2,8,38.0,4,36,64,0,0,24.2%,13.6%,1.78,0.173,0.447,0.434,54,13,130,37.5%,23.8%,38.8%,5.6%,12.9%
2023,AJ Hansen,Villanova,SR,CF,0.243,0.373,0.41,0.784,47,212,173,33,42,7,2,6,16.0,4,32,56,6,3,26.4%,15.1%,1.75,0.168,0.324,0.367,33,-1,97,31.0%,22.1%,46.9%,19.5%,11.3%
2023,AJ Mathis,VCU,SR,CF,0.353,0.488,0.475,0.964,54,261,204,66,72,15,2,2,28.0,11,44,34,17,2,13.0%,16.9%,0.77,0.123,0.414,0.452,58,16,139,55.6%,22.2%,22.2%,5.3%,5.3%
2023,AJ Mendolia,Central Arkansas,JR,1B,0.295,0.423,0.411,0.834,54,240,190,36,56,7,0,5,31.0,6,37,32,7,2,13.3%,15.4%,0.86,0.116,0.331,0.394,42,4,110,39.9%,23.4%,36.7%,5.1%,8.6%
2023,AJ Miller,CSU Bakersfield,SR,RF,0.236,0.337,0.374,0.71,50,203,174,26,41,7,1,5,22.0,2,25,50,2,1,24.6%,12.3%,2.0,0.138,0.3,0.328,25,-7,78,44.1%,15.7%,40.2%,10.2%,9.8%
2023,AJ Rausch,Ohio,SO,CF,0.257,0.377,0.398,0.775,47,228,191,40,49,13,1,4,19.0,4,33,61,18,3,26.8%,14.5%,1.85,0.141,0.357,0.366,35,-1,96,49.6%,17.3%,33.1%,3.9%,9.5%
2023,Aaron Casillas,Cal Poly,JR,SS,0.325,0.365,0.39,0.755,56,251,231,24,75,15,0,0,40.0,2,14,27,1,1,10.8%,5.6%,1.93,0.065,0.364,0.352,36,-4,89,49.8%,20.0%,30.2%,4.4%,0.0%
2023,Aaron Chapman,Milwaukee,SR,3B,0.325,0.39,0.485,0.876,51,229,206,38,67,12,0,7,25.0,6,16,17,9,1,7.4%,7.0%,1.06,0.16,0.33,0.398,41,5,112,47.1%,17.1%,35.8%,6.4%,10.4%
2023,Aaron Dolney,Eastern Michigan,JR,C,0.259,0.362,0.482,0.844,49,199,170,43,44,8,0,10,38.0,2,26,54,13,2,27.1%,13.1%,2.07,0.224,0.318,0.381,33,1,104,41.7%,19.1%,39.1%,2.6%,22.2%
2023,Aaron Harper,Northern Illinois,JR,2B,0.307,0.381,0.431,0.812,52,233,202,31,62,10,0,5,41.0,6,20,34,4,4,14.6%,8.6%,1.7,0.124,0.343,0.374,37,0,101,47.3%,19.8%,32.9%,7.2%,9.1%
2023,Aaron Mann,St. John’s,GR,1B,0.371,0.462,0.548,1.01,49,223,186,47,69,15,0,6,42.0,12,22,36,3,0,16.1%,9.9%,1.63,0.177,0.429,0.458,50,15,142,51.3%,19.7%,28.9%,0.7%,13.6%
2023,Aaron Parker,UC Santa Barbara,SO,C,0.317,0.406,0.545,0.951,50,219,189,32,60,11,1,10,32.0,5,23,35,4,1,16.0%,10.5%,1.52,0.228,0.347,0.426,44,9,126,45.0%,18.1%,36.9%,4.7%,18.2%
2023,Adam Haidermota,Florida A&M,JR,3B,0.293,0.346,0.383,0.729,52,185,167,20,49,6,0,3,31.0,1,13,24,1,1,13.0%,7.0%,1.86,0.09,0.326,0.338,24,-5,83,44.7%,19.1%,36.2%,7.1%,5.9%
2023,Adam Pottinger,Indiana State,JR,LF,0.299,0.449,0.535,0.983,57,244,187,51,56,9,1,11,36.0,22,31,57,3,6,23.4%,12.7%,1.84,0.235,0.369,0.446,53,14,136,26.0%,21.4%,52.7%,9.2%,15.9%
