Season,Player,Team,Class,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS,K%,BB%,K:BB,ISO,BABIP,wOBA,wRC,wRAA,wRC+,GB%,LD%,FB%,PU%,HR/FB%
2023,Adam Rankie,St. Bonaventure,JR,CF,0.305,0.348,0.401,0.749,46,201,187,30,57,9,0,3,15.0,3,10,22,3,3,10.9%,5.0%,2.18,0.096,0.331,0.346,28,-4,87,50.3%,20.2%,29.4%,6.7%,6.3%
2023,Adam Schneider,Northern Kentucky,GR,CF,0.268,0.367,0.31,0.677,48,178,142,28,38,6,0,0,19.0,3,21,27,9,1,15.2%,11.8%,1.29,0.042,0.322,0.328,22,-6,78,48.6%,18.7%,32.7%,6.5%,0.0%
2023,Adam Stuart,High Point,JR,SS,0.3,0.398,0.448,0.845,54,245,210,38,63,10,0,7,34.0,4,30,31,4,3,12.7%,12.2%,1.04,0.148,0.326,0.39,42,3,108,45.8%,18.1%,36.2%,12.4%,10.9%
2023,Adam Tellier,Ball State,SR,SS,0.316,0.394,0.515,0.909,59,273,237,57,75,14,3,9,46.0,7,24,49,12,3,17.9%,8.8%,2.03,0.198,0.367,0.411,51,8,119,42.0%,16.0%,42.0%,7.7%,11.8%
2023,Adarius Myers,Louisiana Tech,JR,LF,0.265,0.352,0.398,0.75,57,228,196,36,52,12,1,4,25.0,2,26,45,11,1,19.7%,11.4%,1.73,0.133,0.32,0.348,32,-4,88,49.0%,12.8%,38.3%,4.0%,7.0%
2023,Addison Ainsworth,Army,FR,LF,0.257,0.416,0.333,0.75,51,190,144,31,37,6,1,1,18.0,11,29,36,7,2,18.9%,15.3%,1.24,0.076,0.333,0.37,30,0,99,45.7%,21.9%,32.4%,9.5%,2.9%
2023,Addison Kopack,Rhode Island,JR,2B,0.259,0.373,0.42,0.793,51,236,193,36,50,12,2,5,33.0,5,33,48,5,3,20.3%,14.0%,1.45,0.161,0.31,0.367,36,-1,97,35.6%,14.8%,49.7%,7.4%,6.8%
2023,Adrian Figueroa,Florida International,JR,1B,0.281,0.362,0.35,0.712,52,232,203,25,57,8,0,2,34.0,2,25,35,2,1,15.1%,10.8%,1.4,0.069,0.327,0.336,30,-7,82,54.1%,17.6%,28.2%,6.5%,4.2%
2023,Adrian Torres,UT Rio Grande Valley,JR,LF,0.305,0.403,0.427,0.83,50,193,164,31,50,6,1,4,31.0,6,21,30,2,4,15.5%,10.9%,1.42,0.122,0.354,0.388,33,2,107,40.9%,24.2%,34.8%,8.3%,8.7%
2023,Aerik Joe,Air Force,JR,SS,0.271,0.376,0.347,0.723,58,263,225,46,61,9,4,0,19.0,9,29,49,7,0,18.6%,11.0%,1.69,0.076,0.347,0.349,37,-5,88,52.9%,19.0%,28.2%,6.3%,0.0%
2023,Aidan Gilroy,Western Kentucky,JR,3B,0.317,0.391,0.424,0.815,56,248,205,36,65,10,3,2,37.0,7,21,35,12,7,14.1%,8.5%,1.66,0.107,0.364,0.376,40,1,101,47.7%,20.3%,32.0%,1.7%,3.6%
2023,Aidan Kane,Delaware,JR,RF,0.252,0.333,0.437,0.77,49,175,151,24,38,8,1,6,29.0,4,16,33,1,2,18.9%,9.1%,2.08,0.185,0.278,0.347,24,-4,87,32.8%,16.0%,51.3%,13.4%,9.8%
2023,Aidan Longwell,Kent State,JR,1B,0.403,0.477,0.649,1.126,58,278,231,60,93,23,2,10,74.0,12,27,23,5,1,8.3%,9.7%,0.86,0.247,0.405,0.492,70,26,158,39.3%,25.2%,35.5%,4.7%,13.2%
2023,Aidan Martinez,Arkansas-Pine Bluff,JR,1B,0.226,0.373,0.263,0.636,46,169,133,22,30,2,0,1,27.0,15,18,28,3,3,16.6%,10.7%,1.55,0.038,0.271,0.323,20,-7,75,30.8%,25.0%,44.2%,8.7%,2.2%
2023,Aidan Sweatt,North Florida,JR,2B,0.32,0.418,0.424,0.842,55,276,231,50,74,12,0,4,31.0,8,32,20,16,2,7.2%,11.6%,0.62,0.104,0.335,0.395,48,5,111,42.1%,22.3%,35.6%,10.4%,5.6%
2023,Aiden Stewart,Siena,FR,2B,0.28,0.392,0.473,0.865,53,229,182,37,51,13,2,6,34.0,6,32,54,6,4,23.6%,14.0%,1.69,0.192,0.349,0.391,39,3,109,39.6%,18.7%,41.8%,3.7%,10.7%
2023,Aiden Tierney,Mount St. Mary’s,JR,RF,0.346,0.434,0.481,0.915,42,185,156,33,54,10,1,3,22.0,10,15,30,23,6,16.2%,8.1%,2.0,0.135,0.411,0.423,37,7,125,37.7%,24.6%,37.7%,14.9%,7.0%
2023,Alberto Osuna,North Carolina,JR,DH,0.223,0.336,0.453,0.789,52,212,179,33,40,8,0,11,27.0,7,24,64,0,1,30.2%,11.3%,2.67,0.229,0.276,0.358,31,-2,93,31.0%,20.7%,48.3%,4.3%,19.6%
2023,Alberto Rios,Stanford,JR,LF,0.384,0.485,0.707,1.191,63,293,242,69,93,24,0,18,73.0,11,38,42,5,1,14.3%,13.0%,1.1,0.322,0.408,0.518,80,33,171,40.8%,17.9%,41.3%,6.0%,21.7%
2023,Alden Mathes,Richmond,JR,CF,0.296,0.434,0.498,0.931,54,261,203,59,60,14,0,9,41.0,16,35,35,11,1,13.4%,13.4%,1.0,0.202,0.317,0.424,52,10,125,39.9%,17.8%,42.3%,9.8%,13.0%
2023,Alec Burns,Gardner-Webb,SR,1B,0.279,0.422,0.5,0.922,47,218,172,39,48,11,0,9,35.0,15,29,70,2,0,32.1%,13.3%,2.41,0.221,0.411,0.421,43,8,124,39.8%,23.3%,36.9%,1.9%,23.7%
2023,Alec Carr,Incarnate Word,SR,3B,0.303,0.382,0.552,0.934,48,229,201,42,61,4,5,12,46.0,11,15,52,10,4,22.7%,6.6%,3.44,0.249,0.355,0.413,44,7,120,49.7%,14.6%,35.8%,2.0%,22.2%
2023,Alec DeMartino,UNC Wilmington,FR,RF,0.308,0.422,0.508,0.93,53,225,185,45,57,8,1,9,29.0,4,33,50,2,1,22.2%,14.7%,1.51,0.2,0.378,0.423,44,9,124,39.3%,18.5%,42.2%,8.9%,15.8%
2023,Alec Jones,Cincinnati,JR,C,0.278,0.396,0.464,0.859,46,182,151,27,42,7,0,7,30.0,6,24,35,7,2,19.2%,13.2%,1.45,0.185,0.318,0.395,32,3,111,39.5%,18.4%,42.1%,8.8%,14.6%
2023,Alec Makarewicz,East Carolina,JR,3B,0.258,0.356,0.476,0.832,66,275,229,44,59,11,3,11,49.0,7,32,50,3,1,18.2%,11.6%,1.57,0.218,0.274,0.372,43,0,99,37.1%,14.0%,48.9%,10.8%,12.1%
2023,Alec Patino,Ohio,JR,1B,0.325,0.421,0.55,0.971,49,228,191,35,62,19,0,8,48.0,12,22,25,2,2,11.0%,9.6%,1.15,0.225,0.335,0.435,47,11,130,47.6%,15.1%,37.3%,9.6%,12.9%
2023,Alec Rodriguez,Delaware State,SO,LF,0.213,0.296,0.39,0.686,39,160,141,18,30,4,3,5,25.0,2,15,41,2,0,25.6%,9.4%,2.72,0.177,0.26,0.314,18,-7,71,45.4%,13.4%,41.2%,9.3%,12.5%
2023,Alec Sanchez,Florida International,SR,CF,0.331,0.411,0.601,1.012,47,207,178,31,59,7,1,13,34.0,1,25,42,5,1,20.3%,12.1%,1.68,0.27,0.365,0.444,44,11,135,46.7%,15.3%,38.0%,6.6%,25.0%
2023,Alec Williams,Tarleton,JR,CF,0.318,0.419,0.447,0.866,40,158,132,33,42,6,1,3,18.0,3,20,32,18,6,20.3%,12.7%,1.6,0.129,0.402,0.404,29,4,115,44.4%,20.0%,35.6%,2.2%,9.4%
2023,Alejandro Figueredo,Florida Gulf Coast,SR,1B,0.361,0.461,0.693,1.154,60,295,241,72,87,11,0,23,71.0,9,40,42,0,0,14.2%,13.6%,1.04,0.332,0.354,0.495,75,28,160,31.3%,19.9%,48.8%,15.4%,23.5%
2023,Alejandro Rodriguez,Florida Gulf Coast,SR,C,0.328,0.419,0.496,0.915,59,275,232,47,76,14,2,7,50.0,7,31,45,2,0,16.4%,11.3%,1.45,0.168,0.379,0.418,53,10,122,31.7%,24.7%,43.5%,11.8%,8.6%
2023,Alex Bouche,Old Dominion,FR,SS,0.299,0.42,0.527,0.947,52,243,201,42,60,9,2,11,45.0,7,35,66,3,0,27.2%,14.4%,1.89,0.229,0.395,0.429,49,11,127,55.6%,17.0%,27.4%,1.5%,29.7%
2023,Alex Calarco,Northwestern,SO,1B,0.287,0.363,0.455,0.818,49,204,178,30,51,18,0,4,29.0,7,16,45,0,1,22.1%,7.8%,2.83,0.169,0.356,0.374,32,0,100,49.3%,18.4%,32.4%,2.2%,9.1%
2023,Alex Clyde,Seton Hall,GR,1B,0.324,0.387,0.4,0.787,53,237,210,36,68,5,4,1,28.0,4,19,21,1,2,8.9%,8.0%,1.11,0.076,0.353,0.368,37,-1,98,44.3%,21.3%,34.4%,7.1%,1.6%
2023,Alex Finney,Ohio,SR,2B,0.28,0.383,0.406,0.788,42,176,143,29,40,7,1,3,24.0,6,21,21,3,2,11.9%,11.9%,1.0,0.126,0.298,0.367,27,-1,97,36.3%,19.4%,44.4%,9.7%,5.5%
2023,Alex Gouveia,UC Davis,JR,2B,0.313,0.345,0.462,0.807,51,226,208,26,65,20,1,3,26.0,1,12,18,7,2,8.0%,5.3%,1.51,0.149,0.323,0.362,34,-2,95,43.0%,17.1%,39.9%,5.2%,3.9%
2023,Alex Haba,Merrimack,SR,SS,0.315,0.372,0.42,0.792,51,244,219,39,69,8,0,5,34.0,10,11,31,8,2,12.7%,4.5%,2.82,0.105,0.346,0.366,37,-1,97,35.0%,19.8%,45.2%,10.7%,6.3%
2023,Alex Lane,Northeastern,SR,DH,0.318,0.427,0.596,1.023,59,267,223,53,71,12,1,16,57.0,14,29,54,6,2,20.2%,10.9%,1.85,0.278,0.357,0.453,59,17,139,34.5%,21.4%,44.0%,3.0%,21.6%
2023,Alex Lodise,North Florida,FR,SS,0.306,0.369,0.607,0.976,55,248,219,51,67,14,2,16,63.0,5,18,47,6,3,19.0%,7.3%,2.6,0.301,0.323,0.427,50,10,126,31.8%,19.4%,48.8%,8.8%,19.3%
2023,Alex Lopez,Houston,JR,DH,0.27,0.381,0.413,0.795,56,237,196,37,53,8,1,6,34.0,3,34,28,2,2,11.8%,14.3%,0.83,0.143,0.285,0.37,37,-1,98,43.8%,16.0%,40.2%,5.9%,8.8%
2023,Alex Luccini,UMass Lowell,SO,LF,0.274,0.365,0.394,0.759,49,203,175,32,48,6,3,3,37.0,8,18,56,6,5,27.6%,8.9%,3.1,0.12,0.381,0.355,29,-3,91,41.0%,22.2%,36.8%,8.5%,7.0%
2023,Alex Martinez,Prairie View,SR,1B,0.262,0.322,0.355,0.677,56,237,214,32,56,11,0,3,36.0,9,11,49,0,0,20.7%,4.6%,4.5,0.093,0.323,0.317,27,-10,72,31.7%,21.6%,46.7%,9.0%,3.8%
2023,Alex McCoy,UMES,JR,1B,0.253,0.357,0.347,0.705,53,221,190,35,48,7,1,3,24.0,14,17,45,24,4,20.4%,7.7%,2.65,0.095,0.317,0.338,29,-6,83,51.4%,13.8%,34.8%,10.1%,6.3%
2023,Alex Mooney,Duke,SO,SS,0.315,0.434,0.504,0.938,63,311,254,68,80,20,2,8,38.0,19,36,43,21,5,13.8%,11.6%,1.19,0.189,0.351,0.425,62,13,126,42.4%,18.6%,39.0%,6.2%,9.8%
2023,Alex Pimentel,UNLV,JR,RF,0.314,0.445,0.5,0.945,48,218,172,45,54,10,5,4,40.0,10,33,42,5,3,19.3%,15.1%,1.28,0.186,0.388,0.432,45,10,129,41.9%,24.0%,34.1%,3.9%,9.1%
2023,Alex Ramirez,Rhode Island,SR,SS,0.27,0.397,0.454,0.851,50,226,185,40,50,11,1,7,30.0,9,30,57,8,2,25.2%,13.3%,1.89,0.184,0.355,0.395,40,4,111,38.9%,17.5%,43.7%,9.5%,12.7%
2023,Alex Rodgers,Stephen F. Austin,FR,CF,0.363,0.454,0.612,1.066,49,240,201,61,73,18,1,10,43.0,16,20,28,14,5,11.7%,8.3%,1.41,0.249,0.38,0.472,57,19,149,42.8%,15.6%,41.6%,10.4%,13.9%
2023,Alex Ryan,Valparaiso,JR,CF,0.26,0.366,0.344,0.71,37,158,131,22,34,5,0,2,15.0,3,19,27,4,5,17.1%,12.0%,1.43,0.084,0.314,0.341,21,-4,84,42.3%,14.4%,43.3%,17.5%,4.8%
2023,Alex Seguine,Little Rock,SO,SS,0.316,0.404,0.44,0.845,49,228,193,40,61,10,1,4,32.0,3,27,32,2,1,14.0%,11.8%,1.19,0.124,0.358,0.391,39,3,109,43.7%,20.9%,35.4%,5.1%,7.1%
2023,Alex Smith,Navy,SR,C,0.332,0.397,0.46,0.857,50,210,187,32,62,12,0,4,25.0,5,16,20,2,0,9.5%,7.6%,1.25,0.128,0.354,0.395,37,4,111,52.1%,15.2%,32.7%,7.3%,7.4%
2023,Alex Stone,Duke,JR,C,0.315,0.379,0.579,0.958,62,282,254,53,80,16,0,17,62.0,10,17,43,0,0,15.2%,6.0%,2.53,0.264,0.323,0.424,56,11,125,42.5%,20.8%,36.8%,6.6%,21.8%
2023,Alex Thurston,Valparaiso,JR,SS,0.238,0.314,0.333,0.647,46,191,168,19,40,8,1,2,17.0,1,18,46,1,0,24.1%,9.4%,2.56,0.095,0.314,0.305,20,-10,67,32.2%,20.7%,47.1%,5.8%,3.5%
2023,Alex Vergara,Lipscomb,JR,CF,0.284,0.406,0.642,1.048,59,281,232,60,66,12,1,23,50.0,9,39,81,16,6,28.8%,13.9%,2.07,0.358,0.333,0.454,62,18,140,30.0%,17.3%,52.7%,8.0%,29.1%
2023,Alexander Olivo,Texas Southern,JR,DH,0.379,0.498,0.706,1.204,52,228,177,45,67,17,1,13,68.0,12,34,40,3,0,17.5%,14.9%,1.17,0.328,0.422,0.522,63,26,173,30.4%,28.1%,41.5%,0.0%,23.2%
2023,Alfredo Delgado,Manhattan,SR,1B,0.263,0.413,0.419,0.831,49,208,160,22,42,11,1,4,26.0,7,36,42,2,0,20.2%,17.3%,1.17,0.156,0.325,0.391,36,3,109,32.5%,17.5%,50.0%,7.5%,6.7%
2023,Ali Camarillo,Cal State Northridge,SO,SS,0.371,0.421,0.611,1.032,46,199,175,35,65,15,3,7,44.0,4,13,30,1,0,15.1%,6.5%,2.32,0.24,0.411,0.457,45,13,141,32.9%,21.0%,46.2%,4.9%,10.6%
2023,Allen Grier,Arkansas State,JR,RF,0.257,0.355,0.393,0.748,45,170,140,38,36,10,3,1,22.0,6,18,36,6,2,21.2%,10.6%,2.0,0.136,0.324,0.348,24,-3,88,38.9%,17.6%,43.5%,6.5%,2.1%
2023,Amani Larry,Mississippi State,JR,2B,0.297,0.451,0.512,0.963,53,232,172,59,51,16,0,7,30.0,17,34,26,19,2,11.2%,14.7%,0.76,0.215,0.31,0.441,49,12,133,46.9%,16.8%,36.4%,5.6%,13.5%
2023,Ambren Voitik,Austin Peay,SR,3B,0.286,0.36,0.397,0.757,58,266,234,42,67,11,0,5,28.0,4,24,37,17,4,13.9%,9.0%,1.54,0.111,0.32,0.351,38,-5,89,48.4%,15.6%,35.9%,10.9%,7.2%
2023,Andre Demetral,Northern Illinois,JR,SS,0.276,0.404,0.392,0.796,50,227,181,38,50,8,5,1,27.0,3,37,37,5,2,16.3%,16.3%,1.0,0.116,0.338,0.376,37,1,102,44.7%,21.3%,34.0%,5.7%,2.1%
2023,Andre Good,Youngstown State,SR,LF,0.264,0.333,0.528,0.861,43,183,163,27,43,14,1,9,37.0,2,16,42,2,0,23.0%,8.7%,2.64,0.264,0.298,0.381,30,1,104,42.3%,13.8%,43.9%,7.3%,16.7%
2023,Andrew Amato,Delaware,SO,LF,0.276,0.386,0.436,0.823,55,215,181,35,50,7,2,6,36.0,3,30,42,6,2,19.5%,14.0%,1.39,0.16,0.328,0.381,35,1,104,51.1%,18.0%,30.9%,3.6%,14.0%
2023,Andrew Bennett,Samford,JR,RF,0.278,0.364,0.519,0.883,53,184,162,29,45,6,3,9,23.0,7,15,34,1,2,18.5%,8.2%,2.26,0.241,0.303,0.396,33,3,111,28.6%,21.4%,50.0%,15.9%,14.3%
2023,Andrew Brait,UCF,JR,3B,0.286,0.384,0.414,0.798,59,278,227,44,65,14,3,3,38.0,9,30,60,5,1,21.6%,10.8%,2.0,0.128,0.367,0.372,44,0,99,35.5%,24.9%,39.6%,7.1%,4.5%
2023,Andrew Elcock,New Jersey Tech,GR,LF,0.263,0.412,0.338,0.75,44,179,133,24,35,1,3,1,16.0,14,21,24,10,6,13.4%,11.7%,1.15,0.075,0.309,0.366,27,-1,96,49.5%,15.2%,35.4%,6.1%,2.9%
2023,Andrew Fernandez,Tennessee-Martin,JR,SS,0.348,0.394,0.557,0.951,54,254,230,42,80,21,0,9,53.0,2,17,33,4,1,13.0%,6.7%,1.94,0.209,0.374,0.424,50,10,125,43.8%,13.9%,42.3%,7.7%,11.0%
2023,Andrew Horvath,Akron,SO,C,0.223,0.297,0.324,0.621,44,169,148,18,33,4,1,3,21.0,3,13,38,2,0,22.5%,7.7%,2.92,0.101,0.278,0.292,16,-11,60,46.3%,17.6%,36.1%,5.6%,7.7%
2023,Andrew Knight,North Alabama,GR,LF,0.268,0.37,0.47,0.84,49,216,183,28,49,18,2,5,33.0,9,22,46,1,0,21.3%,10.2%,2.09,0.202,0.328,0.384,36,2,105,30.1%,17.1%,52.8%,11.4%,7.7%
2023,Andrew Kohl,Lehigh,SO,RF,0.309,0.407,0.593,1.0,40,145,123,28,38,4,2,9,28.0,8,13,48,6,1,33.1%,9.0%,3.68,0.285,0.433,0.438,30,7,132,44.2%,14.3%,41.6%,11.7%,28.1%
2023,Andrew Meggs,Creighton,SR,2B,0.215,0.324,0.258,0.582,48,227,186,33,40,5,0,1,24.0,3,28,26,4,2,11.5%,12.3%,0.93,0.043,0.242,0.289,21,-15,58,46.3%,16.0%,37.7%,4.9%,1.6%
2023,Andrew Patrick,Wright State,SO,CF,0.326,0.433,0.703,1.136,61,289,236,72,77,21,4,20,59.0,11,37,60,31,4,20.8%,12.8%,1.63,0.377,0.354,0.484,71,25,154,25.4%,17.3%,57.2%,8.1%,20.2%
2023,Andrew Pinckney,Alabama,JR,RF,0.339,0.442,0.648,1.09,64,288,233,55,79,12,3,18,58.0,7,40,68,8,1,23.6%,13.9%,1.7,0.309,0.401,0.473,68,22,149,47.0%,16.1%,36.9%,4.8%,29.0%
2023,Andrew Smart,Northern Illinois,JR,1B,0.229,0.301,0.354,0.655,42,163,144,21,33,8,2,2,20.0,4,12,38,1,1,23.3%,7.4%,3.15,0.125,0.29,0.304,17,-9,66,41.8%,20.9%,37.3%,10.0%,4.9%
2023,Andrew Sojka,Cal State Northridge,JR,RF,0.267,0.394,0.359,0.753,42,171,131,28,35,5,2,1,18.0,6,24,22,5,2,12.9%,14.0%,0.92,0.092,0.304,0.361,25,-2,94,42.2%,16.5%,41.3%,10.1%,2.2%
2023,Andrew Sundean,UCF,SO,DH,0.34,0.428,0.626,1.054,52,236,203,32,69,10,0,16,54.0,15,17,36,0,0,15.3%,7.2%,2.13,0.286,0.349,0.464,54,17,145,28.1%,24.6%,47.3%,9.6%,20.3%
2023,Andrew Terrell,Appalachian State,SR,3B,0.292,0.408,0.438,0.845,54,235,192,40,56,8,1,6,29.0,11,28,34,17,2,14.5%,11.9%,1.22,0.146,0.325,0.392,41,3,109,42.3%,17.9%,40.4%,11.5%,9.5%
2023,Andrew Walker,Xavier,GR,LF,0.325,0.407,0.494,0.902,64,308,265,59,86,19,1,8,57.0,3,36,40,30,5,13.0%,11.7%,1.11,0.17,0.355,0.41,58,9,118,47.6%,21.8%,30.7%,4.9%,11.6%
2023,Andruw Gonzales,McNeese,JR,C,0.205,0.341,0.322,0.663,45,181,146,23,30,8,0,3,18.0,10,21,35,4,1,19.3%,11.6%,1.66,0.116,0.245,0.322,21,-7,75,39.8%,18.6%,41.6%,6.2%,6.4%
2023,Andy Blake,Columbia,SR,SS,0.366,0.429,0.644,1.072,45,231,205,53,75,20,2,11,46.0,6,18,40,13,1,17.3%,7.8%,2.22,0.278,0.41,0.473,55,18,149,30.1%,26.5%,43.4%,7.8%,15.3%
2023,Angelo DiSpigna,Georgia Tech,SR,LF,0.393,0.509,0.667,1.176,57,273,219,60,86,12,0,16,58.0,7,46,52,8,2,19.0%,16.8%,1.13,0.274,0.461,0.518,74,31,171,36.1%,25.3%,38.6%,3.0%,25.0%
2023,Angelo Peraza,San Diego,JR,RF,0.33,0.453,0.535,0.988,50,235,185,55,61,11,3,7,33.0,12,33,40,10,3,17.0%,14.0%,1.21,0.205,0.38,0.447,51,14,136,44.8%,22.1%,33.1%,2.8%,14.6%
2023,Anthony Abbatine,Saint Peter’s,SR,LF,0.31,0.372,0.412,0.784,43,208,187,33,58,8,1,3,34.0,4,15,43,8,6,20.7%,7.2%,2.88,0.102,0.387,0.364,32,-2,95,30.7%,26.4%,42.9%,6.4%,5.0%
2023,Anthony Calarco,Ole Miss,GR,1B,0.274,0.379,0.423,0.801,48,198,168,26,46,10,0,5,31.0,5,24,42,0,0,21.2%,12.1%,1.75,0.149,0.336,0.371,31,0,99,48.4%,19.0%,32.5%,4.8%,12.2%
2023,Anthony Depino,Rhode Island,SO,3B,0.249,0.336,0.518,0.854,52,226,197,35,49,11,0,14,43.0,3,24,51,4,0,22.6%,10.6%,2.13,0.269,0.261,0.376,36,1,101,35.6%,11.6%,52.7%,13.7%,18.2%
2023,Anthony Donofrio,Quinnipiac,SR,CF,0.364,0.432,0.684,1.116,56,272,228,54,83,17,4,16,64.0,4,30,46,31,6,16.9%,11.0%,1.54,0.32,0.383,0.479,66,23,152,35.3%,17.4%,47.4%,2.6%,17.8%
2023,Anthony Frechette,George Washington,GR,C,0.28,0.344,0.42,0.764,52,221,193,27,54,12,0,5,26.0,2,19,31,3,0,14.0%,8.6%,1.63,0.14,0.304,0.349,31,-4,88,29.5%,23.5%,47.0%,4.8%,6.4%
2023,Anthony Hansen,Memphis,SR,1B,0.29,0.411,0.531,0.942,55,253,207,40,60,10,2,12,37.0,7,37,32,5,3,12.6%,14.6%,0.86,0.242,0.291,0.419,49,9,122,40.9%,14.8%,44.3%,5.1%,15.4%
2023,Anthony Hennings,North Carolina A&T,JR,1B,0.261,0.33,0.342,0.671,43,181,161,19,42,7,0,2,16.0,4,13,33,3,3,18.2%,7.2%,2.53,0.081,0.315,0.314,20,-8,71,50.0%,14.8%,35.2%,8.6%,4.4%
2023,Anthony Herron Jr.,New Orleans,SR,1B,0.309,0.425,0.502,0.927,60,253,207,44,64,14,1,8,38.0,7,36,48,2,3,19.0%,14.2%,1.34,0.193,0.366,0.423,50,10,125,37.9%,18.0%,44.1%,10.6%,11.3%
2023,Anthony MacKenzie,Oklahoma,JR,1B,0.306,0.415,0.426,0.841,60,296,242,53,74,9,1,6,41.0,9,39,53,21,4,17.9%,13.2%,1.36,0.12,0.364,0.393,51,4,110,51.1%,18.3%,30.6%,2.8%,10.9%
2023,Anthony Martinez,UC Irvine,FR,1B,0.394,0.471,0.619,1.09,55,280,231,54,91,19,0,11,60.0,16,25,27,0,1,9.6%,8.9%,1.08,0.225,0.398,0.479,68,23,152,40.1%,28.3%,31.6%,2.8%,16.4%
2023,Anthony Mata,UC Riverside,JR,SS,0.234,0.32,0.266,0.586,42,180,154,19,36,3,1,0,18.0,1,20,27,5,3,15.0%,11.1%,1.35,0.032,0.277,0.286,16,-12,57,51.9%,14.7%,33.3%,5.4%,0.0%
