G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wBsR,Age,MaxAge,Season,PlayerName,Team,UPID,UPURL,xMLBAMID,teamid,FullTeamName
12.0,9.0,14.0,4.0,3.0,0.0,0.0,1.0,5.0,4.0,3.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.444444444,0.214285714,0.142857142,1.5,0.642857142,0.777777777,1.420634919,0.333333333,2.64285714,0.5,5.2311429609598274,3.311979793483174,0.6332491423402514,272.5741640736997,-0.020601604133844376,,,2021,Brandon Hale,SELA,sa3032994,/players/brandon-hale/sa3032994/stats/batting,,238,Southeastern Louisiana University 
15.0,7.0,10.0,4.0,2.0,2.0,0.0,0.0,3.0,3.0,1.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.571428571,0.1,0.1,1.0,0.7,0.857142857,1.557142857,0.285714286,2.64285714,0.666666666,4.2053661592111204,2.5989622719392393,0.6668150007724762,261.78759853183607,-0.02980621298775077,19.0,19.0,2021,Calvin Hewett,VAN,sa3033742,/players/calvin-hewett/sa3033742/stats/batting,,283,Vanderbilt University 
13.0,18.0,21.0,9.0,5.0,1.0,0.0,3.0,6.0,6.0,2.0,,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.095238095,0.238095238,0.4,0.571428571,1.055555555,1.626984126,0.555555555,1.86160714,0.6,8.928238955625657,5.505453882106903,0.6769398904982067,260.8471979354254,-0.04718158394098282,,,2021,Nick DeNicola,OKST,sa3030144,/players/nick-denicola/sa3030144/stats/batting,,196,Oklahoma State University 
5.0,10.0,11.0,5.0,3.0,1.0,0.0,1.0,3.0,4.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.09090909,0.09090909,1.0,0.545454545,0.9,1.445454545,0.4,2.01785714,0.5,4.289713132463209,2.608596849523298,0.6290567137978293,255.17051830355385,-0.01223723217844963,,,2021,Willie Schwarick,SIE,sa3041841,/players/willie-schwarick/sa3041841/stats/batting,,229,Siena College 
6.0,9.0,11.0,4.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444444444,0.181818181,0.181818181,1.0,0.545454545,0.888888888,1.434343433,0.444444444,0.14285714,0.5,3.9334204057963813,2.3895000974448646,0.6023757240988992,254.76835718264468,-0.006427244748920202,,,2021,Anthony Socci,LR,sa3042706,/players/anthony-socci/sa3042706/stats/batting,,15,University of Arkansas Little Rock 
11.0,10.0,19.0,4.0,2.0,2.0,0.0,0.0,5.0,6.0,5.0,,5.0,2.0,0.0,2.0,0.0,1.0,0.0,0.4,0.263157894,0.263157894,1.0,0.647058823,0.6,1.247058823,0.2,6.331455660291271,0.8,6.465774791174889,3.861196206742287,0.594008792849148,248.24648524027677,0.17682319832965732,,,2021,Nathan Tribble,SELA,sa3044051,/players/nathan-tribble/sa3044051/stats/batting,,238,Southeastern Louisiana University 
7.0,5.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.2,2.5,0.7,0.4,1.1,0.0,0.14285714,0.666666666,3.5629338736782143,2.0216896350631783,0.5923293352127075,231.17256722918046,-0.013538380968384445,19.0,19.0,2021,Michael Taylor,FOR,sa3043581,/players/michael-taylor/sa3043581/stats/batting,,80,Fordham University 
37.0,138.0,172.0,65.0,46.0,9.0,1.0,9.0,46.0,50.0,22.0,,23.0,6.0,6.0,0.0,3.0,2.0,0.0,0.471014492,0.127906976,0.13372093,0.956521739,0.540697674,0.746376811,1.287074485,0.275362319,5.771290109447552,0.5,56.44665308753016,31.85553189078334,0.5758451507535092,229.5407868389406,0.1582931112498045,23.0,23.0,2021,Liam McGill,BRY,sa3017625,/players/liam-mcgill/sa3017625/stats/batting,689950.0,31,Bryant University 
35.0,124.0,148.0,58.0,27.0,15.0,1.0,15.0,35.0,47.0,10.0,,19.0,10.0,4.0,0.0,4.0,1.0,1.0,0.467741935,0.067567567,0.128378378,0.526315789,0.527027027,0.967741935,1.494768962,0.5,4.398356778243513,0.457446808,56.85884033211536,31.386290357196994,0.5901069198105786,223.21613025826474,-0.19421538105234504,,,2021,Dillan Shrum,NEV,sa3042223,/players/dillan-shrum/sa3042223/stats/batting,,166,University of Nevada 
13.0,25.0,29.0,11.0,9.0,0.0,0.0,2.0,11.0,5.0,1.0,,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.44,0.034482758,0.137931034,0.25,0.517241379,0.68,1.197241379,0.24,5.907093475130682,0.47368421,8.639032392362308,4.658068327764225,0.5485315137896044,217.00854999389455,0.11557329213246703,,,2021,Justin Scotto,HALL,sa3041855,/players/justin-scotto/sa3041855/stats/batting,,228,Seton Hall University 
